Name,Category,Region,Phone,Email,Website
JD Services HVAC Limited,FM Service Supplier,London,01322315588,info@jdservicesltd.co.uk,http://www.jdservicesltd.co.uk
Key Technical Services (UK) Ltd,FM Service Supplier,London,01292672484,elaine.weir@keyfm.co.uk,
KGB Cleaning & Support Services Ltd,FM Service Supplier,London,02089802222,enquiries@kgbcleaning.co.uk,http://www.kgbcleaning.co.uk
Macro Group Limited,FM Service Supplier,London,02073839700,info@macegroup.com,http://www.macegroup.com
McFarlane Latter Architects Limited,FM Service Supplier,London,02072875565,louisa@mcfarlanelatter.co.uk,http://www.mcfarlanelatter.co.uk
MRI Software,FM Service Supplier,London,,info@mrisoftware.com,https://www.mrisoftware.com/
Not Just Cleaning Limited,FM Service Supplier,London,0203 984 4450,enquiries@njcdna.com,http://www.njcdna.com
Peartree Cleaning Services Limited,FM Service Supplier,London,01277201420,scooney@peartreecleaning.co.uk,http://www.peartreecleaning.co.uk
Pinnacle Group,FM Service Supplier,London,02070172000,leon.simpson@pinnaclegroup.co.uk,http://www.pinnaclegroup.co.uk
Platinum Facilities & Maintenance Services Limited,FM Service Supplier,London,02079775650,info@pfms.co.uk,https://www.pfms.co.uk
Principle Cleaning Services Limited,FM Service Supplier,London,02083414718,Liz.taylor@principlecleaning.com,http://www.principlecleaning.com
Regent Office Care Ltd T/A Samsic UK,FM Service Supplier,London,0800 678 1170,Jonathan.mackie@samsic.uk,https://www.samsic.uk
Service Corporation Ltd,FM Service Supplier,London,08446652471,,
Sodexo Limited (UK & Ireland),FM Service Supplier,London,02074040110,,http://www.sodexo.com
Stadium Support Services Limited,FM Service Supplier,London,07967672137,joseph@stadiumsupportservices.co.uk,https://www.StadiumSupportServices.co.uk
TemcoUK Facility Services Limited,FM Service Supplier,London,01895520370,info@temco-services.co.uk,http://www.temco-services.co.uk
Tempus Facilities Management Ltd,FM Service Supplier,London,01702 548 950,alexw@tempusfm.co.uk,http://tempusfm.co.uk
The Maintainers,FM Service Supplier,London,+97466823979,info@the-maintainers.com,
Workman Facilities Management Ltd,FM Service Supplier,London,02072276200,robert.yeo@workman.co.uk,http://www.workman.co.uk
Wren Environmental Ltd,FM Service Supplier,London,08450858899,alan@wren-environmental.co.uk,http://www.wren-environmental.co.uk
Amalgamated Facilities Management Limited,FM Service Supplier,South West,01481252111,enquiries@amalgamatedfm.com,http://www.amalgamatedfm.com
John West (Contractors) Ltd FM,FM Service Supplier,South West,01934622891,office@johnwestfm.co.uk,https://www.johnwestcontractors.co.uk
Kimera Facilities Management UK Ltd,FM Service Supplier,South West,01179021363,dave@kimerafm.co.uk,http://www.kimeragroup.co.uk
BakerStuart Ltd,FM Service Supplier,South,02037438400,j.furey@bakerstuart.com,http://www.bakerstuart.com
Business Services Group,FM Service Supplier,South,01184025608,info@bsg.uk.com,http://bsg.uk.com
GCL Building Technologies Ltd,FM Service Supplier,South,020 3906 6070,sales@gcl.uk.com,http://www.gcl.uk.com
IPM Facilities Ltd,FM Service Supplier,South,0800 078 6279,hello@ipmf.co.uk,http://ipmfacilities.co.uk
KSD Support Services LTD,FM Service Supplier,South,01273 559 293,gbyles@ksdgroupltd.com,http://www.ksd-group.co.uk
Planon Limited,FM Service Supplier,South,01273823557,info-uk@planonsoftware.com,http://planonsoftware.com
Sowga Ltd,FM Service Supplier,South,08447703190,aaron@sowga.co.uk,http://www.sowga.co.uk
Citation ltd,FM Service Supplier,North,07717227450,nigellea@citation.co.uk,https://www.citation.co.uk
Lanes Group Plc,FM Service Supplier,North,01133858400,sales@lanesgroup.co.uk,http://www.lanesfordrains.co.uk
NG Bailey Facilities Services,FM Service Supplier,North,0113 234 3443,bidteamfacilitiesservices@ngbailey.co.uk,http://www.ngbailey.com
Adi Facilities Engineering Ltd,FM Service Supplier,Midlands,01214512255,sales@adiltd.co.uk,
Bellrock Group,FM Service Supplier,Midlands,0116 464 0800,enquiries@bellrockgroup.co.uk,https://www.bellrockgroup.co.uk
Fidelis Group,FM Service Supplier,Midlands,01216836933,info@fidelisgroup.co.uk,http://www.fidelisgroup.co.uk
Greenscape Services Limited,FM Service Supplier,Midlands,01215052333,philipg@greenscape.org.uk,http://www.greenscape.org.uk
John O'Conner (GM) Ltd,FM Service Supplier,Midlands,01438717175,enquires@johnoconnor.co.uk,http://johnoconnor.co.uk
Optimised Buildings Ltd,FM Service Supplier,Midlands,03333702021,garybark@optimisedbuildings.com,http://www.optimisedbuildings.com
Ostara Systems Ltd,FM Service Supplier,Midlands,08448802582,info@ostarasystems.com,https://www.ostarasystems.com
Precision Facilities Management,FM Service Supplier,Midlands,0843 289 9085,info@precisionfm.co.uk,http://www.precisionfm.co.uk
R J Lifts Group,FM Service Supplier,Midlands,08009991177,stephen@rjlifts.co.uk,https://rjlifts.co.uk
Active Workplace Solutions,FM Service Supplier,Home Counties,08451309066,adrian.powell@activews.co.uk,http://www.activeworkplacesolutions.co.uk
Business Moves Group Ltd,FM Service Supplier,Home Counties,,info@businessmoves.com,http://www.businessmoves.com/
CYS Security Ltd,FM Service Supplier,Home Counties,0845 475 1981,info@cysgroup.co.uk,http://www.cysgroup.co.uk
Green Facilities Management Ltd,FM Service Supplier,Home Counties,0800 044 5795,info@greenfacilities.co.uk,http://www.greenfacilities.co.uk
Nationwide Cleaning & Support Services,FM Service Supplier,Home Counties,02082883580,sales@nationwidefm.com,http://www.nationwidefm.com/
Rolfe Contracting Ltd,FM Service Supplier,Home Counties,01582794412,hseq@rclservices.com,http://www.rclservices.com
Skanska UK Plc,FM Service Supplier,Home Counties,01923 776666,Matt.mannion@skanska.co.uk,http://www.skanska.co.uk
Vending Sense,FM Service Supplier,Home Counties,0203 695 5350,hello@vendingsense.co.uk,https://www.vendingsense.co.uk
Facilities Management Integrated (Pvt) LTD,FM Service Supplier,East,+94115940940,enquiry@fmi.ik,http://www.fmi.ik
Ground Control,FM Service Supplier,East,+447711368702,samantha.fry@ground-control.co.uk,https://www.ground-control.co.uk
Guardian Water Treatment,FM Service Supplier,East,01268287477,,
totally 247 Ltd,FM Service Supplier,East,07894 255901,helena.adams@totallyinbound.co.uk,
Facility Services Group Ltd,FM Service Supplier,Wales,01792898040,info@fsgfm.co.uk,http://www.fsgfm.co.uk
