Email Address,SITE,PHONE,TOWN,SITECOUNT
bellaebuonavenue@gmail.com,Bella e Buona Italian Restaurant,01495 310762,Brynmawr,1
berettonis@hotmail.it,Bella Roma Restaurant & Pizzeria,01437 531739,Haverfordwest,1
bertie.pontypridd@phoenixpub.co.uk,Bertie,01443 688204,Pontypridd,1
berwynarms@outlook.com,The Berwyn Arms,01490 430210,Llangollen,1
bestpubinwales@gmail.com,The Llindir Inn,01745 812188,Denbigh,1
billasaberdare@gmail.com,Billa's Italian Restaurant and Bar,01685 871562,Aberdare,1
black.lion.buckley@phoenixpub.co.uk,Black Lion,01244 630118,Buckley,1
blacklion-derwenlas@hotmail.com,"Black Lion Inn, Derwenlas",01654 703913,Machynlleth,1
blaenavon.tic@torfaen.gov.uk,Blaenavon World Heritage Centre,01495 742333,Blaenavon,1
blainawharf.newport@marstons.co.uk,Blaina Wharf,01633 262679,Newport,1
blinkinowl.coedeva@phoenixpub.co.uk,Blinkin Owl,01633 484749,Cwmbran,1
blueanchor.buckley@phoenixpub.co.uk,Blue Anchor,01244 548196,Buckley,1
blueskybach@gmail.com,Blue Sky Cafe & Taproom,01248 355444,Bangor,1
book@tynrhyl.wales,Barratt's of Tyn Rhyl - Boutique bed & breakfast.,01745 344138,Rhyl,1
booking@thecaeffatri.com,The Caeffatri Restaurant and Bar,01656 660668,Bridgend,1
bookings@birdinhandfforest.co.uk,The Bird In Hand,01792 828282,Pontarddulais,1
bookings@bradleysbuilding.com,Bradleys Building,01597 821761,Llandrindod Wells,1
bookings@hafanyrafon.com,Hafan Yr Afon,01686 880777,Newtown,1
bookings@junction28.co.uk,Junction 28,01633 891891,Newport,1
bookings@llanellyhouse.org.uk,Plas Llanelly House,01554 772857,Llanelli,1
bookings@no16stdavids.wales,St Davids Gin & Kitchen under new ownership: www.no16stdavids.wales,07903 982695,St Davids,1
bookings@rockandfountaininn.com,The Rock & Fountain Inn,01633 400297,Undy and Magor,1
bookings@shipinnredwharfbay.co.uk,"Ship Inn, Red Wharf Bay",01248 852568,Benllech,1
bookings@stackpoleinn.co.uk,The Stackpole Inn,01646 672324,Pembroke,1
bookings@thebotanist.uk.com,The Botanist Cardiff,029 2013 0053,Cardiff,1
bookings@thebutchersarms.wales,"The Butchers Arms - Steakhouse, Bunkhouse & Pub",01685 723544,Merthyr Tydfil,1
bookings@thegladstone.wales,The Gladstone,01492 623231,Penmaenmawr,1
bookings@thesycamoretree.co.uk,The Sycamore Tree,01656 652827,Cowbridge,1
bookings@thetrecastellhotel.co.uk,The Trecastell,01407 521480,Amlwch,1
bookings@twelvetenby.co.uk,Twelve Tenby,01834 845945,Tenby,1
bookings@upstairsatannas.com,Upstairs at Anna's,01492 580908,Conwy,1
bookings@ybryncynan.co.uk,"Y Bryncynan, Morfa Nefyn",01758 720879,Pwllheli,1
bookings@yeoldebullinn.co.uk,Ye Olde Bull Inn,01633 420636,Newport,1
brewery@felinfoel.com,Felinfoel Brewery,01554 773357,Llanelli,1
brianmogs@hotmail.co.uk,Henllys Village Hall,07976 315166,Cwmbran,1
bristol@bonnierogues.co.uk,Bonnie Rogues Cardiff and Bonnie Rogues Swansea,029 2150 9001,Cardiff,2
bristoltrader2025@gmail.com,The Bristol Trader,01437 762122,Haverfordwest,1
britanniagower@btconnect.com,Britannia Inn,01792 386624,Burry Port,1
browntrout146@gmail.com,The Brown Trout Pub,07930 728229,Pontypridd,1
bryn@mail.com,Bryn Williams at Theatr Clwyd,01352 609478,Mold,1
buck.newton@phoenixpub.co.uk,Buck Inn,01686 941325,Newtown,1
bullandheifer@bettwshall.com,Bull & Heifer,01686 651210,Newtown,1
bullinn.llangollen@phoenixpub.co.uk,Bull Inn,01978 862701,Llangollen,1
bumblebee.blackwood@marstons.co.uk,Bumble Bee,01495 227319,Blackwood,1
bunny@sandrabbit.co.uk,Sand Rabbit Bar & Grill,01639 381201,Port Talbot,1
business@premierinn.com,Premier Inn Cwmbran hotel and 9 other pubs,0333 777 4636,Cwmbran,10
bwyddacatering@outlook.com,The Post Room,01633 872986,Cwmbran,1
byalongchalk@gmail.com,The Jolly Sailor and 10 other pubs,01745 857183,Prestatyn,11
cadw.education@gov.wales,Gwaith Haearn Blaenafon / Blaenafon Ironworks and Castell Rhuddlan,0300 025 2239,Blaenavon,2
cafemanager@tynygroes.co.uk,Tynygroes hotel,,Dolgellau,1
cambriantap.cardiff@phoenixpub.co.uk,Cambrian Tap,029 2064 4952,Cardiff,1
caraway.carmarthen@marstons.co.uk,Caraway,01267 243303,Carmarthen,1
carlar@ambertaverns.co.uk,Two Bells and 2 other pubs,,Barry,3
casabiancaabergavenny@gmail.com,Casa Bianca,01873 737744,Abergavenny,1
casanovamerthyr@gmail.com,Casa Nova,01685 481699,Merthyr Tydfil,1
castle.brecon@innmail.co.uk,The Castle of Brecon Hotel,01874 624611,Brecon,1
castle@jwlees.pub,The Castle,01745 771242,Abergele,1
castleinfo@castlehotelwales.com,Castle Hotel,01685 386868,Merthyr Tydfil,1
castleinnknucklas@hotmail.com,Castle Inn,01547 528150,Knighton,1
cefnhafodinn@hotmail.com,Tafarn Cefn Hafod,01267 643429,Tumble,1
centralreservations@marstons.co.uk,Pick & Shovell,01443 404632,Pontypridd,1
champsgorseinon@outlook.com,Champs Pool & Darts Sports Bar Gorseinon,07802 780593,Gorseinon,1
cherrylaurel.bridgend@marstons.co.uk,Cherry Laurel,01656 360095,Bridgend,1
cherryorchard.barry@marstons.co.uk,Cherry Orchard,01446 700580,Barry,1
chris@jollysailorburton.co.uk,Jolly Sailor,01646 600378,Milford Haven,1
cityarms.cardiff@phoenixpub.co.uk,City Arms,029 2064 1913,Cardiff,1
clockworks.ystradgynlais@marstons.co.uk,Clock Works,01792 721084,Ystradgynlais,1
clopenny@hotmail.co.uk,Tŷ Ebbw Fach Cafe,01495 211732,Abertillery,1
clwbcrown@gmail.com,Clwb Crown,01685 700488,Merthyr Tydfil,1
coachandhorseschepstow@gmail.com,Coach & Horses Chepstow Bed & Breakfast in Pub,01291 622626,Chepstow,1
coachandhorsestenby@yahoo.com,Coach & Horses,01834 842704,Tenby,1
coachhouse.swansea@phoenixpub.co.uk,The Coach House,01792 461312,Swansea,1
cocktails@banera.cymru,Y Bañera,01970 624111,Aberystwyth,1
cocktailsbyandrej@gmail.com,Cocktails By Andrej,07840 003467,Usk,1
coffeeshop@thegatheringmold.co.uk,The Gathering,01352 751307,Mold,1
collierspub@gmail.com,The Colliers Arms,01443 693935,Merthyr Tydfil,1
contact@callatisgower.co.uk,Callatis,01792 928072,Loughor,1
contact@foodbooking.com,Mermaid Fish Bar,01269 850599,Ammanford,1
contact@latte-da-tearoom.co.uk,Latte-da Coffee & Kitchen,,Crickhowell,1
contact@pontnewynyddsportsandsocial.co.uk,Pontnewynydd Sports & Social Club,07857 318977,Pontypool,1
contact@royaloakmonmouth.co.uk,The Royal Oak,01600 772505,Monmouth,1
contact@theblackbearinn.co.uk,The Black Bear Inn,01873 880701,Monmouth,1
contact@thewhitecrossinn.co.uk,The White Cross Inn,029 2085 1332,Caerphilly,1
contact@unicornhotelllanidloes.com,The Unicorn Hotel,07492 981354,Llanidloes,1
contact@yrhenprintworks.co.uk,Yr Hen Printworks,01239 612646,Cardigan,1
conwayhotelcardiff@gmail.com,The Conway,029 2063 8152,Cardiff,1
copadinerandbar@gmail.com,Copa Diner and Bar,01286 674805,Caernarfon,1
coshbrewery2024@hotmail.com,The Brewery Inn,01646 686678,Milford Haven,1
cottages@gwberthotel.com,Flat Rock Bar & Restaurant,01239 612638,Cardigan,1
criw@blasarfwyd.com,Amser Da,01492 641188,Llanrwst,1
croeso@baobab.cymru,Baobab Cymru,01269 268264,Ammanford,1
cropped-market_inn_logo_b_black@2x.png,Market Inn,01248 572222,Llangefni,1
crossfoxes.prestatyn@phoenixpub.co.uk,Cross Foxes,01745 889477,Prestatyn,1
crosskeys.conwy@phoenixpub.co.uk,Cross Keys,01492 592544,Conwy,1
crosskeysusk@googlemail.com,Crosskeys Inn,01291 672535,Usk,1
crown.llay@marstons.co.uk,Crown,01978 449528,Wrexham,1
crownandliver.ewloe@phoenixpub.co.uk,Crown & Liver,01244 639127,Buckley,1
custcare@skiddle.com,Platform 11,,Pontypridd,1
customerservice@jwlees.co.uk,The Holland Inn,01407 762710,Holyhead,1
customersupport@hortonscoffeehouse.co.uk,Horton's Lounge,01633 258329,Newport,1
cwmtalwg.barry@marstons.co.uk,Cwm Talwg,01446 732602,Barry,1
cwrtrawlin.caerphilly@marstons.co.uk,Cwrt Rawlin,029 2086 8001,Caerphilly,1
cysylltu@tafarn.cymru,Tafarn y Vale / Vale of Aeron,01570 429570,Lampeter,1
dark_side_welsh_beer_homepage_banner_bg_1920x1080@2x.png,The Australia,01766 515957,Porthmadog,1
darragh.hutchinson@orderyoyo.com,Amanah's,01269 506358,Ammanford,1
darran.risca@marstons.co.uk,Darran,01633 612414,Risca,1
darren0787@hotmail.com,The Horseshoes Inn,01686 640198,Welshpool,1
deborahzsigo@gmail.com,Lion Inn,01600 860322,Monmouth,1
design@olivander.co.uk,The Loft,01792 818411,Neath,1
developers@kukd.com,Eastern Star,01269 822912,Gwaun-Cae-Gurwen,1
dexters@diablos.co,Dexters,01267 223000,Carmarthen,1
dialinnlamphey@gmail.com,The Dial Inn,01646 672927,Pembroke,1
dining@plantagenethouse.com,Plantagenet House Restaurant,01834 842350,Tenby,1
donate@opencart.com,Panda Chinese Takeaway,01639 894666,Port Talbot,1
doveyinn.aberdovey@marstons.co.uk,Dovey Inn,01654 767332,Tywyn,1
dragon.narbeth@phoenixpub.co.uk,Dragon Inn,01834 860257,Narberth,1
droversarms@outlook.com,The Drovers Rhewl,01824 703163,Ruthin,1
druidinnllanferres@gmail.com,Druid Inn LLanferres,01352 810225,Mold,1
dukeofwellington.cardiff@marstons.co.uk,Duke Of Wellington,029 2033 7190,Cardiff,1
dukeofwellington.ruabon@phoenixpub.co.uk,Duke Of Wellington,01978 810165,Ruabon,1
dukeofwellingtonhotel.cowbridge@marstons.co.uk,Duke Of Wellington Hotel,01446 773592,Cowbridge,1
dunravenrooms2@gmail.com,Dunraven Arms,07793 413298,Glynneath,1
eat@crossfoxes-erbistock-com.eprmarketingdev.co.uk,Cross Foxes Erbistock,01978 280304,Wrexham,1
eat@marthasvineyard.co.uk,Martha’s Vineyard,01646 697083,Milford Haven,1
ecom-swiper@11.0.5.js,Bean & Bread Abergavenny,01873 598864,Abergavenny,1
emal@gmail.com,The Three Tuns,01291 645797,Chepstow,1
enquiries.theboatinnchepstow@outlook.com,The Boat Inn,01291 626548,Chepstow,1
enquiries@aberafanshopping.co.uk,Aberafan Shopping Centre,01639 882266,Port Talbot,1
enquiries@admiraltaverns.co.uk,The White Lady of Prestatyn,,Prestatyn,1
enquiries@alfredrusselwallace.co.uk,The Wallace Steakhouse with rooms,01291 347348,Usk,1
enquiries@ashvaleclub.com,Ashvale Club,01495 722189,Tredegar,1
enquiries@barryislandbierkeller.com,Barry Island Bierkeller,07834 700213,Barry,1
enquiries@bearhotel.com,The Penny Farthing - Cowbridge and The Bear Hotel,01446 774999,Cowbridge,2
enquiries@blackrockbeachclub.com,Black Rock Beach Club,01766 549858,Porthmadog,1
enquiries@caferemos.com,Remos,01639 882121,Port Talbot,1
enquiries@californiahotel.wales,The California Hotel,01248 852360,Brynteg,1
enquiries@castell-y-bwch.co.uk,Castell-y-bwch Inn,01633 865620,Cwmbran,1
enquiries@castleinnusk.co.uk,The Castle Inn Usk,01291 673037,Usk,1
enquiries@castleviewpub.com,Castle View Bar and Restaurant,01492 583777,Conwy,1
enquiries@chwxm.co.uk,Croes Howell Restaurant & Bar,01244 570570,Llay,1
enquiries@felinfachgriffin.co.uk,The Felin Fach Griffin,01874 620111,Brecon,1
enquiries@fivearchestavern.co.uk,The Five Arches Tavern,01834 842513,Tenby,1
enquiries@glen-yr-afon.co.uk,Clarkes South Wales Restaurant,01291 673202,Usk,1
enquiries@goodshedsbarry.co.uk,Goodsheds,,Barry,1
enquiries@griffindale.co.uk,The Griffin,01646 636227,Milford Haven,1
enquiries@harbwrtaptenby.wales,Harbwr Brewery Tap & Kitchen,01834 842273,Tenby,1
enquiries@llwyncountryhouse.co.uk,Llwyn Country House-Restaurant & Wedding Venue Llanelli,01554 899994,Llanelli,1
enquiries@lyonsholidayparks.co.uk,Autograph Restaurant at Eryl Hall,01745 421236,St Asaph,1
enquiries@palinsholidaypark.co.uk,Magpie & Stump Bar & Restaurant,01745 342203,Kinmel Bay,1
enquiries@pencellihotel.co.uk,Pencelli Hotel,01443 540002,Treorchy,1
enquiries@propergandertywyn.com,Proper Gander,01654 712169,Tywyn,1
enquiries@rhymneybreweryltd.com,Rhymney Brewery,01495 790456,Blaenavon,1
enquiries@rossini-s.co.uk,Rossini's Italian Restaurant,01745 353160,Rhyl,1
enquiries@rusticcrust.co.uk,The Butchers,07367 341328,Colwyn Bay,1
enquiries@thebluebellcrickhowell.co.uk,The Bluebell - Country Pub and Events Space,07542 693041,Crickhowell,1
enquiries@thebuck.pub,The Buck Public House,01978 803300,Tanyfron,1
enquiries@thecommercialpontymister.com,Commercial Inn,01633 612608,Risca,1
enquiries@thedeadraven.com,The Dead Raven,07707 360735,Bridgend,1
enquiries@thefatboar.co.uk,The Fat Boar,01978 354201,Wrexham,2
enquiries@themadplatterusk.co.uk,The Mad Platter,01291 760630,Usk,1
enquiries@towncriertenby.co.uk,The Town Crier,01834 823323,Tenby,1
enquiries@trearddurbayhotel.co.uk,The Inn at the Bay,01407 862010,Holyhead,1
enquiries@valans.co.uk,Gegin Valans,01269 851288,Ammanford,1
enquiries@warrenmanselst.co.uk,The Warren,01267 236079,Carmarthen,1
enquiries@waterfallcountrypods.co.uk,Waterfall Country Pods,07737 199900,Glynneath,1
enquiries@ytryfan.co.uk,Y Tryfan,01248 605175,Bethesda,1
enquiry@dragoninncrickhowell.com,The Dragon Inn Crickhowell,01873 810362,Crickhowell,1
enquiry@greyhound-inn.com,Greyhound Inn and Hotel Usk,01291 672505,Usk,1
enw@ebost.cymru,Llofft,01248 670554,Y Felinheli,1
events@academycoffee.co.uk,Academy 297 and 2 other pubs,07796 861499,Barry,3
events@flightclubdarts.com,Flight Club Cardiff,,Cardiff,1
example@gmail.com,Coaltown Coffee,01269 400105,Ammanford,1
example@mysite.com,Bank Of Conwy and 8 other pubs,01492 573741,Conwy,9
fairfield.tavern.wrexham@phoenixpub.co.uk,Fairfield Tavern,01978 448681,Wrexham,1
farmersfishguard@outlook.com,The Farmers Arms,01348 435999,Fishguard,1
favicon_114px@2x.png,Amelia Earhart Monument,,Burry Port,1
fforddderwen.rhyl@phoenixpub.co.uk,Ffordd Derwen,01745 334296,Rhyl,1
ffynnonwen.cardiff@marstons.co.uk,Ffynnon Wen,029 2052 2535,Cardiff,1
fifteenpub@gmail.com,Fifteen by Llanwern Village Bar & Hotel.,01633 380280,Newport,1
flags@2x.png,Caffi Largo and 2 other pubs,01758 613128,Pwllheli,3
flora.cardiff@phoenixpub.co.uk,The Flora,029 2009 0525,Cardiff,1
food@thebarleynarberth.co.uk,The Barley Gastrobar,07368 687653,Narberth,1
forgehammerclub@outlook.com,FORGEHAMMER CLUB,01633 868100,Cwmbran,1
foxandhoundsbancyfelin@gmail.com,The Fox & Hounds,01267 211341,Carmarthen,1
gareth@darkfarm.co.uk,MASHED Brewhouse,07890 577017,Aberystwyth,1
gbg-logo_285@3x.png,Rose and Crown Hotel,01267 232050,Carmarthen,1
general@opulencellanelli.co.uk,Opulence,,Llanelli,1
george.anddragonflintshire@phoenixpub.co.uk,George & Dragon,01352 734628,Flint,1
georgehotel.holyhead@phoenixpub.co.uk,George Hotel,01407 238237,Holyhead,1
georgina@smith.com,Erskine Arms and 4 other pubs,01492 593535,Conwy,5
glanyrafoninn@gmail.com,The Glan Yr Afon Inn,01352 710052,Holywell,1
goldenlion.coedpoeth@phoenixpub.co.uk,Golden Lion,01978 753781,Coedpoeth,1
grapeshotelsnowdonia@outlook.com,"The Grapes Hotel, Bar & Restaurant",01766 590365,Blaenau Ffestiniog,1
greatwestern.ammanford@phoenixpub.co.uk,Great Western,01269 595007,Ammanford,1
greenfieldystrad@gmail.com,The Greenfield,01443 435953,Tonypandy,1
greenhouse.cwmbran@marstons.co.uk,Greenhouse,01633 863388,Cwmbran,1
greenlady.caerphilly@marstons.co.uk,Green Lady,029 2135 8743,Caerphilly,1
greenmeadowcommunityfarm@torfaen.gov.uk,Greenmeadow Community Farm,,Cwmbran,1
greyhound.wrexham@phoenixpub.co.uk,Greyhound Inn,,Wrexham,1
groes.inn@jwlees.co.uk,"Groes Inn Hotel & Restaurant, Conwy",01492 650545,Conwy,1
grovehotel.stdavids@marstons.co.uk,Grove Hotel,01437 720341,St Davids,1
gwestylinks@jwlees.co.uk,Gwesty Links Hotel,01492 879180,Llandudno,1
halfwayenquiries@outlook.com,"The Halfway, Tal-y-Coed",01600 780396,Abergavenny,1
hanburyalehouse.caerleon@marstons.co.uk,Hanbury Arms,01633 420361,Caerleon,1
hanney18.ah@gmail.com,Victoria Inn,07598 097801,Holyhead,1
hawkandbuckleinn@gmail.com,The Hawk & Buckle Inn,01745 540249,Denbigh,1
hayleyjane@yahoo.co.uk,The Hideaway,01745 607865,Prestatyn,1
hb3g0@accor.com,NP20 Bar and Kitchen,01633 837700,Newport,1
hello@ambikasocial.co.uk,Ambika Social,,Abergavenny,1
hello@asiadfusion.co.uk,Asiad,01656 503245,Porthcawl,1
hello@atlasruthin.co.uk,Atlas Ruthin,01824 702478,Ruthin,1
hello@beerpark.co.uk,Beer Park Bottle Shop and Tasting Room,07714 226428,Llanelli,1
hello@brechdan.co.uk,BRECHDAN Café,,Llanelli,1
hello@caneandryebar.co.uk,Cane & Rye,,Bridgend,1
hello@casecafe.co.uk,Crystal Sports Bar and Grill,07727 301989,Caerphilly,1
hello@courtscardiff.co.uk,Courts,029 2070 0009,Penarth,1
hello@fandhllancarfan.com,The Fox and Hounds Pub,01446 612134,Barry,1
hello@farmersarmspub.com,Farmer’s Arms Church Village,01443 205766,Pontypridd,1
hello@fireandice.wales,Fire & Ice Newport,01633 530855,Newport,1
hello@front-room.co.uk,Front Room,01446 625861,Barry,1
hello@goldcroftcaerleon.co.uk,The Goldcroft Inn,01633 420022,Caerleon,1
hello@gooseotl.co.uk,Goose On The Loose,029 2009 9737,Penarth,1
hello@johnnythrows.com,Johnny Throws,01492 702000,Llandudno,1
hello@kingsarmspentyrch.com,Kings Arms,029 2089 0202,Pentyrch,1
hello@leicester-house.com,Leicester House,07583 030338,Glynneath,1
hello@lifefullcolour.com,Y Segontiwm,01286 400155,Caernarfon,1
hello@llantarnamgrange.com,Llantarnam Grange,01633 483321,Cwmbran,1
hello@midlandwrexham.com,"The Midland, Wrexham",0330 016 2839,Wrexham,1
hello@nickybright.com,The Ynys Venue Swansea,029 2000 1480,Pontardawe,1
hello@number25.net,No. 25 Bar & Bistro,01492 541145,Colwyn Bay,1
hello@parioholidayparks.com,The Cliffs Restaurant,01492 511633,Abergele,1
hello@pollyssocial.co,Polly’s Social,01352 748923,Mold,1
hello@sgwdgwladys.co.uk,Sgwd Gwladys,01639 721519,Glynneath,1
hello@the-turf.co.uk,The Turf,07810 323806,Wrexham,1
hello@thebridgellangennech.co.uk,The Bridge,01554 821301,Llanelli,1
hello@thebritpub.co.uk,The Brit Public House & Restaurant,01639 680247,Neath,1
hello@thecrownpantygelli.com,The Crown at Pantygelli,01873 853314,Abergavenny,1
hello@thegrandsocial.co.uk,The Grand Social,028 9131 4049,Bangor,1
hello@theloftbridgend.co.uk,The Loft Bar,01656 717009,Bridgend,1
hello@theparrotdrury.co.uk,The Parrot,01244 540683,Buckley,1
hello@thepriorycaerleon.co.uk,The Priory,01633 421241,Caerleon,1
hello@theranchbarandgrill.co.uk,The Ranch Breakfast Bar and Grill,07385 168900,Glynneath,1
hello@thesavvyfoxpub.com,The Savvy Fox and Hotel Wrexham & Savvy Fox Pub,01978 661002,Wrexham,2
hello@thethirstyelephant.com,The Thirsty Elephant Coffee + Bar,07598 600310,Pontyclun,1
hello@three-tuns.com,Three Tuns,01497 821855,Hay-on-Wye,1
hello@tredegararms.com,"The Tredegar Arms, Shirenewton",01291 783600,Tredegar,1
hello@uskandrailwayinn.com,"Usk & Railway Inn, Sennybridge",01874 636101,Brecon,1
hello@well.co.uk,Well Pharmacy,01554 810237,Trimsaran,1
hello@wildernessbrew.co.uk,Wilderness Brewery,01686 961501,Newtown,1
helloconwy@johnnydoughs.com,The Bridge Inn,01492 572974,Conwy,1
helloparcbrynbach@aneurinleisure.org.uk,Parc Bryn Bach,01495 369687,Tredegar,1
helo@whitehall.cymru,Whitehall,01758 614091,Pwllheli,1
helpdesk@boswellsgroup.com,Boswells Cafe,01633 869109,Cwmbran,1
henandchicken.abergavenny@phoenixpub.co.uk,Hen & Chicken,01873 853613,Abergavenny,1
hi@mystore.com,Cottage Nails Cwmafan and Antur Brew Co,,Cwmafan (Cwmavon),2
hickmans@gastrofoods.co.uk,Hickmans Bar and Restaurant and The Old Swan Inn,029 2003 8888,Penarth,2
hightideinn1@aol.com,The Hi Tide,01656 782432,Porthcawl,1
hipposdo@gmail.com,Hippos,01792 979590,Swansea,1
hollybush.cefn-y-bedd@phoenixpub.co.uk,Holly Bush,01978 761716,Gwersyllt,1
hophouse@wolfinns.com,Hop House,028 9122 6080,Bangor,1
horseandjockeypontypool@gmail.com,The Horse & Jockey,01495 762723,Pontypool,1
hotelmariners@hotmail.co.uk,Hotel Mariners Haverfordwest Pembrokeshire West Wales,01437 763353,Haverfordwest,1
hunaasset-1@150x.png,Huna Cafe Bar,,Bridgend,1
info@alfredsbarandgrill.com,Alfred's Bar & Grill,01443 404060,Pontypridd,1
info@amantola.co.uk,"The Amantola - Indian Restaurant, Bar & Delivery",01244 811324,Garden City,1
info@aneurinleisure.org.uk,Ebbw Vale Sports Centre and Abertillery Sports Centre,01495 369227,Ebbw Vale,2
info@angleseyoutdoors.com,Paddlers Return,01407 769351,Holyhead,1
info@ashburnham-hotel.co.uk,The Ash Bar & Grill (The Ashburnham Hotel),01554 834455,Burry Port,1
info@astontavern.co.uk,The Aston Tavern,0121 328 0095,Aston,1
info@bangonbrewery.beer,Bang On Brewery,01656 760790,Bridgend,1
info@baravin.co.uk,Baravin,01970 611189,Aberystwyth,1
info@bearhotel.co.uk,"The Bear Hotel, Crickhowell",01873 810408,Crickhowell,1
info@bearshead.co.uk,The Bear's Head,029 2297 1312,Penarth,1
info@biffys.co.uk,Biffy's Bar & Restaurant,01646 476051,Milford Haven,1
info@billycan-tenby.co.uk,Billycan,01834 842172,Tenby,1
info@blueanchoraberthaw.com,Blue Anchor Inn,01446 750329,Rhoose,1
info@bluebellcardiff.co.uk,Blue Bell,029 2151 0043,Cardiff,1
info@boathousehotelholyhead.com,The Boathouse Hotel,01407 762094,Holyhead,1
info@bookshopbar.com,Bookshop Cocktail Bar,07767 420141,Swansea,1
info@brewhousecardiff.com,Brewhouse,029 2039 9913,Cardiff,1
info@bridgeendhotel.co.uk,Bridge End Hotel,01978 861703,Llangollen,1
info@bunchofgrapes.org.uk,"Bunch Of Grapes, Pontypridd",01443 402934,Pontypridd,1
info@burgerboyz.net,Burger Boyz - Port Talbot,01639 505660,Port Talbot,1
info@caerphillysocialclub.co.uk,Caerphilly Social Club & Institute Ltd,029 2088 2133,Caerphilly,1
info@cardigancastle.com,1176 Aberteifi,01239 562002,Cardigan,1
info@castlehotelneath.co.uk,Vicari's Cocktail Bar,01639 641119,Neath,1
info@colwynbay.info,Black Cloak Brewery & Taproom and 2 other pubs,01492 330274,Colwyn Bay,3
info@colwynbayanddistrictclub.co.uk,The Colwyn Bay Legion,01492 532016,Colwyn Bay,1
info@conwylodgepark.co.uk,Swallows Nest Bar & Bistro,01492 582010,Conwy,1
info@cozyvibes.co.uk,Cozy Vibes at Finnegans Inn,01446 500111,Barry,1
info@createsgallery.com,Creates Monmouth,01600 460492,Monmouth,1
info@cressellyinn.com,The Cresselly Inn,01443 474157,Mountain Ash,1
info@cross-keys.co.uk,The Cross Keys,01978 760333,Hope,1
info@cwrw.co.uk,CWRW | CWRW Studios,01267 223230,Carmarthen,1
info@dinascastleinn.co.uk,Dinas Castle Inn,01874 711353,Brecon,1
info@domain.com,Abercrave Inn and Coach & Horses,01639 731119,Ystradgynlais,2
info@druidinngorsedd.co.uk,The Druid Inn,01352 746367,Holywell,1
info@duffrynarms.com,The Duffryn Arms,01633 639518,Newport,1
