Status,Family,Cluster,Page title,Slug,Links to collection(s),Notes
T2,Role guide,Roles,Workwear for roofers,workwear-for-roofer,per role,
T2,Role guide,Roles,Workwear for painter decorators,workwear-for-painter-decorator,per role,
T2,Role guide,Roles,Workwear for security guards,workwear-for-security-guard,per role,
T2,Role guide,Roles,Workwear for cleaners,workwear-for-cleaner,per role,
T2,Role guide,Roles,Workwear for delivery drivers,workwear-for-delivery-driver,per role,
T2,Role guide,Roles,Workwear for forklift drivers,workwear-for-forklift-driver,per role,
T2,Role guide,Roles,Workwear for landscapers,workwear-for-landscaper,per role,
T2,Role guide,Roles,Workwear for kitchen porters,workwear-for-kitchen-porter,per role,
T2,Role guide,Roles,Workwear for nurse hcas,workwear-for-nurse-hca,per role,
LIVE,Interactive tool,Tools,Hi-vis class selector,hi-vis-class-selector,hi-vis,
LIVE,Interactive tool,Tools,Boot S-code finder,boot-code-finder,footwear,
T2,Interactive tool,Tools,Embroidery cost estimator,embroidery-cost-estimator,polo-shirts,
T2,Interactive tool,Tools,PPE kit checklist builder,ppe-checklist-builder,ppe,
T2,Employer / compliance,Compliance,PPE at Work Regulations 2022 explained,ppe-regulations-2022-explained,ppe,
T2,Employer / compliance,Compliance,Who pays for workwear & PPE?,who-pays-for-ppe,—,
T2,Employer / compliance,Compliance,Uniform tax relief explained,uniform-tax-relief,—,
T2,Care guide,Care,Washing chef whites,washing-chef-whites,chefswear | scrubs,
T2,Care guide,Care,Laundering scrubs for infection control,laundering-scrubs,chefswear | scrubs,
T2,Area guide,Local,Workwear in Sunderland,workwear-sunderland,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Middlesbrough,workwear-middlesbrough,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Hull,workwear-hull,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Doncaster,workwear-doncaster,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Rotherham,workwear-rotherham,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Scunthorpe,workwear-scunthorpe,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Immingham,workwear-immingham,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Telford,workwear-telford,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Coventry,workwear-coventry,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Solihull,workwear-solihull,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Derby,workwear-derby,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Leicester,workwear-leicester,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Northampton,workwear-northampton,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Daventry,workwear-daventry,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Milton Keynes,workwear-milton-keynes,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Peterborough,workwear-peterborough,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Warrington,workwear-warrington,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Ellesmere Port,workwear-ellesmere-port,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Runcorn,workwear-runcorn,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Crewe,workwear-crewe,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Felixstowe,workwear-felixstowe,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Southampton,workwear-southampton,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Portsmouth,workwear-portsmouth,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Swindon,workwear-swindon,per archetype,H-confidence town
T2,Area guide,Local,Workwear in Port Talbot,workwear-port-talbot,per archetype,H-confidence town
T3,Standard explainers,Standards,"Remaining standards (~20 more incl. EN 352, EN 14404, EN 12477...)",—,various,Enumerated in page-architecture.csv
T3,Role guides,Roles,Remaining roles (~150 from entity list),—,per role,
T3,Area guides,Local,"Remaining towns (~200–450, M/L verified vs ONS first)",—,per archetype,Gated by canary + verification
T3,Buying guides,Buying guides,Remaining category guides (~50 across the 67 categories),—,various,
T3,Glossary,Glossary,Term/fabric/standard definitions (~220),—,contextual,
ONGOING,Editorial,Editorial,Seasonal & news-led guides (~150/yr),—,various,E-E-A-T layer
