Email Address,SITE,PHONE,TOWN,SITECOUNT
bookings@porthtocynhotel.co.uk,Porth Tocyn Hotel,01758 713303,Pwllheli,1
bookings@propertri.co.uk,Raphael Heights and 2 other hotels,01633 849410,Newport,3
bookings@pwllgwilym-cottages.co.uk,Pwllgwilym Holiday Cottages,01982 552140,Llandrindod Wells,1
bookings@rockandfountaininn.com,The Rock & Fountain Inn,01633 400297,Newport,1
bookings@saracensheadinn.co.uk,The Saracens Head Inn,01600 890435,Monmouth,1
bookings@stackpoleinn.co.uk,The Stackpole Inn,01646 672324,Pembroke Dock,1
bookings@stwinefridesguesthouse.com,St. Winefride's Guest House,01352 712925,Flint,1
bookings@sunnybanktenby.co.uk,Sunny Bank Guest House,01834 844034,Tenby,1
bookings@theseven-stars.co.uk,Seven Stars,01497 820886,Hay-on-Wye,1
bookings@thetrecastellhotel.co.uk,The Trecastell,01407 521480,Brynteg,1
bookings@threecockshotel.co.uk,The Three Cocks Hotel,01497 847215,Brecon,1
bookings@traetharian.co.uk,Traeth Arian Cottage,07500 081204,Brynteg,1
bookings@woodlandscentre.com,Woodlands Centre,,Llanrwst,1
bryn-y-morhotel25@outlook.com,Bryn-Y-Môr Hotel,01492 876790,Colwyn Bay,1
bryn.heulog@bednbreakfast.co.uk,Bryn Heulog,01547 528155,Knighton,1
bryncoedguesthouse@hotmail.co.uk,Bryn Coed Guest House,01492 535233,Colwyn Bay,1
brynnoddfa@gmail.com,Bryn Noddfa,01758 720416,Pwllheli,1
burton@hotelherefordshire.co.uk,The Burton Hotel & Cloud Nine,01544 230323,Knighton,1
bushinnpenallt@gmail.com,The Bush Inn,01600 712236,Monmouth,1
bwilliams1690@gmail.com,Tŷ Capel Isa Holiday Cottage,07527 337736,Blaenau Ffestiniog,1
c.guest@hotmail.co.uk,Acksea holiday lodges,07712 418393,Welshpool,1
cadnantcottages@gmail.com,Cadnant Estate,01248 717007,Menai Bridge,1
caerblaiddholidays@gmail.com,Cae'r Blaidd Country House,01766 762635,Blaenau Ffestiniog,1
caerhafod@aol.com,Caerhafod Lodge,01348 837859,St Davids,1
cafemanager@tynygroes.co.uk,Tynygroes hotel,,Dolgellau,1
camping@dulasmeadow.co.uk,Dulas Meadow,01248 661211,Amlwch,1
canerbachlodge@yahoo.com,Caner Bach Lodge,07799 436413,Bridgend,1
cantrefhouse@aol.com,Top Floor at Cantref House,07436 561391,Brecon,1
carmelhouse17@gmail.com,Carmel House,01492 877643,Colwyn Bay,1
cassie@bigbearlodge.co.uk,Big Bear Lodge,07711 312103,Welshpool,1
castellor@btinternet.com,Castellor Boutique Hotel Cemaes Bay,01407 710789,Amlwch,1
castle.brecon@innmail.co.uk,The Castle of Brecon Hotel,01874 624611,Brecon,1
castle@innmail.co.uk,The Castle Hotel,01492 582800,Colwyn Bay,1
castleinfo@castlehotelwales.com,Castle Hotel,01685 386868,Merthyr Tydfil,1
castleinnknucklas@hotmail.com,Castle Inn,01547 528150,Knighton,1
castleviewglamping@gmail.com,Castle View Glamping,07949 680943,Rhayader,1
cath@secretgardencottages.co.uk,Secret Garden Cottages,01766 512559,Porthmadog,1
cb.manse@gmail.com,The Old Manse Bed and Breakfast,01792 850519,Llanelli,1
cedarlodge.llandudno@gmail.com,Cedar Lodge,01492 877730,Conwy,1
cefncoedcottages@gmail.com,Cefn Coed Cottages,01766 810259,Pwllheli,1
celtic.camping@gmail.com,Celtic Camping & Bunkhouse Accommodation,01348 837405,St Davids,1
chilterns@live.com,Chilterns Guest House,01492 338984,Colwyn Bay,1
chris.marsh@beunoshuts.co.uk,Ffynnon Beuno Ltd,07525 474361,St Asaph,1
chris@enjoygower.com,Coast House Bed & Breakfast,07768 727002,Gowerton,1
christine@brynawelfarm.co.uk,Brynawel Farm,01792 883877,Gorseinon,1
christmas@dragon-hotel.co.uk,Dragon Hotel,01792 657100,Swansea,1
claire@studiosatglenthorne.com,Studios at Glenthorne,07889 450165,Merthyr Tydfil,1
clearwateractivity@outlook.com,Spring Valley Lakes,07759 725507,Maesteg,1
coachandhorseschepstow@gmail.com,Coach & Horses Chepstow Bed & Breakfast in Pub,01291 622626,Chepstow,1
coachhouserudry@yahoo.co.uk,The Coach House,029 2088 4772,Caerphilly,1
coedmawrhall@outlook.com,Coed Mawr Hall & Cottages,01492 650922,Conwy,1
colinlarby@aol.com,College guest house,01437 763710,Haverfordwest,1
contact@alicespringslodge.co.uk,Alice Springs Lodge,,Usk,1
contact@blacklionllanfairtalhaiarn.co.uk,Black Lion,01745 720205,Abergele,1
contact@cambrianhouse.uk,Cambrian House Newtown,07970 814806,Newtown,1
contact@chapeltearoom.com,Pontcysyllte Chapel Tea Room,01978 812786,Acrefair and Cefn Mawr,1
contact@dogsloveholidays.com,Cwmbiga Cottages,01686 430615,Llanidloes,1
contact@eco-escape.co.uk,Eco Escape Campsite,07867 426830,Milford Haven,1
contact@jamesplace.com,James' Place @ Brynawel and James' Place @ Dowlais,07791 884237,Merthyr Tydfil,2
contact@penisarmynydd.co.uk,Penisar Mynydd Caravan Park,01745 582227,Prestatyn,1
contact@pritchardaccommodation.co.uk,Pritchard Accommodation - Ensuite Rooms to Rent Wrexham,07790 827468,Wrexham,1
contact@sansoxygen.com,Felin Uchaf Holiday Cottages,07903 096773,Bethesda,1
contact@thelivingenergyholidays.co.uk,Living Energy Holidays,01497 847103,Hay-on-Wye,1
contact@topjoestownhouse.com,Top Joe's Townhouse,01834 218338,Narberth,1
contact@tyncellarfarm.co.uk,The Barn B&B and Tyn Cellar Farm Cottages,07866 597992,Bridgend,1
contact@unicornhotelllanidloes.com,The Unicorn Hotel,07492 981354,Newtown,1
contacts@esbnyc.com,Hazelwood House,01656 647780,Bridgend,1
cottages@lligwy.co.uk,Plas Lligwy Holiday Cottages,01248 410248,Brynteg,1
courtfield@ntlworld.com,Courtfield Hotel,029 2022 7701,Cardiff,1
coxwoodfarmcottages@gmail.com,Coxwood Farm Holiday Cottages,01978 856766,Wrexham,1
craigeithinbb@gmail.com,Craig Eithin B&B Holyhead Hotel,07947 571504,Holyhead,1
craigside.manor@jwlees.co.uk,"Craigside Manor, Inn with Rooms & Beer Garden",01492 550841,Penrhyn Bay,1
crosskeysusk@googlemail.com,Crosskeys Inn,01291 672535,Cwmbran,1
customerservices@search4local.co.uk,Church House Farm Getaways,07508 235952,Carmarthen,1
cwmiarholidaycottages@yahoo.com,Cwmiar Holiday Cottages,07454 285073,Lampeter,1
cyfnant1@gmail.com,Number 18 Conwy,01492 584356,Colwyn Bay,1
cynfalfrm@aol.com,Cynfal Farm Cottages,01654 711703,Tywyn,1
d_rayment@btconnect.com,Hillcrest Guest House,01978 860208,Rhosllanerchrugog,1
daniela.evans@hotmail.co.uk,Deer View Lodge & Deer View Villas,01446 781230,Llanharan and Brynna,1
danygraigholidaypark@gmail.com,Danygraig Holiday Park,07590 335905,Porthcawl,1
daphne@drysladefarm.co.uk,Dryslade Farm Bed & Breakfast,01594 860259,Monmouth,1
darren0787@hotmail.com,The Horseshoes Inn,01686 640198,Welshpool,1
dave@lab6.com,The Speculation Inn and The Stokesay Inn,01646 476253,Pembroke Dock,2
davidedwardwilliams@hotmail.co.uk,"Llew Coch B&B, Formerly The Red Lion Country Inn B&B & restaurant, self catering",01544 350220,Knighton,1
debbiethefron@gmail.com,The Fron,01591 620592,Builth Wells,1
deborah@gwrachynys.co.uk,Gwrach Ynys Country Guest House,01766 780742,Porthmadog,1
design@olivander.co.uk,The Glyn Clydach,01792 818411,Neath,1
dewisantsolutions@gmail.com,Green Cottage,07888 820122,Bethesda,1
dialinnlamphey@gmail.com,The Dial Inn,01646 672927,Pembroke Dock,1
digeddistud@gmail.com,Digeddi Wildlife Camping,07772 554861,Hay-on-Wye,1
dinorbenarms@yahoo.co.uk,Dinorben Arms hotel,01407 830358,Llangefni,1
dogcare@zipworld.co.uk,Zip World Forest Lodges,01248 601444,Llanrwst,1
dolgoch.bookings@elenydd-hostels.co.uk,Dolgoch Hostel and Tyncornel hostel,01440 730226,Tregaron,2
dolgunuchaf@aol.com,Dolgun Uchaf Guesthouse and Cottages with Jacuzzi and Sauna and Torrent Walk Campsite and Bunkhouse,01341 422269,Dolgellau,2
dolweunydd@gmail.com,Dolweunydd B&B Hotel,01690 710693,Llanrwst,1
dolygaer@parkwoodoutdoors.co.uk,Parkwood Outdoors Dolygaer,01685 848309,Merthyr Tydfil,1
doveyinn.aberdovey@marstons.co.uk,Dovey Inn,01654 767332,Tywyn,1
down@tanylanfarm.co.uk,Tanylan Farm,01267 267306,Carmarthen,1
druidinnllanferres@gmail.com,Druid Inn LLanferres,01352 810225,Connah's Quay,1
eat@theoakwigmore.com,The Oak Wigmore,01568 770424,Knighton,1
eben@eyebytes.com,Gwlad Glamping,01554 890840,Kidwelly,1
elaine.rhind@greenrhinoproperties.co.uk,Bryn Derwen,07872 130714,Bethesda,1
elinor.skinner@artandideas.org,Festival Yurts Hay-On-Wye,0117 973 9363,Hay-on-Wye,1
elmsleighhouse@hotmail.co.uk,Elmsleigh Bed And Breakfast,07974 349832,Hay-on-Wye,1
email@email.com,Hidden Valley Yurts & Lake House,01600 860723,Usk,1
email@gmail.com,River Café Deli,07805 126883,Hay-on-Wye,1
email@tenbyhouse.net,Tenby House Hotel,01834 842000,Tenby,1
emal@gmail.com,Wynberg House Swansea Bed & Breakfast and 3 other hotels,07415 189917,Swansea,4
enoch@koyaproperties.co.uk,Judah Suites By Koya Homes - Serviced Accommodation | Short Lets | Barry Island | Cardiff Airport,01446 788805,Barry,1
enq@castlelodge.co.uk,Castle Lodge Hotel,01989 562234,Monmouth,1
enquiries.theboatinnchepstow@outlook.com,The Boat Inn,01291 626548,Chepstow,1
enquiries@aberystwythholidays.co.uk,Aberystwyth Holiday Village,01970 624211,Aberystwyth,1
enquiries@absoluteadventure.co.uk,Sleeping Giant Bunkhouse,01639 730518,Glynneath,1
enquiries@alfredrusselwallace.co.uk,The Wallace Steakhouse with rooms,01291 347348,Cwmbran,1
enquiries@atlantic-hotel.uk.com,Atlantic Hotel,01834 842881,Tenby,1
enquiries@atlantic-view.co.uk,Atlantic View,01437 781589,Milford Haven,1
enquiries@bearhotel.com,New House Country Hotel - Cardiff and 2 other hotels,029 2052 0280,Cardiff,3
enquiries@beaufortraglan.co.uk,"The Beaufort, Raglan",01291 690412,Pontypool,1
enquiries@bells-hotel.co.uk,Bells Hotel & Country Club,01594 832583,Monmouth,1
enquiries@bettwshall.com,Bettws Hall Accommodation and Bettws Hall,01686 650628,Newtown,2
enquiries@blackmountainbandb.co.uk,Black Mountain View,01550 740512,Glanamman,1
enquiries@borthwnog.com,Borthwnog Hall,01341 430271,Dolgellau,1
enquiries@broadwaycountryhouse.co.uk,Broadway Country House,01994 427969,Carmarthen,1
enquiries@broneifion.co.uk,Bron Eifion Country House Hotel,01766 522385,Caernarfon,1
enquiries@brynacres.co.uk,Vaenol Caravan & Camping Park,01654 710232,Tywyn,1
enquiries@brynhyfrydbandb.co.uk,Brynhyfryd Guest House,07967 777912,Cardigan,1
enquiries@bryntegglamping.co.uk,Brynteg Glamping,01248 719080,Brynteg,1
enquiries@brynwoodlandshouse.co.uk,Bryn Woodlands House,01492 532320,Colwyn Bay,1
enquiries@bullhotel-llangefni.co.uk,"The Bull Hotel, Bar & Restaurant. Book direct and save.",01248 858265,Brynteg,1
enquiries@bushfarmbandb.co.uk,Bush Farm B&B,01588 660330,Knighton,1
enquiries@castlehotelaberaeron.co.uk,Castle Hotel,01545 649140,Lampeter,1
enquiries@celticwoodlandholidays.co.uk,"Celtic Woodland Holidays, Glamping pods and Camping",07880 853162,Llandrindod Wells,1
enquiries@coedmorcottages.co.uk,Coedmor Cottages,07983 168777,Lampeter,1
enquiries@darwinescapes.co.uk,Aberconwy Resort & Spa and 2 other hotels,01492 572002,Colwyn Bay,3
enquiries@dolphin-sa1.com,Dolphin SA1 Hotel,01792 650011,Swansea,1
enquiries@druidstone.co.uk,The Druidstone Hotel,01437 781221,Haverfordwest,1
enquiries@esplanadetenby.co.uk,"No 1, The Esplanade ( Book Direct For Best Prices )",01834 842760,Tenby,1
enquiries@experiencefreedom.co.uk,Lady Margaret's Park Experience Freedom Glamping,01691 777200,Chirk,1
enquiries@felinfachgriffin.co.uk,The Felin Fach Griffin,01874 620111,Brecon,1
enquiries@fishguardbay.com,Fishguard Bay Resort,01348 811415,Fishguard,1
enquiries@fourseasonswales.co.uk,Four Seasons Health Club,01267 290238,Carmarthen,1
enquiries@foxtailholidaypark.co.uk,Foxtail Holiday Park,01691 410134,Chirk,1
enquiries@gellihafhouse.co.uk,Gellihaf House,07494 109862,Caerphilly,1
enquiries@giltar-hotel.co.uk,Giltar Hotel,01834 842507,Tenby,1
enquiries@gladlib.org,Gladstone's Library,01244 532350,Connah's Quay,1
enquiries@glen-yr-afon.co.uk,The Glen Yr Afon House Hotel,01291 672302,Newport,1
enquiries@goodshedsbarry.co.uk,Goodsheds,,Barry,1
enquiries@great-house-laleston.co.uk,Great House Hotel,01656 657644,Bridgend,1
enquiries@gwbertholidays.com,Gwbert Holidays - Green Meadow,01239 612638,Cardigan,1
enquiries@ivybushroyal.co.uk,Ivy Bush Royal Hotel by Compass Hospitality,01267 235111,Carmarthen,1
enquiries@kginspiredproperty.com,Copper House and 15 other hotels,01792 737466,Swansea,16
enquiries@kingshead.co.uk,The King's Head Hotel,01989 763174,Monmouth,1
enquiries@littlehavenretreat.co.uk,Little Haven Retreat,01437 781300,Milford Haven,1
enquiries@liverpoolarms.co.uk,The Liverpool Arms Hotel,01248 810362,Bangor,1
enquiries@llechwenhall.co.uk,Llechwen Hall Hotel,01443 742050,Bridgend,1
enquiries@llwyncountryhouse.co.uk,Llwyn Country House-Restaurant & Wedding Venue Llanelli,01554 899994,Llanelli,1
enquiries@llysaeron.co.uk,Llys Aeron Guest House,01545 570276,Lampeter,1
enquiries@lyonsholidayparks.co.uk,Lyons Robin Hood Holiday Park and 11 other hotels,01745 342264,Rhyl,12
enquiries@maes-y-neuadd.co.uk,Hotel Maes-y-Neuadd,01766 549238,Porthmadog,1
enquiries@marianresortandspa.com,Marian Resort & Spa,01745 703330,Rhyl,1
enquiries@merebrookhouse.com,Mere Brook House,0151 334 5474,Connah's Quay,1
enquiries@merrion-hotel.co.uk,Merrion Hotel,01492 860022,Llandudno,1
enquiries@neuaddarmshotel.co.uk,Neuadd Arms Hotel,01591 610236,Tregaron,1
enquiries@oceandrivebarmouth.co.uk,Ocean Drive,01341 280114,Dolgellau,1
enquiries@oceanviewholidays.com,Ocean View Holiday Park,01970 828425,Aberystwyth,1
enquiries@oceanviewwindmillgower.co.uk,Ocean View - Windmill Gower,01792 974928,Llanelli,1
enquiries@palehall.co.uk,Palé Hall Hotel,01678 530285,Denbigh,1
enquiries@palinsholidaypark.co.uk,Palins Holiday Park,01745 342672,Rhyl,1
enquiries@pencellihotel.co.uk,Pencelli Hotel,01443 540002,Merthyr Tydfil,1
enquiries@penyrorseddfarm.com,Penyrorsedd Farm Bed & Breakfast,01407 730630,Holyhead,1
enquiries@plassey.com,"Plassey - Holiday Park, Retail Village & Golf Course",01978 780277,Rhostyllen,1
enquiries@portclewhouse.co.uk,Portclew House,01646 672800,Pembroke Dock,1
enquiries@princes-arms.co.uk,Princes Arms Hotel,01492 640592,Llanrwst,1
enquiries@redlionknighton.co.uk,The Red Lion,01547 428080,Knighton,1
enquiries@rosedeneguesthouse.co.uk,Rosedene Guesthouse,01646 672586,Pembroke,1
enquiries@slebech.co.uk,Slebech Park Estate,01437 752000,Milford Haven,1
enquiries@stbridgetsfarmhouse.co.uk,St Bridgets Farmhouse Bed & Breakfast,01656 880808,Bridgend,1
enquiries@stdavidsarthouse.co.uk,The Art House,07792 447108,St Davids,1
enquiries@sunsetbandb.co.uk,Sunset Bed and Breakfast,07903 730832,Milford Haven,1
enquiries@swnymorhotel.com,Sŵn Y Môr Hotel,01492 879400,Colwyn Bay,1
enquiries@the-oldpiggery.co.uk,The Old Piggery,01454 632504,Chepstow,1
enquiries@thebatemanarms.uk,The Bateman Arms In Shobdon,01568 601239,Knighton,1
enquiries@thebluebellcrickhowell.co.uk,The Bluebell - Country Pub and Events Space and The Bluebell - Luxury accommodation and Events space,07542 693041,Tredegar,2
enquiries@theglynhirestate.co.uk,The Glynhir Estate,01269 850438,Llanelli,1
enquiries@thelionleintwardine.co.uk,The Lion,01547 540203,Knighton,1
enquiries@themayhillhotel.com,Mayhill Hotel,01600 712280,Monmouth,1
enquiries@theparkwayhotel.co.uk,Parkway Hotel & Spa,01633 871199,Newport,1
enquiries@thepowisarms.com,The Powis Arms,01588 680254,Knighton,1
enquiries@theroyalvictoria.co.uk,The Royal Victoria Hotel,01286 870253,Caernarfon,1
enquiries@thewaterloohotel.co.uk,The Waterloo Hotel & Bistro,01633 264266,Newport,1
enquiries@towncriertenby.co.uk,The Town Crier,01834 823323,Tenby,1
enquiries@trearddurbayhotel.co.uk,Trearddur Bay Hotel,01407 860301,Holyhead,1
enquiries@treysgawen-hall.co.uk,"Tre-Ysgawen Hall, Country House Hotel & Spa",01248 750750,Bangor,1
enquiries@tygwynpark.co.uk,Tŷ Gwyn Caravan Park,01745 827301,Kinmel Bay,1
enquiries@tynedalehotel.co.uk,Tynedale Hotel,01492 877426,Colwyn Bay,1
enquiries@walcothall.com,Walcot Hall,01588 680570,Knighton,1
enquiries@waterings.co.uk,The Waterings,01437 720876,St Davids,1
enquiries@wayfindescapes.co.uk,Wayfind Escapes Pennant Park,01745 563000,Flint,1
enquiries@welshmarches.co.uk,Welsh Marches Holidays,07850 758201,Chepstow,1
enquiries@woodhousefarmholidays.co.uk,Mid Wales Bunkhouse,01597 870081,Rhayader,1
enquiries@y-garth.co.uk,Y Garth Bed and Breakfast ( book direct for best prices ),07814 917920,Fishguard,1
enquiry@dragoninncrickhowell.com,The Dragon Inn Crickhowell,01873 810362,Ebbw Vale,1
enquiry@greyhound-inn.com,Greyhound Inn and Hotel Usk,01291 672505,Newport,1
enquiry@manorparc.com,Manor Parc Hotel,029 2069 3723,Cardiff,1
enquiry@westpoint-hotel.co.uk,West Point Hotel,01492 530331,Colwyn Bay,1
erwfair@outlook.com,Erw Fair Guest House,01286 872400,Bethesda,1
events@bodysgallen.com,Bodysgallen Hall (National Trust),01492 584466,Colwyn Bay,1
events@bryngarwhouse.com,Bryngarw House,01656 729009,Bridgend,1
events@themorganscollection.co.uk,Morgans Hotel,01792 484848,Swansea,1
events@trefloyne.com,Trefloyne Manor,01834 842165,Tenby,1
ewennyfarmguesthouse@hotmail.co.uk,Ewenny Farm Guest House,01656 658438,Bridgend,1
example@domain.com,Midfield Holiday & Residential Park,01970 612542,Aberystwyth,1
example@email.com,De Vere Tortworth Court,01454 263000,Chepstow,1
example@mail.com,St Davids Bunk Barns,01437 720978,St Davids,1
example@mysite.com,The Hand Hotel and 8 other hotels,01691 773472,Wrexham,9
experience@court-colman-manor.com,Court Colman Manor Hotel,01656 720212,Bridgend,1
farnhamhotel@gmail.com,Farnham Hotel,01834 842436,Tenby,1
fountaininntrellech@btconnect.com,Fountain Inn,01291 689303,Chepstow,1
foxandhoundsbancyfelin@gmail.com,The Fox & Hounds,01267 211341,Carmarthen,1
foxhunterinn@aol.co.uk,Foxhunter Inn,07442 809183,Pontypool,1
froawel@gmail.com,Fro Awel Holiday Cottage,,Dolgellau,1
frodosfolly@yahoo.com,Frodo's Folly,07914 726157,Port Talbot,1
frontdesk@empirehotel.co.uk,Empire Hotel,01492 860555,Llandudno,1
g.borrow-hotel@btconnect.com,George Borrow Hotel,01970 890230,Aberystwyth,1
gail_kevin@borderers.com,The Borderers B&B,,Brecon,1
garethwhitelion@outlook.com,The White Lion Hotel,01970 832245,Aberystwyth,1
garyhodgsonpenaber@gmail.com,Penaber Bed and Breakfast,01766 512041,Porthmadog,1
gelliglamping@gmail.com,Gelli Glamping,07832 120571,Llandybie,1
georgina@smith.com,The Ship and 3 other hotels,0151 336 3931,Connah's Quay,4
germorbb@hotmail.com,Germor,01248 364386,Bangor,1
gilfachgower@gmail.com,Gilfach Gower,07870 168005,Ammanford,1
giving@nationaltrust.org.uk,Craflwyn Hall,01766 510120,Blaenau Ffestiniog,1
glanyrafoninn@gmail.com,The Glan Yr Afon Inn,01352 710052,Rhyl,1
glascoed05@gmail.com,Glascoed Guest House,01492 473832,Rhos,1
glendowerhotel@hotmail.com,Glendower Hotel,01348 872873,Fishguard,1
globe.angle@outlook.com,Globe House,01646 641110,Milford Haven,1
glynvalley@stanmorehospitality.co.uk,Glyn Valley Hotel,01691 320111,Rhosllanerchrugog,1
golfshop@rhosgolf.co.uk,Rhos-on-Sea Golf Club,01492 549641,Penrhyn Bay,1
gollyfarmcottages@gmail.com,Golly Farm Cottages,07736 060146,Wrexham,1
grapeshotelsnowdonia@outlook.com,"The Grapes Hotel, Bar & Restaurant",01766 590365,Blaenau Ffestiniog,1
greathousefarmpods@gmail.com,Great House Farm Luxury Pods and Self Catering,07841 815431,Builth Wells,1
groes.inn@jwlees.co.uk,"Groes Inn Hotel & Restaurant, Conwy",01492 650545,Conwy,1
grovehotel.stdavids@marstons.co.uk,Grove Hotel,01437 720341,St Davids,1
