Email Address,SITE,PHONE,TOWN,SITECOUNT
bar@yffarmers.co.uk,Y Ffarmers,01974 261275,Aberystwyth,1
barleymow7@gmail.com,The Barley Mow,01446 311604,Llanharry,1
barmouth@dylansrestaurant.co.uk,Dylan's Llandudno and 2 other restaurants,01492 860499,Colwyn Bay,3
basingstoke@iguanas.co.uk,Las Iguanas - Cardiff and 2 other restaurants,029 2274 1566,Cardiff,3
bath@bananatree.co.uk,Banana Tree Cardiff,029 2010 0778,Cardiff,1
battistinajones@btinternet.com,The Globe Inn,01792 898483,Gorseinon,1
bayleafrisca1@gmail.com,Bayleaf Indian Takeaway | Risca,01633 619191,Risca,1
beachcomberbenllech@btinternet.com,Beachcomber Bar & Grill,01248 851128,Llangefni,1
bedwelltyhouse@aneurinleisure.org.uk,Bedwellty House and Park,01495 369690,Tredegar,1
bellaciaoporttalbot@gmail.com,Bella Ciao Swansea and 2 other restaurants,01792 470000,Swansea,3
bellaebuonavenue@gmail.com,Bella e Buona Italian Restaurant,01495 310762,Ebbw Vale,1
ben.madler@orderyoyo.com,New Ystrad Fish Bar,01443 812690,Ystrad Mynach,1
berettonis@hotmail.it,Bella Roma Restaurant & Pizzeria,01437 531739,Haverfordwest,1
bertie.pontypridd@phoenixpub.co.uk,Bertie,01443 688204,Ynysybwl,1
berwynarms@outlook.com,The Berwyn Arms,01490 430210,Llangollen,1
billasaberdare@gmail.com,Billa's Italian Restaurant and Bar,01685 871562,Aberdare,1
birmingham@fathippo.co.uk,Fat Hippo Cardiff,029 2280 4365,Cardiff,1
bistro8pub@gmail.com,Bistro 8,01495 224200,Blackwood,1
black.lion.buckley@phoenixpub.co.uk,Black Lion,01244 630118,Buckley,1
blacklion-derwenlas@hotmail.com,"Black Lion Inn, Derwenlas",01654 703913,Aston,1
blaenavon.tic@torfaen.gov.uk,Blaenavon World Heritage Centre,01495 742333,Blaenavon,1
blainawharf.newport@marstons.co.uk,Blaina Wharf,01633 262679,Newport,1
blinkinowl.coedeva@phoenixpub.co.uk,Blinkin Owl,01633 484749,Cwmbran,1
blondiesfoodandspirits@gmail.com,Blondie's Food & Spirits,(810) 766-9680,Flint,1
blueanchor.buckley@phoenixpub.co.uk,Blue Anchor,01244 548196,Buckley,1
blueberries614@gmail.com,Blueberries,01407 831844,Amlwch,1
blueberrybookings@yahoo.co.uk,Blueberry Hotel,01443 485331,Pontypridd,1
blueskybach@gmail.com,Blue Sky Cafe & Taproom,01248 355444,Bangor,1
bmi@caerphilly.gov.uk,Blackwood Miners' Institute,01495 227206,Blackwood,1
book@tynrhyl.wales,Barratt's of Tyn Rhyl - Boutique bed & breakfast.,01745 344138,Rhyl,1
bookaroom@heywoodspahotel.co.uk,Heywood Marigold and Heywood Spa Hotel,01834 842087,Pembroke,2
booking@thecaeffatri.com,The Caeffatri Restaurant and Bar,01656 660668,Bridgend,1
booking@whitehouserhuallt.co.uk,White House Restaurant & Hotel,01745 530000,Rhyl,1
bookings@birdinhandfforest.co.uk,The Bird In Hand,01792 828282,Gorseinon,1
bookings@bradleysbuilding.com,Bradleys Building,01597 821761,Llandrindod Wells,1
bookings@junction28.co.uk,Junction 28,01633 891891,Newport,1
bookings@littleindiamonmouth.co.uk,Little India Monmouth,01600 614460,Monmouth,1
bookings@llanellyhouse.org.uk,Plas Llanelly House,01554 772857,Llanelli,1
bookings@no16stdavids.wales,"No.16 St Davids, Restaurant & Cocktail Bar and St Davids Gin & Kitchen under new ownership: www.no16stdavids.wales",07903 982695,St Davids,2
bookings@oceanhaze.co.uk,Ocean Haze Sri Lankan Restaurant,0330 113 0030,St Davids,1
bookings@ofcardiff.co.uk,Ogof,,Cardiff,1
bookings@rockandfountaininn.com,The Rock & Fountain Inn,01633 400297,Chepstow,1
bookings@shipinnredwharfbay.co.uk,"Ship Inn, Red Wharf Bay",01248 852568,Llangefni,1
bookings@stackpoleinn.co.uk,The Stackpole Inn,01646 672324,Pembroke Dock,1
bookings@sugarplumtearoom.co.uk,The SugarPlum Tearoom,01824 702852,Ruthin,1
bookings@thebotanist.uk.com,The Botanist Cardiff and The Botanist Cardiff Bay,029 2013 0053,Cardiff,2
bookings@thebutchersarms.wales,"The Butchers Arms - Steakhouse, Bunkhouse & Pub",01685 723544,Merthyr Tydfil,1
bookings@thegladstone.wales,The Gladstone,01492 623231,Llanfairfechan,1
bookings@thelobsterpot.net,The Lobster Pot Restaurant,01407 521643,Holyhead,1
bookings@theshedporthgain.co.uk,The Shed Fish & Chip Bistro,01348 831518,Milford Haven,1
bookings@thesycamoretree.co.uk,The Sycamore Tree,01656 652827,Llanharry,1
bookings@thetrecastellhotel.co.uk,The Trecastell,01407 521480,Amlwch,1
bookings@twelvetenby.co.uk,Twelve Tenby,01834 845945,Tenby,1
bookings@upstairsatannas.com,Upstairs at Anna's,01492 580908,Conwy,1
bookings@ybryncynan.co.uk,"Y Bryncynan, Morfa Nefyn",01758 720879,Pwllheli,1
bookings@yeoldebullinn.co.uk,Ye Olde Bull Inn,01633 420636,Caerleon,1
bookingsannwnrestaurant@gmail.com,Annwn,07308 313107,Pembroke,1
bouchonderossi@gmail.com,Bouchon De Rossi,01792 655780,Swansea,1
bournemouth@chickaros.co.uk,Chickaros Cwmbran,01633 320562,Cwmbran,1
boxdbar@outlook.com,BOX'D BAR & Pizza,07928 632793,Pontypool,1
boxoffice@torchtheatre.co.uk,Torch Theatre,01646 695267,Milford Haven,1
boxoffice@wyeside.co.uk,Wyeside Arts Centre,01982 552555,Builth Wells,1
bristol@salkaara.co.uk,Salkaara,01656 856150,Bridgend,2
bristoltrader2025@gmail.com,The Bristol Trader,01437 762122,Haverfordwest,1
britanniagower@btconnect.com,Britannia Inn,01792 386624,Llanelli,1
brn@r.mt,Sheesh Mahal,01554 773773,Llanelli,1
broughtonarms.rodeheath@marstons.co.uk,Broughton Arms,01270 883203,Broughton,1
browntrout146@gmail.com,The Brown Trout Pub,07930 728229,Pontypridd,1
bryn@mail.com,Bryn Williams at Theatr Clwyd,01352 609478,Buckley,1
buck.newton@phoenixpub.co.uk,Buck Inn,01686 941325,Newtown,1
bullandheifer@bettwshall.com,Bull & Heifer,01686 651210,Newtown,1
bullinn.llangollen@phoenixpub.co.uk,Bull Inn,01978 862701,Llangollen,1
bunlicious-mold@hotmail.com,Bunlicious,01352 748874,Buckley,1
bunny@sandrabbit.co.uk,Sand Rabbit Bar & Grill,01639 381201,Port Talbot,1
burritoblasus@gmail.com,Burrito Blasus,07346 808613,Blaenau Ffestiniog,1
business@premierinn.com,Premier Inn Cwmbran hotel and 18 other restaurants,0333 777 4636,Cwmbran,19
businessevents@venuecymru.co.uk,Y Review Restaurant,01492 873641,Llandudno,1
bwyddacatering@outlook.com,The Post Room,01633 872986,Cwmbran,1
byalongchalk@gmail.com,Llangeinor Arms and 6 other restaurants,01656 870268,Maesteg,7
cadw.education@gov.wales,Loughor Castle and Castell Rhuddlan,,Loughor,2
caffilolfa@outlook.com,Caffi Lolfá,,Burry Port,1
cameron.ellershaw@orderyoyo.com,Sopna Tandoori Restaurant,01286 675222,Caernarfon,1
caprinae.barry@gmail.com,Namsan Chicken and Namsan,01446 623509,Barry,2
caraway.carmarthen@marstons.co.uk,Caraway,01267 243303,Carmarthen,1
carbonariofchester@gmail.com,Carbonara,07984 589407,Broughton,1
cardiff@coppaclub.co.uk,The Cardiff Townhouse,029 2002 7685,Cardiff,1
carly@browns.wales,Dexters at Browns,01994 427688,Carmarthen,1
carys.williams@pembrokeshire.wales,Memoire Saigon,07415 726148,Tenby,1
casabiancaabergavenny@gmail.com,Casa Bianca Pontypridd,01443 341341,Pontypridd,1
casanovallandudno@gmail.com,Casanova Italian Restaurant,01492 878426,Llandudno,1
casapizza_pt@outlook.com,Casa Pizza,01639 874987,Port Talbot,1
castle.brecon@innmail.co.uk,The Castle of Brecon Hotel,01874 624611,Brecon,1
castle@innmail.co.uk,The Castle Hotel,01492 582800,Conwy,1
castle@jwlees.pub,The Castle,01745 771242,Abergele,1
castleinfo@castlehotelwales.com,Castle Hotel,01685 386868,Merthyr Tydfil,1
castleinnknucklas@hotmail.com,Castle Inn,01547 528150,Knighton,1
cefnhafodinn@hotmail.com,Tafarn Cefn Hafod,01267 643429,Lampeter,1
ceginpunjabi@hotmail.com,Cegin Punjabi,01970 294131,Aberystwyth,1
centralreservations@marstons.co.uk,Pick & Shovell,01443 404632,Pontypridd,1
cernatclaudiu@ymail.com,Florentino’s and Florentino's,01267 232828,Carmarthen,2
chairman@kingdomoffife.camra.org.uk,Tafarn Y Fic,01248 671738,Llanfairpwllgwyngyll,1
chaskastreetfood@outlook.com,CHASKA Asian Street Food,01446 626556,Barry,1
chefmattsampson@gmail.com,FIR by Matt Sampson,07932 782019,Hay-on-Wye,1
cherrylaurel.bridgend@marstons.co.uk,Cherry Laurel,01656 360095,Bridgend,1
cherryorchard.barry@marstons.co.uk,Cherry Orchard,01446 700580,Barry,1
chris@jollysailorburton.co.uk,Jolly Sailor,01646 600378,Milford Haven,1
clare.haynes@boparanrestaurants.com,Slim Chickens and Slim Chickens - Haven,01792 722854,Swansea,3
classykitchen@gmx.co.uk,Classy Kitchen,07311 247696,Swansea,1
clinical.enquiries.w95004@wales.nhs.uk,Pont Newydd Medical Centre,01443 688880,Porth,1
clockworks.ystradgynlais@marstons.co.uk,Clock Works,01792 721084,Ystalyfera,1
clopenny@hotmail.co.uk,Tŷ Ebbw Fach Cafe,01495 211732,Ebbw Vale,1
clubhousemanager@llantrisantgolfclub.com,Porky's at The Clubhouse 1927,01443 228169,Beddau,1
coachandhorseschepstow@gmail.com,Coach & Horses Chepstow Bed & Breakfast in Pub,01291 622626,Chepstow,1
coachandhorsestenby@yahoo.com,Coach & Horses,01834 842704,Tenby,1
coffee@frecklescafecompany.com,Freckles Cafe,01646 562442,Milford Haven,1
coffeeshop@thegatheringmold.co.uk,The Gathering,01352 751307,Mold,1
collierspub@gmail.com,The Colliers Arms,01443 693935,Troed-y-rhiw and Pentrebach,1
contact.gurkhahill@gmail.com,Gurkha Hill Nepalese Restaurant,01443 205822,Pontypridd,1
contact@barneyscafe.co.uk,Barney's Café,01633 837647,Caerleon,1
contact@blacklionllanfairtalhaiarn.co.uk,Black Lion,01745 720205,Abergele,1
contact@callatisgower.co.uk,Callatis,01792 928072,Gorseinon,1
contact@chapeltearoom.com,Pontcysyllte Chapel Tea Room,01978 812786,Acrefair and Cefn Mawr,1
contact@coastrhos.co.uk,COAST Cafe & Gift Shop,,Colwyn Bay,1
contact@dannhanks.com,China Garden Take Away,01654 703080,Machynlleth,1
contact@foodbooking.com,Mermaid Fish Bar,01269 850599,Ammanford,1
contact@grayskiosk.com,Grays Kiosk Mold,07858 834610,Mold,1
contact@latte-da-tearoom.co.uk,Latte-da Coffee & Kitchen,,Crickhowell,1
contact@parva.wales,Parva Farmhouse,01291 689411,Chepstow,1
contact@penllergare.org,Penllergaer Coffee Shop,01792 344224,Penllergaer,1
contact@sansoxygen.com,Main Street Bistro,(360) 829-8912,Buckley,1
contact@theblackbearinn.co.uk,The Black Bear Inn,01873 880701,Abergavenny,1
contact@topjoestownhouse.com,Top Joe's Townhouse,01834 218338,Narberth,1
contact@unicornhotelllanidloes.com,The Unicorn Hotel,07492 981354,Llanidloes,1
contact@wildlakeswales.com,STOKED Restaurant and Wild Lakes Wales,01834 891511,Haverfordwest,2
contact@yrhenprintworks.co.uk,Yr Hen Printworks,01239 612646,Cross Hands and Pen-y-groes,1
contifishbaruk@gmail.com,Conti Fish Bar,01495 240088,Newbridge,1
copadinerandbar@gmail.com,Copa Diner and Bar,01286 674805,Caernarfon,1
coshbrewery2024@hotmail.com,The Brewery Inn,01646 686678,Milford Haven,1
cottages@gwberthotel.com,Flat Rock Bar & Restaurant and Gwbert Hotel and Flat Rock Restaurant and Bar,01239 612638,Cardigan,2
cow-icon@2x.png,Rib and Oyster,07974 913386,Saundersfoot,1
craigside.manor@jwlees.co.uk,"Craigside Manor, Inn with Rooms & Beer Garden",01492 550841,Llandudno,1
criw@blasarfwyd.com,Amser Da,01492 641188,Llanrwst,1
croeso@baobab.cymru,Baobab Cymru,01269 268264,Ammanford,1
croeso@wynnstay.wales,The Wynnstay,01654 702941,Machynlleth,1
cropped-market_inn_logo_b_black@2x.png,Market Inn,01248 572222,Llangefni,1
cropped-nav_logo@2x.png,Indian Saffron Holywell,01352 748980,Holywell,1
cropped-zurita-primary-logo@3x-100.-squarejpg-180x180.jpg,Zurita in Nye Beach,(541) 272-5078,Newport,1
crown.llay@marstons.co.uk,Crown,01978 449528,Wrexham,1
crownandliver.ewloe@phoenixpub.co.uk,Crown & Liver,01244 639127,Buckley,1
customer.services@royalmint.com,The Royal Mint Experience,0800 032 2152,Llantrisant,1
customercare@leekes.co.uk,"Yr Oriel Restaurant, Leekes Cross Hands",01792 544112,Cross Hands and Pen-y-groes,1
customercare@wildwoodrestaurants.co.uk,"Wildwood Llandudno Italian Restaurant | Pizza, Pasta & Grill",01492 550959,Llandudno,1
customerservice@hollywoodbowl.co.uk,Hollywood Bowl Cwmbran,0844 477 0485,Cwmbran,1
customersupport@hortonscoffeehouse.co.uk,Horton's Lounge,01633 258329,Newport,1
cwlhi.graze@hilton.com,Graze,029 2064 6400,Cardiff,1
cwmtalwg.barry@marstons.co.uk,Cwm Talwg,01446 732602,Barry,1
cwrtrawlin.caerphilly@marstons.co.uk,Cwrt Rawlin,029 2086 8001,Caerphilly,1
dark_side_welsh_beer_homepage_banner_bg_1920x1080@2x.png,The Australia,01766 515957,Porthmadog,1
darkhorsemumblessa3@gmail.com,Dark Horse,01792 304557,Bishopston,1
darragh.hutchinson@orderyoyo.com,Amanah's,01269 506358,Ammanford,1
darran.risca@marstons.co.uk,Darran,01633 612414,Risca,1
darren0787@hotmail.com,The Horseshoes Inn,01686 640198,Newtown,1
deborahzsigo@gmail.com,Lion Inn,01600 860322,Monmouth,1
declan.edwards@orderyoyo.com,Ashvale Supper Bar,01495 723616,Tredegar,1
denbighdropoff@gmail.com,Star Grill,01745 815414,Denbigh,1
design@olivander.co.uk,The Loft and The Glyn Clydach,01792 818411,Neath,2
developers@kukd.com,Bragu and 18 other restaurants,07352 451605,Newport,19
dexters@diablos.co,Dexters,01267 223000,Carmarthen,1
dialinnlamphey@gmail.com,The Dial Inn,01646 672927,Pembroke Dock,1
digital-workx-logo-ns-black@3x.png,The Hope and Anchor,01745 818831,Denbigh,1
dine@blasrestaurant.com,Blas Restaurant,01437 725555,Haverfordwest,1
dining@plantagenethouse.com,Plantagenet House Restaurant,01834 842350,Tenby,1
dinorbenarms@yahoo.co.uk,Dinorben Arms hotel,01407 830358,Amlwch,1
dirtygsburgers@gmail.com,Dirty G’s Burgers,07393 869451,Port Talbot,1
dogcare@zipworld.co.uk,Cegin Glo and 2 other restaurants,01685 706666,Aberdare,3
donate@opencart.com,Rania,01352 734200,Flint,1
donotreply@myfoodbasket.net,Gresford Pizza and Sen Charcoal Grill,01978 799930,Gwersyllt,2
doveyinn.aberdovey@marstons.co.uk,Dovey Inn,01654 767332,Tywyn,1
down@tanylanfarm.co.uk,Tanylan Farm,01267 267306,Kidwelly,1
dragon.narbeth@phoenixpub.co.uk,Dragon Inn,01834 860257,Narberth,1
droversarms@outlook.com,The Drovers Rhewl,01824 703163,Denbigh,1
druidinnllanferres@gmail.com,Druid Inn LLanferres,01352 810225,Flint,1
dukeofwellington.ruabon@phoenixpub.co.uk,Duke Of Wellington,01978 810165,Ruabon,1
dukeofwellingtonhotel.cowbridge@marstons.co.uk,Duke Of Wellington Hotel,01446 773592,Cowbridge,1
dunoonhotel@gmail.com,The Next Door Restaurant,01492 860787,Llandudno,1
eagleinn2020@yahoo.com,The Eagle Restaurant & Pub,01792 700491,Clydach,1
eat@dirtyskillet.com,Dirty Skillet,(907) 349-7777,Hope,1
eat@junjira.wales,Junjira Restaurant & Takeaway,01685 257966,Aberdare,1
eat@marthasvineyard.co.uk,Martha’s Vineyard,01646 697083,Milford Haven,1
eat@phatforks.co.uk,Phat Forks,01239 710345,Cardigan,1
eat@sosbanandtheoldbutchers.com,Sosban,01248 208131,Bangor,1
ecom-swiper@11.0.5.js,Bean & Bread Rogerstone,01633 357707,Risca,1
el.cabron.tacos@gmail.com,El Cabron Tacos,,Pontyclun,1
email@email.com,XOLO Mexican,07495 716466,Pontypool,1
enquiries.theboatinnchepstow@outlook.com,The Boat Inn,01291 626548,Chepstow,1
enquiries@alfredrusselwallace.co.uk,The Wallace Steakhouse with rooms,01291 347348,Cwmbran,1
enquiries@barryislandbierkeller.com,Barry Island Bierkeller,07834 700213,Barry,1
enquiries@bearhotel.com,The Coed and 2 other restaurants,01656 860621,Sarn,3
enquiries@blackrockbeachclub.com,Black Rock Beach Club,01766 549858,Porthmadog,1
enquiries@brynwoodlandshouse.co.uk,Bryn Woodlands House,01492 532320,Colwyn Bay,1
enquiries@bullhotel-llangefni.co.uk,"The Bull Hotel, Bar & Restaurant. Book direct and save.",01248 858265,Llangefni,1
enquiries@caferemos.com,Remos,01639 882121,Port Talbot,1
enquiries@californiahotel.wales,The California Hotel,01248 852360,Brynteg,1
enquiries@castell-y-bwch.co.uk,Castell-y-bwch Inn,01633 865620,Cwmbran,1
enquiries@castleinnusk.co.uk,The Castle Inn Usk,01291 673037,Usk,1
enquiries@castleviewpub.com,Castle View Bar and Restaurant,01492 583777,Colwyn Bay,1
enquiries@chwxm.co.uk,Croes Howell Restaurant & Bar,01244 570570,Wrexham,1
enquiries@darwinescapes.co.uk,Signatures Restaurant,01492 583513,Conwy,1
enquiries@derwen.ac.uk,The Orangery Restaurant - Derwen College Marketplace,01691 779213,Chirk,1
enquiries@druidstone.co.uk,The Druidstone Hotel,01437 781221,St Davids,1
enquiries@feastpembrokeshire.co.uk,Feast “At The Quay”,07393 744903,Pembroke,1
enquiries@felinfachgriffin.co.uk,The Felin Fach Griffin,01874 620111,Brecon,1
enquiries@fivearchestavern.co.uk,The Five Arches Tavern,01834 842513,Tenby,1
enquiries@gauchorestaurants.com,Gaucho Cardiff,029 2059 6979,Cardiff,1
enquiries@giltar-hotel.co.uk,Giltar Hotel,01834 842507,Tenby,1
enquiries@glen-yr-afon.co.uk,Clarkes South Wales Restaurant,01291 673202,Monmouth,1
enquiries@goodshedsbarry.co.uk,Rwcola,01446 396878,Rhoose,1
enquiries@great-house-laleston.co.uk,Leicester's Restaurant and Great House Hotel,01656 657644,Bridgend,2
enquiries@griffindale.co.uk,The Griffin,01646 636227,Milford Haven,1
enquiries@gwesty-tynewydd.co.uk,Gwesty Tŷ Newydd,01758 760207,Pwllheli,1
enquiries@harbwrtaptenby.wales,Harbwr Brewery Tap & Kitchen,01834 842273,Tenby,1
enquiries@honeycafe.co.uk,Honey Cafe,01874 711904,Builth Wells,1
enquiries@ivybushroyal.co.uk,Y-TERAS Restaurant,01267 235111,Carmarthen,1
enquiries@llwyncountryhouse.co.uk,Llwyn Country House-Restaurant & Wedding Venue Llanelli,01554 899994,Llanelli,1
enquiries@lyonsholidayparks.co.uk,Autograph Restaurant at Eryl Hall,01745 421236,Denbigh,1
enquiries@marianresortandspa.com,"VIEW Restaurant, North Wales",01745 703330,Rhyl,1
enquiries@mawddach.com,Mawddach Pizza,01341 421752,Dolgellau,1
enquiries@palinsholidaypark.co.uk,Magpie & Stump Bar & Restaurant,01745 342203,Rhyl,1
enquiries@pencellihotel.co.uk,Pencelli Hotel,01443 540002,Treorchy,1
enquiries@petfuneralservices.co.uk,Tea Rooms at the Pet Cemetery,01352 717862,Flint,1
enquiries@piccolinorestaurants.com,Piccolino Chester,01244 312123,Broughton,1
enquiries@plassey.com,"Plassey - Holiday Park, Retail Village & Golf Course",01978 780277,Wrexham,1
enquiries@propergandertywyn.com,Proper Gander,01654 712169,Tywyn,1
enquiries@rhymneybreweryltd.com,Rhymney Brewery,01495 790456,Rhymney,1
enquiries@rossini-s.co.uk,Rossini's Italian Restaurant,01745 353160,Rhyl,1
enquiries@rusticcrust.co.uk,The Rustic Crust at The Bakehouse,07367 341328,Colwyn Bay,1
enquiries@sevenstarsaberedw.co.uk,The Seven Stars Inn Aberedw,01982 560762,Builth Wells,1
enquiries@steakwrexham.co.uk,CarniBoar,01978 536261,Wrexham,1
enquiries@teatraders.co.uk,Tea Traders,01267 237101,Carmarthen,1
enquiries@teifiwatersidehotel.wales,Teifi Waterside Hotel,01239 612085,Cardigan,1
enquiries@thebankusk.com,The Bank,01291 769090,Usk,1
enquiries@thebluebellcrickhowell.co.uk,The Bluebell - Country Pub and Events Space and The Bluebell - Luxury accommodation and Events space,07542 693041,Crickhowell,2
enquiries@thecommercialpontymister.com,Commercial Inn,01633 612608,Risca,1
enquiries@thecripplecreek.com,The Cripple Creek Inn,01291 690256,Monmouth,1
enquiries@thefatboar.co.uk,The Fat Boar,01978 354201,Wrexham,2
enquiries@thejackdawconwy.co.uk,The Jackdaw,01492 596922,Colwyn Bay,1
enquiries@themadplatterusk.co.uk,The Mad Platter,01291 760630,Usk,1
enquiries@therisingsun.wales,The Rising Sun Inn,01437 765171,Haverfordwest,1
enquiries@thestoresanglesey.co.uk,The Stores,07956 584695,Holyhead,1
enquiries@trearddurbayhotel.co.uk,The Inn at the Bay and Bay Restaurant at The Trearddur Bay Hotel,01407 862010,Holyhead,2
enquiries@treysgawen-hall.co.uk,"Romana's Italian Restaurant and Tre-Ysgawen Hall, Country House Hotel & Spa",01248 750750,Llangefni,2
enquiries@trimsaranleisurecentre.com,Trimsaran Leisure Centre,01554 810155,Trimsaran,1
enquiries@valans.co.uk,Gegin Valans,01269 851288,Ammanford,1
enquiries@warrenmanselst.co.uk,The Warren,01267 236079,Carmarthen,1
enquiries@wayfindescapes.co.uk,Salt and Earth Bistro & Bar - Wayfind Pennant Park and Wayfind Escapes Pennant Park,01745 563000,Holywell,2
enquiries@y-bryn.wales,Y Bryn a'r Bragdy,01239 611890,Maerdy,1
enquiries@yourtravelstop.co.uk,Victoria Guest Accommodation & Studio Apartments- Book Direct to Save,01758 612834,Pwllheli,1
enquiries@ytryfan.co.uk,Y Tryfan,01248 605175,Bethesda,1
enquiries@zincabersoch.com,Zinc Cafe Bar & Grill,01758 713433,Pwllheli,1
enquiry@dragoninncrickhowell.com,The Dragon Inn Crickhowell,01873 810362,Crickhowell,1
enquiry@greyhound-inn.com,Greyhound Inn and Hotel Usk,01291 672505,Usk,1
enquiry@shaamnights.com,Shaam nights restaurant,029 2048 2824,Cardiff,1
enw@ebost.cymru,Llofft,01248 670554,Llanfairpwllgwyngyll,1
ers-silver-logo-bilingual-2021@2x-png.jpg,Nant Restaurant and Scholars Restaurant - Coleg y Cymoedd,01443 663050,Caerphilly,2
escapecatering@outlook.com,The Crêpe Escape,029 2070 2385,Penarth,1
events@academycoffee.co.uk,Academy Espresso Bar,,Barry,1
events@globeathay.co.uk,Globe Kitchen and The Globe at Hay,01497 821762,Hay-on-Wye,2
events@le-monde-restaurant.co.uk,Le Monde Restaurant Cardiff,029 2023 1688,Cardiff,1
events@openrestaurants.co.uk,Restaurant Dishes,0331 630 9620,Prestatyn,1
events@originpizza.com,Origin Pizza,,Hay-on-Wye,1
events@ten-degrees.co.uk,Ten Degrees at Market Street,029 2080 7708,Caerphilly,1
events@theoldcustomhousepenarth.co.uk,La Marina Restaurant,029 2070 5544,Penarth,1
events@trefloyne.com,Trefloyne Manor,01834 842165,Tenby,1
example@gmail.co.uk,Greggs,01443 583531,Llanharan and Brynna,2
example@mail.com,St Davids Bunk Barns,01437 720978,St Davids,1
