"Service URN","Service Name","Known as","Service Type","Service Sub-Type","Provision For","Service Address Line 1","Service Address Line 2","Service Address Line 3","Service Town/City","Service Postcode","Service Address UPRN","Local Authority","Other Service Address(es)","Domiciliary care area","Primary telephone number","Primary email address","Website","Main Operating Language of Service","Flying Start Provider","Registered to deliver childcare offer","Delivers early years part time education","Maximum No. of Places","Service Ratings","Provides care during","Term Time Sunday Opening Time","Term Time Sunday Closing Time","Term Time Sunday Overnight Care Provided","Term Time Monday Opening Time","Term Time Monday Closing Time","Term Time Monday Overnight Care Provided","Term Time Tuesday Opening Time","Term Time Tuesday Closing Time","Term Time Tuesday Overnight Care Provided","Term Time Wednesday Opening Time","Term Time Wednesday Closing Time","Term Time Wednesday Overnight Care Provided","Term Time Thursday Opening Time","Term Time Thursday Closing Time","Term Time Thursday Overnight Care Provided","Term Time Friday Opening Time","Term Time Friday Closing Time","Term Time Friday Overnight Care Provided","Term Time Saturday Opening Time","Term Time Saturday Closing Time","Term Time Saturday Overnight Care Provided","Holidays Sunday Opening Time","Holidays Sunday Closing Time","Holidays Sunday Overnight Care Provided","Holidays Monday Opening Time","Holidays Monday Closing Time","Holidays Monday Overnight Care Provided","Holidays Tuesday Opening Time","Holidays Tuesday Closing Time","Holidays Tuesday Overnight Care Provided","Holidays Wednesday Opening Time","Holidays Wednesday Closing Time","Holidays Wednesday Overnight Care Provided","Holidays Thursday Opening Time","Holidays Thursday Closing Time","Holidays Thursday Overnight Care Provided","Holidays Friday Opening Time","Holidays Friday Closing Time","Holidays Friday Overnight Care Provided","Holidays Saturday Opening Time","Holidays Saturday Closing Time","Holidays Saturday Overnight Care Provided","Responsible Individual Names","Registered Person Names","Standard Conditions","Imposed Conditions","Provider URN","Provider Name","Provider Address Line 1","Provider Address Line 2","Provider Address Line 3","Provider Town/City","Provider Postcode","Provider Address UPRN","Provider Type","Company Number","Charity Number","Provider Website","Provider Registration Date","Provider Conditions","Provider No. of Approved Services","Last Updated On"
"SIN-00016202-TJWR","24/7 Exceptional Care Wales","","Domiciliary Support Service","None","","Plas Eirias Business Centre","Abergele Road","","Colwyn Bay","LL29 8BF","50000021640","","","North Wales","01492463224","info@247exceptionalcare.co.uk","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pamela Chipisa","","24/7 EXCEPTIONAL CARE & RECRUITMENT SERVICES LIMITED is registered to provide a domiciliary support service in North Wales regional partnership area; The responsible individual for this service is Pamela Murayi Chipisa","","SPROV-00006754-SYVM","24/7 EXCEPTIONAL CARE & RECRUITMENT SERVICES LIMITED","Unit 1, Quayside Business Park, West Dock Street,","","","Hull","HU3 4AJ","","Limited Company","13168112","","https://www.247exceptionalcare.co.uk/","02/06/2026","","1","02/06/2026 12:56"
"SIN-00005797","3 @ Cradoc","","Childrens Day Care","Full Day Care","","Cradoc Junior School","Cradoc","","Brecon","LD3 9LR","10011750099","Powys","","","01874 622555","office.cradoc@golwgpenyfan.powys.sch.uk","https://golwgpenyfan.powys.sch.uk/","English","No","Yes","Yes","19","Well-being: Excellent; Care and Development: Excellent; Environment: Excellent; Leadership and Management: Excellent","Term Time only","","","","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","09:00","15:30","No","","","","","","","","","","","","","","","","","","","","","","","","","Sarah Court,Bethan Roberts","","The responsible individual for this service is Bethan Roberts; The maximum number of children to be cared for at any time must not exceed 19 .; The responsible individual for this service is Sarah Jane Court","","SPROV-00002913-KHQS","Powys County Council Child Care and Play Services","County Hall","Spa Road East","","Llandrindod Wells","LD1 5LG","10006970180","Local Authority","","","","31/03/2002","","10","06/02/2026 18:46"
"SIN-00010224-HKLV","3 Circles Care Limited","","Domiciliary Support Service","None","","Morgans","Central Chambers","Lion Street","Abergavenny","NP7 5PE","100100985040","","","Gwent","01873269273","info@3circlescare.co.uk","www.3circlescare.co.uk","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mary Charlton","","3 Circles Care Limited is registered to provide a domiciliary support service in Gwent regional partnership area; The responsible individual for this service is Mary Heidi Charlton","","SPROV-00000848-CCJM","3 Circles Care Limited","Morgans","Central Chambers","Lion Street","Abergavenny","NP7 5PE","100100985040","Limited Company","11431793","","www.3circlescare.co.uk","18/02/2019","","1","30/10/2025 17:18"
"SIN-00010225-HJTC","3 Circles Care Limited","","Domiciliary Support Service","None","","Morgans","Central Chambers","Lion Street","Abergavenny","NP7 5PE","100100985040","","","Powys","01873269273","info@3circlescare.co.uk","www.3circlescare.co.uk","English","","","","0","Well-being: Good; Care and Support: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mary Charlton","","3 Circles Care Limited is registered to provide a domiciliary support service in Powys regional partnership area; The responsible individual for this service is Mary Heidi Charlton","","SPROV-00000848-CCJM","3 Circles Care Limited","Morgans","Central Chambers","Lion Street","Abergavenny","NP7 5PE","100100985040","Limited Company","11431793","","www.3circlescare.co.uk","18/02/2019","","2","29/10/2025 14:36"
"SIN-00010338-PKJS","3 Cwlach Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","3 Cwlach Road","","","Llandudno","LL30 2HT","100100955050","Conwy","","","01492860599","Lauren.Nhanga@caretech-uk.com","https://www.caretech-uk.com","English","","","","5","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deana Whittle","","The responsible individual for this service is deana Marie whittle; A maximum of 5 individuals can be accommodated at this service; Prestwood Residential Homes Ltd and CareTech Community Services Limited are registered to provide a Care Home Service at 3 Cwlach Road, Llandudno LL30 2HT","","SPROV-00000899-YKJP","Prestwood Residential Homes Ltd and CareTech Community Services Limited.","4th Floor","Parkview","82 Oxford Road","Uxbridge","UB8 1UX","","Limited Company","04129564","","www.caretech-uk.com","30/05/2019","","1","04/08/2026 13:08"
"SIN-00009829-NPRV","3 Woodside","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability","3 Woodside","Tir-y-berth","","Hengoed","CF82 8BE","43039182","Caerphilly","","","01443821677","admin@pressltd.org","www.pressltd.org","English","","","","3","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Stephen Smothers","","Planned Support Services Ltd is registered to provide a Care Home Service at 3 Woodside 3 WOODSIDE, TIR-Y-BERTH, HENGOED CF82 8BE; A maximum of 3 individuals can be accommodated at this service; The responsible individual for this service is Stephen Smothers","","SPROV-00000658-DDTP","Planned Support Services Ltd","Festival House","Victoria Business Park (5)","","Ebbw Vale","NP23 8AN","10014117931","Limited Company","05432124","","www.pressltd.org","16/04/2019","","1","11/09/2025 09:36"
"SIN-00010340-XDGL","36 Trinity Ave","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","36 Trinity Avenue","","","Llandudno","LL30 2TQ","200002949075","Conwy","","","01492871381","hd.prestwood@caretech-uk.com","https://www.caretech-uk.com/","English","","","","5","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deana Whittle","","The responsible individual for this service is deana Marie whittle; A maximum of 5 individuals can be accommodated at this service; Prestwood Residential Homes Ltd and CareTech Community Services Limited are registered to provide a Care Home Service at 36 Trinity Avenue, Llandudno LL30 2TQ","","SPROV-00000899-YKJP","Prestwood Residential Homes Ltd and CareTech Community Services Limited.","4th Floor","Parkview","82 Oxford Road","Uxbridge","UB8 1UX","","Limited Company","04129564","","www.caretech-uk.com","30/05/2019","","3","25/06/2026 09:08"
"SIN-00008598-QCWC","3D care (Cardiff) Ltd","","Domiciliary Support Service","None","Supported living","Alexandra Gate Business Centre Ltd","2 Alexandra Gate","Ffordd Pengam","Cardiff","CF24 2SA","10091969175","","","Cardiff and Vale","02920894860","3dcarecardiff@gmail.com","","English","","","","0","Well-being: Requires Significant Improvement; Care and Support: Requires Significant Improvement; Leadership and Management: Requires Significant Improvement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deborah Wells","","3D Care (Cardiff) Ltd is registered to provide a domiciliary support service in Cardiff and Vale regional partnership area; The responsible individual for this service is Deborah Maria Wells","","SPROV-00000025-SBNQ","3D Care (Cardiff) Ltd","Alexandra Gate Business Centre Ltd","2 Alexandra Gate","Ffordd Pengam","Cardiff","CF24 2SA","10091969175","Limited Company","05434260","","","24/05/2018","","1","30/07/2026 11:04"
"SIN-00013719-MJPM","4 Chester Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability","4 Chester Road","","","Wrexham","LL12 7AD","100100849733","Wrexham","","","01978788595","info@potens-uk.com","www.potens-uk.com","English","","","","6","Well-being: Excellent; Care and Support: Good; Environment: Good; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glenn Barnett","","A maximum of 6 individuals can be accommodated at this service.; Potensial Ltd is registered to provide a Care Home Service at 4 Chester Road 4 Chester Road, Wrexham, LL12 7AD; The responsible individual for this service is Glenn Adam Charles Barnett","","SPROV-00000897-XGMR","Potensial Ltd","POTENS","68 GRANGE ROAD WEST","","BIRKENHEAD","CH41 4DB","10091764905","Limited Company","05846789","","www.potens-uk.com","26/06/2019","","1","15/06/2026 11:10"
"SIN-00015523-PMQP","4Most healthcare limited","","Domiciliary Support Service","None","","2 Cae Hir","","","Flint","CH6 5UB","100100235505","","","North Wales","07828051910","info@4mosthealthcare.com","","English","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rekha Pandalil Thankachan","","The responsible individual for this service is Rekha Pandalil Thankachan; 4Most Healthcare Limited is registered to provide a domiciliary support service in North Wales regional partnership area","","SPROV-00006490-SDPC","4Most Healthcare Limited","2 Cae Hir","","","Flint","CH6 5UB","100100235505","Limited Company","15209101","","","12/11/2025","","1","12/11/2025 09:04"
"SIN-00013047-CVVQ","52 Narberth Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","52 Narberth Road","","","Cardiff","CF5 5EY","100100093115","Cardiff","","","02920 202 509","simon@pilipalacare.co.uk","www.pilipalacare.co.uk","English","","","","6","Well-being: Good; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Simon Clarke","","A maximum of 6 individuals can be accommodated at this service.; Pilipala Care Ltd is registered to provide a Care Home Service at 52 Narberth Road 52 Narberth Road, Cardiff, CF5 5EY; The responsible individual for this service is Simon Donald Clarke","","SPROV-00005611-HFTL","Pilipala Care Ltd","6 Abbey Terrace","","","Tewkesbury","GL20 5SP","200004321046","Limited Company","13666015","","www.pilipalacare.co.uk","18/07/2022","","1","19/05/2026 08:22"
"SIN-00009428-BGYL","57 Tir Morfa","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability","57 Tir Morfa Road","","","Port Talbot","SA12 7PF","100100631563","Neath Port Talbot","","","01639881928","lynda.rosselli@communitylives.org","https://www.communitylives.co.uk/","English","","","","4","Well-being: Excellent; Care and Support: Excellent; Environment: Good; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lynda Rosselli","","A maximum of 4 individuals can be accommodated at this service; Community Lives Consortium is registered to provide a Care Home Service at 57 Tir Morfa 57 TIR MORFA ROAD, PORT TALBOT SA12 7PF; The responsible individual for this service is Lynda Rosselli","","SPROV-00000475-YVPT","Community Lives Consortium","Community Lives Consortium","23-24","Walter Road","Swansea","SA1 5NN","100100987739","Charitable Company","09442336","1161709","www.communitylives.org","20/05/2019","","3","25/09/2025 07:30"
"SIN-00014217-NVDS","59 Beechley Road","","Care Home Service","Adults Without Nursing","Learning disability","Abbeyfield Society","59 Beechley Road","","Wrexham","LL13 7AU","10090396219","Wrexham","","","03309121680","enquiries@fairparkcare.com","www.fairparkcare.com","English","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ryan Sandick","","The responsible individual for this service is Ryan Edward Sandick; A maximum of 7 individuals can be accommodated at this service.; Fairpark Care Limited is registered to provide a Care Home Service at 59 Beechley Road Abbeyfield Society, 59 Beechley Road, Wrexham, LL13 7AU","","SPROV-00005766-LSSC","Fairpark Care Limited","Glendale House","Glendale Avenue","Sandycroft Flints Sandycroft Industrial Estate","Sandycroft, Deeside, Wales","CH5 2DL","","Limited Company","13144251","","www.fairparkcare.com","17/01/2023","","2","05/05/2026 12:38"
"SIN-00010339-YTSR","7 Clarence Road","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","7 Clarence Road","","","Llandudno","LL30 1BX","100100954642","Conwy","","","01492874355","russell.cook@caretech-uk.com","https://www.caretech-uk.com/","English","","","","4","Well-being: Excellent; Care and Support: Good; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Deana Whittle","","The responsible individual for this service is deana Marie whittle; A maximum of 4 individuals can be accommodated at this service; Prestwood Residential Homes Ltd and CareTech Community Services Limited are registered to provide a Care Home Service at 7 Clarence Road, Llandudno LL30 1BX","","SPROV-00000899-YKJP","Prestwood Residential Homes Ltd and CareTech Community Services Limited.","4th Floor","Parkview","82 Oxford Road","Uxbridge","UB8 1UX","","Limited Company","04129564","","www.caretech-uk.com","30/05/2019","","2","10/04/2026 15:38"
"SIN-00000692","7-2-11 Club","","Childrens Day Care","Out of School Care","","Hawarden Village Church in Wales Primary School","Cross Tree Lane","","Hawarden","CH5 3PY","10013704778","Flintshire","","","07902623022","7211@hawardenvillage.wales","hawardenvillage.net","English","No","Yes","No","60","Well-being: Excellent; Care and Development: Good; Environment: Good; Leadership and Management: Good","Term Time and Holidays","","","","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","07:30","17:30","No","","","","","","","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","08:00","17:30","No","","","","","Catherine Jones, Lucy Humphreys","The maximum number of children to be cared for at any time must not exceed 60.","","","","","","","","","","","","","","","","","19/11/2025 09:08"
"SIN-00014774-BMQM","78 Westwood Drive","","Care Home Service","Adults Without Nursing","Personal care for adults","78 Westwood Drive","","","Treharris","CF46 5BL","100100593601","Merthyr Tydfil","","","01443 414858","info.78Westwooddrive@swantoncare.com","","English","","","","1","Well-being: Excellent; Care and Support: Excellent; Environment: Good; Leadership and Management: Excellent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kate Townsley","","A maximum of 1 individuals can be accommodated at this service.; SWANTON CARE & COMMUNITY LIMITED is registered to provide a Care Home Service at 78 Westwood Drive 78 Westwood Drive, Treharris, CF46 5BL; The responsible individual for this service is Kate Louvaine Madelaine Townsley","","SPROV-00006204-HTLK","SWANTON CARE & COMMUNITY LIMITED","Number Three, Siskin Drive","Middlemarch Business Park","Coventry","England","CV3 4FJ","","Limited Company","05789785","","https://www.swantoncare.com","04/02/2025","","11","11/02/2026 09:08"
"SIN-00014860-TLHP","79 Brompton Avenue","","Care Home Service","Adults Without Nursing","Personal care for adults, Learning disability, Mental health","79 Brompton Avenue","Rhos On Sea","","Colwyn Bay","LL28 4TP","100100444142","Conwy","","","01492 540778","ryecroft@coeddu.com","www.coeddu.com","English","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Esther Jones","","A maximum of 3 individuals can be accommodated at this service.; Coed Du Hall Ltd is registered to provide a Care Home Service at 79 Brompton Avenue 79 Brompton Avenue, Rhos On Sea, Colwyn Bay, LL28 4TP; The responsible individual for this service is Esther Louise Jones","","SPROV-00000636-NJKH","Coed Du Hall Ltd","Coed Du Hall Ltd","6-8 Old Hall Road","Gatley","Cheadle, Cheshire","SK8 4BE","","Limited Company","02873799","","","09/01/2019","","2","07/05/2026 15:30"
"SIN-00014775-FQNB","80 Westwood Drive","","Care Home Service","Adults Without Nursing","Personal care for adults","80 Westwood Drive","","","Treharris","CF46 5BL","100100593602","Merthyr Tydfil","","","01443 809335","info.80Westwooddrive@swantoncare.com","","English","","","","1","Well-being: Excellent; Care and Support: Excellent; Environment: Good; Leadership and Management: Good","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kate Townsley","","A maximum of 1 individuals can be accommodated at this service.; SWANTON CARE & COMMUNITY LIMITED is registered to provide a Care Home Service at 80 Westwood Drive 80 Westwood Drive, Treharris, CF46 5BL; The responsible individual for this service is Kate Louvaine Madelaine Townsley","","SPROV-00006204-HTLK","SWANTON CARE & COMMUNITY LIMITED","Number Three, Siskin Drive","Middlemarch Business Park","Coventry","England","CV3 4FJ","","Limited Company","05789785","","https://www.swantoncare.com","04/02/2025","","12","06/02/2026 05:26"
