Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
Arbennig,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,3,01978757623,sian.davies@keys-group.co.uk,,Keys Young People Limited,2
Archway Court Day Nursery,Childrens Day Care,Full Day Care,,103-109 Caerleon Road,,Newport,NP19 7BZ,Newport,88,01633255379,archwaycourt@hotmail.com,www.archwaycourt.com,,
Archway Court Kids` Club,Childrens Day Care,Out of School Care,,119a Caerleon Road,,Newport,NP19 7BZ,Newport,50,01633255379,archwaycourt@hotmail.com,www.archwaycourt.com,,
Argel Family Unit,Childrens Day Care,Sessional Day Care,,Argel Family Centre,Llansteffan Road,Carmarthen,SA31 3NQ,Carmarthenshire,19,01267234520,NoThomas@sirgar.gov.uk,,Carmarthenshire County Council Child Care and Play Services,6
Arosfa,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Mold,,Flintshire,5,01352700127,walesadmin@actionforchildren.org.uk,www.actionforchildren.org.uk,Action for Children and Action for Children Services Ltd,12
Ash,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,6,01824572003,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,7
Ash Lodge,Care Home Service,Childrens Home,Personal care for children,,,Aberdare,,Rhondda Cynon Taf,4,01685872448,louise.hickman@aropacare.co.uk,www.aropacare.co.uk,AROPA CARE GROUP LTD,5
Ash Square Respite Home ,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Pontypridd,,Rhondda Cynon Taf,4,01443493668,walesadmin@actionforchildren.org.uk,,Action for Children and Action for Children Services Ltd,10
Ashbury House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Ashbury House,Greenmoor Lane,Magor,NP26 3HT,Monmouthshire,6,01633881879,ccharles@consensussupport.com,https://www.consensussupport.com/find-a-home-search-results/?postcode=&home=ashbury&region=&accommodation_category=,Consensus Support Services Limited,1
Ashfield House,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,2,07966698188,Ceri.Jones6@Cardiff.gov.uk,,Cardiff Council Adults and Children's Services,8
Ashgrove,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",7 Ash Grove,,Barry,CF63 1LS,Vale of Glamorgan,3,01446400491,info@potens-uk.com,www.potens-uk.com,The Cedars Care Services Ltd,4
Aspen Grove,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,3,07966698188,Ceri.Jones6@Cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,7
Aspire Day Nursery,Childrens Day Care,Full Day Care,,69-71 Pontardulais Road,,Swansea,SA4 4FF,Swansea,52,01792892132,aspiredaynursery@hotmail.com,,,
Atlantic College,Boarding School,None,,Atlantic College,,Llantwit Major,CF61 1WF,Vale of Glamorgan,400,,,,,
Augusta House,Care Home Service,Adults Without Nursing,"Learning disability, Personal care for adults",Learning Disability Services,Augusta House,Ebbw Vale,NP23 8DN,Blaenau Gwent,8,01495305805,helen.beecham@blaenau-gwent.gov.uk,,Blaenau Gwent County Borough Council Adults and Children's Services,4
Avalon,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",3 Betws Avenue,Kinmel Bay,Rhyl,LL18 5BN,Conwy,5,01745356164,hello@mhc-uk.com,www.mentalhealthcare-uk.com/,Mental Health Care (U.K) Limited,1
Avalon,Care Home Service,Adults Without Nursing,"Learning disability, Mental health",13 Kyveilog Street,,Cardiff,CF11 9JA,Cardiff,6,02920237575,avalon@priorygroup.com,www.priorygroup.com,PARKCARE HOMES (NO.2) LIMITED,4
Avondale,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",130a,Pencisely Road,Cardiff,CF5 1DR,Cardiff,5,02920494445,info@integraclo.org,https://nationalcaregroup.com/view/avondale/,Integra Community Living Options Limited,4
Awel Tywi,Care Home Service,Adults Without Nursing,Personal care for adults,Aweltywi Home,Bethlehem Road,Llandeilo,SA19 6SY,Carmarthenshire,38,01558 822556,aweltywicarehome@carmarthenshire.gov.uk,,Carmarthenshire County Council Adults and Children's Services,4
Awel Y Mor,Care Home Service,Adults Without Nursing,Personal care for adults,Stammers House,Stammers Road,Saundersfoot,SA69 9HZ,Pembrokeshire,3,01834813225,enquiries@orbis-group.co.uk,www.orbis-group.co.uk,Pembrokeshire Resource Centre LTD,6
Azalea House,Care Home Service,Childrens Home,Personal care for children,,,Deeside,,Flintshire,1,07484942444,azeleahouse@blustonesmedicalcomplexcare.co.uk,,Bluestones Medical Complex Care Limited,11
Babes in the Wood Langstone,Childrens Day Care,Sessional Day Care,,Langstone Village Hall,Old Chepstow Road,Newport,NP18 2ND,Newport,26,07825542092,info@babesinthewood.org.uk,,,
Babes in the Wood Llanmartin,Childrens Day Care,Full Day Care,,The Demountable,Llanmartin Primary School,Llanmartin,NP18 2HB,Newport,24,07825542194,info@babesinthewood.org.uk,,,
Baby Acorns,Childrens Day Care,Full Day Care,,42 Partridge Road,Roath,Cardiff,CF24 3QX,Cardiff,55,02920472246,babyacorns@acornsnurseries.co.uk,www.acornsnurseries.co.uk,Acorns Nurseries Ltd,6
Baden Powell,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,2,07812 482852,Ceri.Jones6@Cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,4
Baglan Buddies Out of School Club,Childrens Day Care,Out of School Care,,Blaen Baglan Primary School,Maes Ty Canol,Port Talbot,SA12 8YF,Neath Port Talbot,40,07769331547,Katie.james13@icloud.com,,,
Bakelyn Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",86 Martin Street,Morriston,Swansea,SA6 7BL,Swansea,4,01792413076,manager.blakelynlodge@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,7
Bakers Way Short Breaks Service,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Bridgend,,Bridgend,5,01656720509,laura.minton-hughes@bridgend.gov.uk,www.bridgend.gov.uk,Bridgend County Borough Council Adults and Children's Services,8
Bangeston Hall,Care Home Service,Adults Without Nursing,Personal care for adults,Pembrokeshire Resource Centre,Bangeston Hall,Pembroke Dock,SA72 4RX,Pembrokeshire,17,01646682564,enquiries@orbis-group.co.uk,www.orbis-group.co.uk,Pembrokeshire Resource Centre LTD,2
Bay View Lodge,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Bay View Lodge,26 Porthkerry Road,Barry,CF62 3HD,Vale of Glamorgan,7,02921 684791,manager.bayviewlodge@accomplish-group.co.uk,,Accomplish group ltd,6
Beach House Day Nursery,Childrens Day Care,Full Day Care,,37 Marine Drive,,Rhyl,LL18 3AY,Denbighshire,42,01745369479,officebeachhouserhyl@gmail.com,,,
Beacons View Lodge,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,4,01792449500,jodie.davies@athenacaregroup.co.uk,www.athenacaregroup.co.uk,Athena Care Group Ltd,4
Beatrice Webb,Care Home Service,Adults Without Nursing,Personal care for adults,Beatrice Webb Home For The Elderly,Bloomfield Road,Blackwood,NP12 1QB,Caerphilly,30,01495225773,suggis@caerphilly.gov.uk,www.caerphilly.gov.uk,Caerphilly County Borough Council Adults and Children's Services,6
Bechan Bach,Childrens Day Care,Full Day Care,,Ysgol Rhiw Bechan,Tregynon,Newtown,SY16 3EH,Powys,24,01686650303,office@rhiwbechan.powys.sch.uk,www.rhiwbechan.powys.sch.uk,Powys County Council Child Care and Play Services,6
Beddau Community Home,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Pontypridd,,Rhondda Cynon Taf,5,01443202600,nicola.howard@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,17
Beech,Care Home Service,Adults Without Nursing,,Mental Health Care Uk,Alexander House Highfield Park,Denbigh,LL16 4LU,Denbighshire,2,01824572044,hello@mhc-uk.com,,Mental Health Care (U.K) Limited,15
Beech Cottage,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",1-4 Beech Terrace,Abercwmboi,Aberdare,CF44 6AW,Rhondda Cynon Taf,4,01443479907,jill.bow@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,14
Beech House,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",27-29 Cog Road,Sully,Penarth,CF64 5TD,Vale of Glamorgan,10,02920394410,lucille.fenton@iriscaregroup.co.uk,www.iriscaregroup.co.uk,Ocean Community Services Limited,15
Beech Tree Farm,Care Home Service,Childrens Home,Personal care for children,,,Swansea,,Swansea,5,07988705231,rachel.pridmore@prioritychildcare.co.uk,www.prioritychildcare.co.uk,Priority Childcare Limited,5
Beechley Drive,Care Home Service,Adults Without Nursing,"Learning disability, Mental health, Personal care for adults",4-6 Beechley Drive,,Cardiff,CF5 3SF,Cardiff,8,02920575290,liannebarrow@priorygroup.com,www.priorygroup.com,PARKCARE HOMES (NO.2) LIMITED,5
Bees Knees Day Nursery,Childrens Day Care,Full Day Care,,3 Albert Street,,Rhyl,LL18 2DA,Denbighshire,44,01745 344123,beeskneesnursery@hotmail.com,www.beeskneesdaynursery.co.uk,,
Bennions,Care Home Service,Childrens Home,Personal care for children,,,Wrexham,,Wrexham,2,01978357524,manager.bennionsroad@keys-group.co.uk,www.keys-group.co.uk,Keys Young People Limited,3
Berse Church Hall Nursery,Childrens Day Care,Full Day Care,,Berse Church Hall,Berse Road,Wrexham,LL11 6TP,Wrexham,78,01978754723,church-hall@btconnect.com,www.caego-nursery.co.uk,,
Bettws Flying Start Playgroup,Childrens Day Care,Sessional Day Care,,Bettws Primary School,Heol Bradford,Bridgend,CF32 8TB,Bridgend,18,01656 815028,,www.actionforchildren.org.uk,Action for Children,7
Beudygwyn Farm,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Beudygwyn Farm,,Amlwch,LL68 0PR,Isle of Anglesey,18,01407711433,louise.parry@achievetogether.co.uk,www.achievetogether.co.uk,Achieve together Ltd,14
Birch Lodge,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,4,01639814544,leah.murrell@aropacare.co.uk,www.aropacare.co.uk,AROPA CARE GROUP LTD,7
Blaen y Pant,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Blaen Y Pant Home,76 Blaen Y Pant Crescent,Newport,NP20 5PX,Newport,32,01633855548,Blaen-Y-Pant.House@newport.gov.uk,www.newport.gov.uk,Newport City Council Adults and Children's Services,12
Blaen y Waun,Care Home Service,Childrens Home,"Personal care for children, Mental health",,,Llanelli,,Carmarthenshire,2,01269871777,helen.kermode@prioritychildcare.co.uk,www.prioritychildcare.co.uk,Priority Childcare Limited,8
Blaenau Respite Childrens Centre,Care Home Service,Childrens Home,"Learning disability, Personal care for children",,,Ammanford,,Carmarthenshire,3,07977734539,TLBreeze@carmarthenshire.gov.uk,www.carmarthenshire.gov.wales,Carmarthenshire County Council Adults and Children's Services,10
Blaendare House,Care Home Service,Childrens Home,Personal care for children,,,Pontypool,,Torfaen,2,01495 360962,matthew.stephens@serencare.co.uk,www.serencare.co.uk,Seren Care Limited,8
Blodau Bach Trehafren,Childrens Day Care,Sessional Day Care,,Trehafren Childrens Centre,Trehafren Meeting Hall,Newtown,SY16 1QB,Powys,24,,,,Powys County Council Childcare Team,1
Blodau Bach Treowen,Childrens Day Care,Sessional Day Care,,Community Hall,Heol Treowen,Newtown,SY16 1BF,Powys,20,,,,Powys County Council Childcare Team,2
Blodyn Tatws,Childrens Day Care,Full Day Care,,Parc Cefni,,Llangefni,LL77 7PJ,Isle of Anglesey,37,01248 723321,lindsayboyleblodyntatws@gmail.com,,,
Bluebells Flying Start Playgroup,Childrens Day Care,Sessional Day Care,,Alway Centre,Aberthaw Avenue,Newport,NP19 9NS,Newport,17,07976051789,Lynda.goodwin@newport.gov.uk,,Newport City Council Child Care and Play Service,1
Bluebells Forest Children,Childrens Day Care,Full Day Care,,Monmouthshire County Council,Mardy Park,Abergavenny,NP7 6HU,Monmouthshire,14,07969298052,bluebellschildren@gmail.com,https://www.bluebellsforestchildren.com,,
Bobl Bach Pre-School,Childrens Day Care,Sessional Day Care,,Building No. 2,Pant Primary School,Merthyr Tydfil,CF48 2AD,Merthyr Tydfil,20,07708510666,michelle.mccarthy@merthyr.gov.uk,,Merthyr Tydfil County Borough Council Early Years Team,2
Bodlondeb Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Learning disability, Mental health, Personal care for adults",Summerhill Road Stansty,,Wrexham,LL11 4YE,Wrexham,68,01978758790,ResponsibleIndividual@pendinepark.com,www.pendinepark.com,Pendine Park Care Organisation Ltd,5
Bodnant Bach Fun Club,Childrens Day Care,Full Day Care,,Ysgol Bodnant,46 Nant Hall Road,Prestatyn,LL19 9LN,Denbighshire,84,07436026124,bodnantbach2021@gmail.com,,,
Bonymaen House ,Care Home Service,Adults Without Nursing,Personal care for adults,City & County Of Swansea,62 Cardigan Crescent,Swansea,SA1 7DY,Swansea,28,01792773106,linda.price@swansea.gov.uk,swansea.gov.uk,City and County of Swansea Adults and Children's Services,3
Bonymaen Kids Play Initiative,Childrens Day Care,Open Access Play Provision,,Bonymaen Community Centre,Bonymaen Road,Swansea,SA1 7AT,Swansea,80,01792462322,bkpisarah@yahoo.co.uk,,,
Borderbrook Community Playgroup,Childrens Day Care,Full Day Care,,Borderbrook School,Tallarn Green,Malpas,SY14 7LJ,Wrexham,10,07521508282,borderbrookplaygroup@gmail.com,,,
Bramble Cottage,Care Home Service,Adults Without Nursing,Personal care for adults,Bramble Cottage,Cwm-yr-allt Lane,Hengoed,CF82 8AW,Caerphilly,3,01443 822709,info.Bramblecottage@swantoncare.com,,SWANTON CARE & COMMUNITY LIMITED,16
Bramble Hedge Childcare Services,Childrens Day Care,Out of School Care,,Romily Primary School,Romilly Road,Barry,CF62 6LF,Vale of Glamorgan,40,07891863076,bramblehedge06@aol.com,,,
Breakaway Short Stay Service,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",14-16 Abbey Road,Kenfig Hill,Bridgend,CF33 6HF,Bridgend,6,01656743295,rebecca.pratt@bridgend.gov.uk,,Bridgend County Borough Council Adults and Children's Services,6
Bridge View,Care Home Service,Childrens Home,Personal care for children,,,Caldicot,,Monmouthshire,5,01633656656,louise.quatermass@newport.gov.uk,,Newport City Council Adults and Children's Services,7
Bright Beginnings at Tythegston,Childrens Day Care,Full Day Care,,Ty Gwendoline,Tythegston,Bridgend,CF32 0ND,Bridgend,33,01656788099,sandralong68@btinternet.com,www.bright-beginnings.biz,,
Bright Beginnings Nursery,Childrens Day Care,Full Day Care,,St David`s Church Hall,Florence Street,Porthcawl,CF36 3PF,Bridgend,48,01656773864,brightbeginnings1@hotmail.com,http://www.bright-beginnings.biz/,,
Bright Stars,Childrens Day Care,Full Day Care,,Creunant Primary School,School Road,Neath,SA10 8NS,Neath Port Talbot,16,07791891505,,,,
Briton Ferry Childcare,Childrens Day Care,Full Day Care,,The Scout Hut,Old Road,Neath,SA11 2HA,Neath Port Talbot,36,01639769649,britonferrychildcare96@gmail.com,,,
Brocastle Manor Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Brocastle House,,Bridgend,CF35 5AU,Bridgend,80,01656679120,BrocastleRM@hafod.org.uk,www.hafod.org.uk,Hafod Housing Association Ltd,1
Brodawel ,Care Home Service,Adults Without Nursing,Personal care for adults,Brodawel Resource Centre,Court Road South,Caerphilly,CF83 2QW,Caerphilly,24,02920852552,dayej@caerphilly.gov.uk,www.caerphilly.gov.uk,Caerphilly County Borough Council Adults and Children's Services,8
Bron y Nant,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Bron Y Nant,Dinerth Road,Colwyn Bay,LL28 4YL,Denbighshire,8,01492 576671,disabilityrespite@conwy.gov.uk,,Conwy County Borough Council Adults and Children's Services,1
Bronwydd Road,Care Home Service,Childrens Home,Personal care for children,,,Cardiff,,Cardiff,1,07890963137,Ceri.Jones6@Cardiff.gov.uk,www.cardiff.gov.uk,Cardiff Council Adults and Children's Services,2
Brwynog Residential Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Madyn Road,,Amlwch,LL68 9DH,Isle of Anglesey,29,01407830326,brwynog@anglesey.gov.uk,https://www.anglesey.gov.wales/en/Residents/social-care-and-wellbeing/Section.aspx,Isle of Anglesey County Council Adults and Children's Services,5
Bryn Blodau,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Bryn Blodau Residential Home,Ffestiniog,Blaenau Ffestiniog,LL41 4LW,Gwynedd,41,01766762621,sharonkeywood@gwynedd.llyw.cymru,,Gwynedd Council Adults and Children's Services,2
Bryn Irfon,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Bryn Irfon,Station Road,Llanwrtyd Wells,LD5 4RW,Powys,8,01591610396,manager.brynirfon@accomplish-group.co.uk,https://accomplish-group.co.uk,Accomplish group ltd,30
Bryn Lodge,Care Home Service,Childrens Home,Personal care for children,,,Port Talbot,,Neath Port Talbot,5,01792449500,ashleigh.luckwell@athenacaregroup.co.uk,www.athenacaregroup.co.uk,Athena Care Group Ltd,5
Bryn Seiont Newydd,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Bryn Seiont Newydd,Pant Road,Caernarfon,LL55 2YU,Gwynedd,107,01286684540,responsibleindividual@pendinepark.com,www.pendinepark.com,Pendine Park Care Organisation Ltd,4
Bryn Sych Farm,Care Home Service,Childrens Home,Personal care for children,,,Llantwit Major,,Vale of Glamorgan,4,01446796430,brynsych@landskercare.co.uk,www.landskerchildcare.co.uk,Landsker Child Care Ltd,7
Bryn Y Cae Residential Services for older people ,Care Home Service,Adults Without Nursing,Personal care for adults,Cae Bracla,Brackla,Bridgend,CF31 2HF,Bridgend,37,01656815545,psbrynycaehfe@bridgend.gov.uk,,Bridgend County Borough Council Adults and Children's Services,4
Brynawel,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",13 Cradoc Road,,Brecon,LD3 9LH,Powys,7,01874 624729,bethan.morgan@accomplish-group.co.uk,,Accomplish group ltd,5
Brynawel,Care Home Service,Adults Without Nursing,"Mental health, Personal care for adults",77 Brecon Road,,Abergavenny,NP7 7RD,Monmouthshire,5,01873851164,brynawel@priorygroup.com,www.priorygoup.com,PARKCARE HOMES (NO.2) LIMITED,6
Bryndar,Care Home Service,Childrens Home,"Personal care for children, Learning disability",,,Aberdare,,Rhondda Cynon Taf,5,01685874365,lisa.sansom@rctcbc.gov.uk,,Rhondda Cynon Taff County Borough Council Adults and Children's Services,18
