Email Address,SITE,LOCALAUTH,SITECOUNT
belvederehouserch@yahoo.co.uk,Belvedere House Residential Care Home,Pembrokeshire,1
ben@f-care.co.uk,Five Oaks,Monmouthshire,1
ben@oakmontservicesgroup.co.uk,Oakmont House and 4 other services you run,Carmarthenshire,5
ben@safestepscare.org,Serenissima Care Home and Tawelwch,Carmarthenshire,2
benllechplaygroup733@gmail.com,Benllech Playgroup,Isle of Anglesey,1
benroberts@astarsupportservices.co.uk,Clock House Residential,Flintshire,1
berriewplaygroup16@gmail.com,Berriew Pre-school,Powys,1
berwyn@nurt.co.uk,Berwyn House,Torfaen,1
beth.davies@vals-place.co.uk,The Pines Children’s Home,Neath Port Talbot,1
bethan@summit-care-services.com,Ty Brian,Wrexham,1
bethan@theoldvicllan.co.uk,The Old Vicarage Llangollen,Denbighshire,1
bethelcare@hebronhall.org,Bethel House Care Home,Vale of Glamorgan,1
bethfaye1@yahoo.co.uk,Clwb Ysgol Glan Conwy CIO,Conwy,1
betterdayscare@yahoo.com,Better Days Care,,1
birchgrove@fairways.co,Birch Grove,Powys,1
bishopstonplayassociation@gmail.com,Bishopston Playscheme,Swansea,1
bizzidaynursery@hotmail.co.uk,BIZZI Day Nurseries Ltd,Rhondda Cynon Taf,1
bizzidaynurserypencoed@hotmail.co.uk,Bizzi Day Nurseries Limited Pencoed,Bridgend,1
blackwood@greenfields-nursery.com,Greenfields Nursery Blackwood,Caerphilly,1
blaenmarlais@outlook.com,Blaenmarlais Care Home,Pembrokeshire,1
blessedwilliamdaviesplaygroup@aol.com,Blessed William Davies Playclub,Conwy,1
bloomfieldnursery@outlook.com,Bloomfield Nursery,Pembrokeshire,1
blossom1earlyyears@gmail.com,Blossom at Ysgol Afon Wen and 2 other services you run,Rhondda Cynon Taf,3
blossomtreenursery@outlook.com,Blossom Tree Nursery,Cardiff,1
bnicholas@plcl.org.uk,Pren Gwyllt,Rhondda Cynon Taf,1
bodelwyddan1@btconnect.com,Bodelwyddan Residential Care Limited,Isle of Anglesey,1
bodhyfryd@lovett-care.com,Bod Hyfyrd Care Home,Flintshire,1
borrasfulldaycare5@hwbcymru.net,Borras Park Full Day Care Provision,Wrexham,1
borthyn.bunnies@outlook.com,Borthyn Bunnies and BB Club,Denbighshire,1
bradleyplaygroup@outlook.com,Bradley Playgroup,Wrexham,1
breakseacare@hotmail.com,Breaksea Care Home,Bridgend,1
brecon.enquiries@cartrefi.coop,Beacons Park Short Stay,Powys,1
briarswood@hotmail.com,Briarswood Residential Home,Carmarthenshire,1
bridgend.centredirector@busybees.com,Busy Bees at Bridgend,Bridgend,1
brigadooncarehome@gmail.com,Brigadoon Care Home,Conwy,1
bro.famau@denbighshire.gov.uk,Little Ladybirds@ Bro Famau,Denbighshire,1
broadhavenplaygroup@outlook.com,Broad Haven Playgroup,Pembrokeshire,1
brocarmeldd@outlook.com,Discover and Do,Flintshire,1
brocarmelplaygroup@hotmail.co.uk,Carmel Preschool Playgroup,Flintshire,1
bromptonlodge@gmx.co.uk,Brompton Lodge limited,Conwy,1
bronafallenmanager@gmail.com,Bronafallen  Care Home Ltd,Conwy,1
bronlodge@yahoo.co.uk,Brondesbury Lodge,Ceredigion,1
broughtonsplaybuddies@gmail.com,Broughton Primaries Play Buddies,Flintshire,1
bryn.collen@denbighshire.gov.uk,Bryn Collen Playgroup,Denbighshire,1
bryncochclub@bryncoch.wales,Bryn Coch Club,Flintshire,1
brynderwenhome@btinternet.com,Bryn Derwen St Asaph Ltd,Denbighshire,1
brynedwin@amber-group.co.uk,Bryn Edwin Hall Residential Home,Flintshire,1
brynestyn85@mail.com,Bryn Estyn,Denbighshire,1
bryngwaliafunclub@gmail.com,Bryn Gwalia CP School,Flintshire,1
brynhelyg.manager@gmail.com,Brynhelyg Care Home,Carmarthenshire,1
brynivorlodge.gm@barchester.com,Bryn Ivor Lodge,Newport,1
brynmeddygcarehomeltd@gmail.com,Bryn Meddyg Care Home Ltd,Gwynedd,1
brynyrhaul@rosewoodhealthcaregroup.co.uk,Bryn Yr Haul ,Flintshire,1
budstoblossoms@outlook.com,Buds to Blossoms Cwm and Buds to Blossoms Day Nursery,Blaenau Gwent,2
buildingblocksnurseryrgh@gmail.com,Building Blocks Nursery,Rhondda Cynon Taf,1
bumblebees.bronington@live.co.uk,Bronington Children's Club,Wrexham,1
busybeesblvn@aol.com,Busy Bees Blaenavon @ BICC,Torfaen,1
busybeesblvn@gmail.com,Busy Bees Blaenavon @ Park Street,Torfaen,1
busybsdaynursery@outlook.com,Little Deer's Day Nursery Limited,Gwynedd,1
busyfeetgelligaer24@gmail.com,Busy Feet Gelligaer,Caerphilly,1
butterfliesofdeganwy@outlook.com,Butterflies Day Nursery (Conwy),Conwy,1
buttingtontrewernplaygroup@gmail.com,Buttington Trewern Playgroup,Powys,1
buttonsandbowsdaynursery@gmail.com,Button's and Bow's Day Nursery Ltd,Cardiff,1
bwlchgwyncabincrew@hotmail.co.uk,Bwlchgwyn Cabin Crew,Wrexham,1
c.b.y.e@hotmail.co.uk,Cartref Bryn yr Eglwys,Conwy,1
c.m.b.b-2018@outlook.com,Cylch Meithrin Bysedd Bach,Rhondda Cynon Taf,1
caban.hirael@gmail.com,Cylch Meithrin Caban Hirael,Gwynedd,1
cabancegin@hotmail.com,Caban Cegin,Gwynedd,1
cabanenfys@gmail.com,Caban Enfys,Isle of Anglesey,1
cabanllanfawr@gmail.com,Newry@Llanfawr,Isle of Anglesey,1
cabanogwen@meithrinfaogwen.co.uk,Caban Ogwen,Gwynedd,1
cabansupervisor@live.co.uk,Caban Y Faenol Cyf,Gwynedd,1
cadwganplaygroup63@outlook.com,Cadwgan Playgroup,Conwy,1
caeglas.home@gmail.com,Caeglas Residential Home Ltd,Carmarthenshire,1
caerffair@aol.com,Meithrinfa Cae`r Ffair Ltd,Carmarthenshire,1
camautirion@btinternet.com,Camau Tirion Llwynhendy and 2 other services you run,Carmarthenshire,3
campval769@aol.com,Sycamore Lodge Residential Care Home,Flintshire,1
camroseandrochplaygroup@gmail.com,Camrose and Roch Playgroup,Pembrokeshire,1
canterbury@akaricare.co.uk,Canterbury House,Denbighshire,1
carco@menteriaith.cymru,Clwb Carco a Cynllun Chwarae Awel Taf,Rhondda Cynon Taf,1
cardiff@wibliwobli.co.uk,Wibli Wobli Cardiff,Cardiff,1
cardiffgate.centredirector@busybees.com,Busy Bees at Cardiff Gate,Cardiff,1
care.quality@codigroup.co.uk,Dan Y Bryn and 3 other services you run,Neath Port Talbot,4
care@eleanorhodsonhouse.co.uk,Eleanor Hodson House Nursing Home,Newport,1
care@llantarnamlodge.co.uk,Llantarnam Lodge ,Torfaen,1
care@oakhousecare.co.uk,Oak House Care Home,Cardiff,1
care@romillynursinghome.co.uk,Romilly Nursing Home,Cardiff,1
care@thebaynursinghome.co.uk,The Bay Nursing Home,Gwynedd,1
care@thelaurelsaberdare.co.uk,The Laurels Residential Care Ltd,Rhondda Cynon Taf,1
care@tybryn.org,Ty Bryn Residential Care Home,Torfaen,1
carecentres@yahoo.com,Pen y Bryn Care Home,Swansea,1
carla.house@yourchapter.co.uk,Carla House,Wrexham,1
carol.salmond28@gmail.com,Cylch Ysgol Feithrin Llanrwst,Conwy,1
carol.tomkins@springholme.co.uk,Springholme Care Anglesey Ltd,Isle of Anglesey,1
carol202@btinternet.com,Abbey Dingle Care Home,Denbighshire,1
carol@doridale.co.uk,The Beeches,Wrexham,1
caroline@connersplace.co.uk,Conner's Place and Conner's Place Ltd.,Conwy,2
carrie.williams@sferacare.co.uk,Cherry Tree Care Home Limited,Wrexham,1
cartrefhome@outlook.com,Cartref Care Home Ltd,Ceredigion,1
cartrefle@akaricare.co.uk,Cartrefle Residential Home,Conwy,1
cartrefyborth@akaricare.co.uk,Cartref y Borth Residential Home,Conwy,1
cartyfoxrobinson@elidyrct.ac.uk,Elidyr Communities Trust,Carmarthenshire,1
carysjones81@hotmail.co.uk,Cylch Meithrin Bodawen,Denbighshire,1
castlecareltd@aol.com,Castlecare Specialist Services Limited,Rhondda Cynon Taf,1
catherine.parker@ivolve.care,Cwmgelli Lodge Ltd,Caerphilly,1
cefnclwb@gmail.com,Clwb Cefn,Denbighshire,1
cefnfaes@hotmail.com,Cylch Meithrin Cefnfaes,Gwynedd,1
cefnplaygroup@gmail.com,Cefn Mawr Playgroup and Cefn Mawr Playgroup Bright Stars Playgroup,Wrexham,2
celine@fronhaul.uk,Fronhaul,Carmarthenshire,1
celticsprings@deancloselittletrees.co.uk,Dean Close Little Trees Celtic Springs Nursery,Newport,1
celynchildcare@gmail.com,OPS Childcare,Monmouthshire,1
centralsupport@amayacarehomes.co.uk,Ty Coch Care Home,Cardiff,1
centralsurgergerynursing@yahoo.com,Central Surgery Nursing Home Limited,Blaenau Gwent,1
ceri@camp-coconuts.com,Camp Coconuts,Vale of Glamorgan,1
ceri@cariadcarehomes.com,Bodawen Nursing Home and Plasgwyn Nursing Home,Gwynedd,2
ceri@daisydaynursery.com,Daisy Day Nursery - Barry,Vale of Glamorgan,1
cerys.morris@oakviewhome.co.uk,Oak View Nursing Home,Caerphilly,1
cerys@clwbcarco.com,Clwb Carco Pencae,Cardiff,1
cerysrobins@hotmail.com,Walker Road,Cardiff,1
cf81nursery@gmail.com,Sweet Peas Nursery,Caerphilly,1
charlotte.evans@oxfordcarehomes.co.uk,Sketty House Care Home,Swansea,1
charlottewood28@yahoo.co.uk,Charlie's Childcare,Powys,1
cherryblossomsmainoffice@gmail.com,Cherry Blossoms,Caerphilly,1
cherryhillnursery@yahoo.com,Cherry Hill Children`s Day Nursery,Wrexham,1
cherrytree@dreamscarehomes.co.uk,Cherry Tree Luxury Care Home,Monmouthshire,1
chiefexecutive@llamau.org.uk,Burley Place,Vale of Glamorgan,1
childcare@aberavonicc.org.uk,Aberavon Integrated Children`s Centre,Neath Port Talbot,1
childcare@buildingblocksfamilycentre.co.uk,Resolven Building Blocks,Neath Port Talbot,1
childcared5@hwbcymru.net,Dee Valley Childcare,Wrexham,1
childsplayswansea@outlook.com,Child's Play at Penclawdd,Swansea,1
chloe.curiositycubs@gmail.com,Curiosity Cubs Ltd,Merthyr Tydfil,1
chris.williams@elysiumhealthcare.co.uk,Tydfil House,Monmouthshire,1
chris@unitedcaresolutions.co.uk,Ty Crud-Y-Gan,Newport,1
chrisgriffiths@futurevisionchildcare.co.uk,Compton House and 3 other services you run,Carmarthenshire,4
churchstokepg@gmail.com,Churchstoke Little Explorers and after school club,Powys,1
chwaraeteg_penrhyn@yahoo.com,Meithrinfa Chwarae Teg Day Care Nursery,Conwy,1
cillian@fronhaul.uk,Brookfield House,Carmarthenshire,1
cityview@guidedstars.co.uk,CityView Guided stars,Swansea,1
ciw@gibraltarnursinghome.com,Gibraltar House,Monmouthshire,1
ciwnotifications@adferiad.org,Parkland Place,Conwy,1
cjames@ioscare.co.uk,Whitchurch House,Cardiff,1
claire.raddenbury@parade-house.co.uk,Parade House Residential Home,Monmouthshire,1
claire.springfield@mychoicehealthcare.co.uk,Springfield Care Home,Caerphilly,1
claire@prideincare.com,Pride in Care Residential Home and Rachel Kathryn Residential Home,Caerphilly,2
clairegreenway1@gmail.com,Little Acorns Preschool (Caerphilly) Ltd,Caerphilly,1
clare@cartreficwtchltd.co.uk,Woodland Lodge,Caerphilly,1
clarianhope@gmail.com,Clarian Hope Bryncoch Residential Care ,Neath Port Talbot,1
clive.pearce@familysupportwales.co.uk,Family Support Wales,Neath Port Talbot,1
clwb@cymerofal.co.uk,Clwb Cymer Ofal,Cardiff,1
clwbaeron@yahoo.com,Clwb Y Dyffryn,Ceredigion,1
clwbbwthynbach@gmail.com,Clwb Bwthyn Bach,Flintshire,1
clwbcaredig@hotmail.co.uk,Clwb Caredig,Carmarthenshire,1
clwbdyffrynnantlle@gmail.com,Clwb Plant Dyffryn Nantlle,Gwynedd,1
clwbeinharglwyddes@outlook.com,Clwb Ein Harglwyddes,Gwynedd,1
clwbhwyl@stmarysflint.wales,Clwb Hwyl @ St Mary's,Flintshire,1
clwbllys@outlook.com,Clwb Llawen y Llys,Denbighshire,1
clwbplantbodafon@outlook.com,Clwb Plant Bodafon,Conwy,1
clwbplantbrynaman@yahoo.com,Clwb Plant Brynaman Kids Club,Carmarthenshire,1
clwbplantllandegfan@outlook.com,Clwb Plant Llandegfan Kids Club,Isle of Anglesey,1
clwbteifi@hotmail.com,Clwb Teifi,Ceredigion,1
clwbtwm@outlook.com,Clwb Twm,Denbighshire,1
clwbymorfa123@gmail.com,Clwb y Morfa C.B.C,Conwy,1
clythasquare@tinytots.biz,Tiny Tots Clytha Square,Newport,1
cmarberthri@hotmail.com,Cylch Meithrin Arberth CIO,Pembrokeshire,1
cmb.tiafi@gmail.com,Cylch Meithrin a Ti-a-Fi Cwarter Bach,Carmarthenshire,1
cmblodaubach@outlook.com,Cylch Meithrin Blodau Bach,Caerphilly,1
cmcrymych@outlook.com,Cylch Meithrin Crymych,Pembrokeshire,1
cmcwmderwen@outlook.com,Cylch Meithrin Cwm Derwen,Caerphilly,1
cmcwmelai@outlook.com,Partneriaeth Cwm Elai CBC,Rhondda Cynon Taf,1
cmdinbychucha@outlook.com,Cylch Dinbych Uchaf,Denbighshire,1
cmdolau@gmail.com,Cylch Meithrin Dolau,Powys,1
cmdyffrynyrenfys@gmail.com,Cylch Meithrin Dyffryn yr Enfys,Conwy,1
cmeithrintycroes@gmail.com,Cylch Meithrin Tycroes,Carmarthenshire,1
cmfelinfoel@gmail.com,Cylch Meithrin Felinfoel,Carmarthenshire,1
cmffynnonwen@outlook.com,Cylch Meithrin Ffynnonwen,Carmarthenshire,1
cmhenllan@gmail.com,Cylch Meithrin Henllan,Denbighshire,1
cmhermon@icloud.com,Cylch Meithrin Hermon,Pembrokeshire,1
cmiforbach@gmail.com,Cylch Meithrin Ifor Bach,Caerphilly,1
cmlc@hotmail.co.uk,Cylch Meithrin Llanfair Caereinion,Powys,1
cmllandysilio@outlook.com,Cylch Meithrin Llandysilio,Pembrokeshire,1
cmllanelwy@gmail.com,Cylch Meithrin Llanelwy,Denbighshire,1
cmllanfyllin@gmail.com,Cylch Meithrin Llanfyllin,Powys,1
cmllangelynnin@outlook.com,Cylch Meithrin Llangelynnin,Conwy,1
cmllangennech.ycaban@gmail.com,Cylch Meithrin Llangennech - Y Caban,Carmarthenshire,1
cmllanilar@outlook.com,Cylch Meithrin Llanilar,Ceredigion,1
cmllpwll@aol.com,Cylch Meithrin Llanfairpwll,Isle of Anglesey,1
cmllynyforwyn@gmail.com,Cylch Meithrin Llyn y Forwyn,Rhondda Cynon Taf,1
cmmeinibach@gmail.com,Cylch Meithrin Meini Bach (Bon-y-Maen),Swansea,1
cmpenllwyn@gmail.com,Cylch Meithrin Penllwyn,Ceredigion,1
cmpontllanfraith@hotmail.co.uk,Cylch Meithrin Pontllanfraith,Caerphilly,1
cmpontpedr@gmail.com,Cylch Meithrin Pont Pedr,Ceredigion,1
cmtalhaiarn@gmail.com,Cylch Meithrin Talhaiarn,Conwy,1
cmteulrtyle@gmail.com,Cylch Meithrin Teulu'r Tyle,Neath Port Talbot,1
cmtrefeurig@gmail.com,Cylch Meithrin Trefeurig,Ceredigion,1
cmtreletert21@gmail.com,Cylch Meithrin Treletert,Pembrokeshire,1
cmyffor@icloud.com,Cylch Meithrin Y Ffôr,Gwynedd,1
cmypysgodbach@gmail.com,Cylch Meithrin Y Pysgod Bach,Pembrokeshire,1
cmysgoldewisant@gmail.com,Cylch Meithrin Ysgol Dewi Sant,Denbighshire,1
coalbrook@reflecteducation.co.uk,Coalbrook Care,Carmarthenshire,1
coedevadaycare@torfaen.gov.uk,Codi Serennau,Torfaen,1
colinpicton@gellimor.com,Gelli Mor ,Pembrokeshire,1
committeecylchyreglwysnewydd@gmail.com,Cylch Meithrin yr Eglwys Newydd,Cardiff,1
contact@ashvillecare.co.uk,Ashville Residential Home,Caerphilly,1
contact@bethanyhome.co.uk,Bethany Residential Home LTD,Monmouthshire,1
contact@brynawelhouse.org,Brynawel House Alcohol and Drug Rehabilitation Centre Ltd,Rhondda Cynon Taf,1
contact@cmgellionnen.co.uk,Cylch Meithrin Gellionnen,Swansea,1
contact@llanddulasplaygroup.co.uk,Llanddulas Playgroup Nursery,Conwy,1
contact@llysgwyn.com,Llys Gwyn Residential Home,Bridgend,1
contact@newhorizonschildrenshomes.com,Bramble House,Bridgend,1
contact@pennalview.co.uk,Pennal View Residential Care Home Ltd,Ceredigion,1
contact@puddleducks.net,Puddle Ducks (South Wales) Limited,Monmouthshire,1
contact@snapspecialistplay.org.uk,SNAP Specialist Play,Pembrokeshire,1
contactus@bluedoornursery.net,Blue Door Nursery,Cardiff,1
contactus@bluedooroutofschoolcare.co.uk,Blue Door Out of School Childcare,Cardiff,1
coolcatsclub@rocketmail.com,Cool Cats Club,Denbighshire,1
coordinator@tiddlywinkscyf.org,Tiddlywinks Childcare Centre,Neath Port Talbot,1
countrykidsbuilthwells@mail.com,Country Kids Childcare (Builth Wells) Limited.,Powys,1
countychildcareglanllyn@gmail.com,County Childcare Glan Llyn,Newport,1
countychildcarepadrepio@gmail.com,County Childcare Padre Pio,Torfaen,1
countychildcarestdavidsrc@gmail.com,County Child Care St Davids RC CYF,Torfaen,1
cowbridge@funfoundations.wales,Fun Foundations Day Nursery,Vale of Glamorgan,1
cpsegontiwm@gmail.com,Clwb Plant Segontiwm Cyf.,Gwynedd,1
craig.jones@elan-als.com,Elan Specialist Residential Care Service,Merthyr Tydfil,1
craigydonplayschool@gmail.com,Craig y Don Playschool,Conwy,1
creche@hcdt.co.uk,Paradise Community Nursery,Swansea,1
criccieth@meddygcare.co.uk,Meddyg Care Dementia Home - Criccieth,Gwynedd,1
crocsstaff@gmail.com,Croco-doco-dile Playgroup,Powys,1
croftplaygroup2015@aol.co.uk,The Croft Playgroup,Flintshire,1
crosswaynursery@gmail.com,Crossway Nursery,Monmouthshire,1
crosswayparknursery@gmail.com,Crossway Park Nursery,Monmouthshire,1
crosswaytownnursery@gmail.com,Crossway Town Nursery,Monmouthshire,1
cubscornerpre-schoolnursery@hotmail.com,Cubs Corner Pre-School Nursery,Pembrokeshire,1
cwmffrwdoerprimarycwtch@outlook.com,Cwmffrwdoer Cwtch,Torfaen,1
cwmlai.afterschool.club@gmail.com,Cwmlai After School Club,Rhondda Cynon Taf,1
cwmllynfellcm@outlook.com,Cylch Meithrin Cwmllynfell,Neath Port Talbot,1
cwrtenfys@silvercrestcare.co.uk,Cwrt Enfys Care Home,Powys,1
cwtchcymraegltd@gmail.com,Cwtch Cymraeg Ltd,Carmarthenshire,1
cwtsh.nursery@gmail.com,Cwtsh Nursery Limited,Caerphilly,1
cwtshplantbach25@outlook.com,Meithrinfa Cwtsh Plant Bach,Carmarthenshire,1
cylch-y-parc@hotmail.co.uk,Cylch Meithrin Y Parc,Cardiff,1
cylch.llanrhaeadr@yahoo.co.uk,Cylch Meithrin Llanrhaeadr Ym Mochnant,Powys,1
cylch.meithrin.pwllheli@gmail.com,Cylch Meithrin Pwllheli,Gwynedd,1
cylch.meithrin.tonyfelin01@gmail.com,Cylch Meithrin Tonyfelin,Caerphilly,1
cylch.pontarddulais@gmail.com,Cylch Meithrin Pontarddulais,Swansea,1
cylch@caetop.com,Cylch Meithrin Cae Top,Gwynedd,1
cylchaber@gmail.com,Cylch Meithrin Abersychan CIO,Torfaen,1
