Service Name,Service Type,Service Sub-Type,Provision For,Service Address Line 1,Service Address Line 2,Service Town/City,Service Postcode,Local Authority,Maximum No. of Places,Primary telephone number,Primary email address,Website,Provider Name,Provider No. of Approved Services
All Born Curious Limited,Childrens Day Care,Full Day Care,,Princess Of Wales Court,Seaway Parade Industrial Estate,Port Talbot,SA12 7BT,Neath Port Talbot,111,07717338524,abc@allborncurious.co.uk,,All Born Curious LTD,1
Allerton Lodge ,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Allerton Cottage,Naid Y March,Holywell,CH8 8LG,Flintshire,19,01352710635,Rl@carehomegroup.uk,,Deen Care Limited,1
Allsorts Nursery,Childrens Day Care,Full Day Care,,Crickhowell Community Primary School,,Crickhowell,NP8 1DY,Powys,47,01783831652,allsorts.pg@gmail.com,,Allsorts Nursery C.I.C,1
AllStars,Childrens Day Care,Full Day Care,,Ysgol Maes Y Mynydd,Pentredwr Rhosllanerchrugog,Wrexham,LL14 1DD,Wrexham,40,01978832988,mcbridec1@hwbcymru.net,,ALL STARS AFTER SCHOOL CLUB,1
Allt Y Mynydd,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Alltymynydd Nursing Home,,Llanybydder,SA40 9RF,Carmarthenshire,44,01570480208,manageraym@ashberry.net,www.ashberry-care-home.co.uk,Ashberry Healthcare Limited,1
Alphabet Playgroup Limited,Childrens Day Care,Full Day Care,,Undy Primary School,Pennyfarthing Lane,Caldicot,NP26 3LZ,Monmouthshire,19,07826639042,alphabetplaygroup@gmail.com,http://www.undyprimary.monmouthshire.sch.uk/cymunedol/alphabet_playgroup/croeso_i_alphabet_playgroup.html,Alphabet Playgroup Limited,1
Amberleigh Care - Golfa Hall,Care Home Service,Childrens Home,Personal care for children,,,Welshpool,,Powys,19,01938554111,referrals@amberleighcare.co.uk,www.amberleighcare.co.uk,Amberleigh Care Limited,1
Amlwch Pre-School Playgroup,Childrens Day Care,Sessional Day Care,,Eilian Room,Memorial Hall,Anglesey,LL68 9ET,Isle of Anglesey,24,07753233606,amlwchpreschoolplaygroup@gmail.com,,Amlwch Pre-School Playgroup,1
Amman House,Care Home Service,Childrens Home,Personal care for children,,,Ammanford,,Carmarthenshire,4,01792963119,ammanhouse@innovative-care.co.uk,www.innovative-care.co.uk,Innovative Care Limited,2
Annedd ,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",Heol Y Gaer,,Llanybydder,SA40 9RX,Carmarthenshire,27,01570481399,allison.brown@wellcomecarehomes.com,www.wellcomecarehomes.com,Wellcome Care Homes Ltd,1
Anwen Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Anwen Care Home,Heol Pant-yr-awel,Bridgend,CF32 7LA,Bridgend,60,01656 849379,heretohelp@carongroup.wales,www.carongroup.wales,Anwen Care Ltd,1
Apley Lodge Residential Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability",Apley Lodge Residential Home,1-3,Pembroke Dock,SA72 6HJ,Pembrokeshire,24,01646682926,areamanager.apleylodge@gmail.com,,Safe Haven Care Ltd,1
Apple Residential Care,Care Home Service,Adults Without Nursing,Mental health,Apple Residential Care Home,12 Rivieres Avenue,Colwyn Bay,LL29 7DP,Conwy,16,01492530939,applebestcare21@gmail.com,nowebsite.co.uk,APPLE BEST CARE  LTD,1
Appletree Day Nursery (WALES) Redwick Ltd,Childrens Day Care,Full Day Care,,Greenfield House,North Row,Magor,NP26 3DX,Newport,60,01633880023,appletreedaynursery@hotmail.co.uk,appletree-nursery.co.uk,Appletree Day Nurseries (Wales) Ltd,1
Appletree Nursery,Childrens Day Care,Full Day Care,,Llanishen Fach Primary School,Heol Uchaf,Cardiff,CF14 6SS,Cardiff,30,02920619007,llanishen@appletreenurseries.co.uk,www.appletreenurseries.co.uk,APPLETREE (2) LTD,1
Appletree Nursery,Childrens Day Care,Full Day Care,,Appletree Nursery,Norwegian Church,Swansea,SA1 8QY,Swansea,42,01792381742,swansea@appletreenurseries.co.uk,www.appletreenurseries.co.uk,Appletree Nurseries Ltd,1
April Court Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",April Court Care Home,137-144,Swansea,SA1 4DE,Swansea,78,01792650344,heretohelp@carongroup.wales,www.carongroup.wales,Wellchime Ltd,1
Aran Hall School Ltd,Care Home Service,Childrens Home,Personal care for children,,,Dolgellau,,Gwynedd,18,01341450641,aran.admin@senadgroup.com,https://senadgroup.com/aran/,Aran Hall School Ltd,1
Archbishop Rowan Williams After School Club,Childrens Day Care,Out of School Care,,Archbishop Rowan Williams Church in Wales Primary School,Crick Road,Caldicot,NP26 5UL,Monmouthshire,50,07851426808,afterschoolclubarw@gmail.com,,Archbishop Rowan Williams After School Club,1
Arden Towers Care Home,Care Home Service,Adults Without Nursing,Mental health,53-55,Greenfield Road,Colwyn Bay,LL29 8EW,Conwy,23,01492533552,hollyardentowers@gmail.com,nowebsite.co.uk,APPLE BEST CARE  LTD,2
Argoed Playgroup,Childrens Day Care,Sessional Day Care,,Green Hut W I Building,"Chambers Lane, Mynydd Isa",Flintshire,CH7 6UB,Flintshire,20,07594216148,argoedplaygroup@gmail.com,argoedplaygroup.weebly.com,Argoed Playgroup,1
Aria Care Home,Care Home Service,Adults Without Nursing,,147 Bryn Bevan,,Newport,NP20 5QN,Newport,28,01633857715,info@ariacarehome.com,www.ariacarehome.com,Arcadia Care Homes Ltd,1
Arrow House,Care Home Service,Adults Without Nursing,Personal care for adults,27 Talbot Road,,Wrexham,LL13 7DY,Wrexham,3,01978261835,rachael.hawkins@achievetogether.co.uk,www.achievetogether.co.uk,OA2 ADULTS LIMITED,4
Arthog,Care Home Service,Childrens Home,Personal care for children,,,Arthog,,Gwynedd,7,01341250369,manager.arthog@keys-group.co.uk,,Keys Education Limited,1
ASD Rainbows,Childrens Day Care,Sessional Day Care,,The Annex At Perthcelyn Communities At Work,Glamorgan Street,Mountain Ash,CF45 3RJ,Rhondda Cynon Taf,12,01685 816359,enquiries@asdrainbows.co.uk,www.asdrainbows.co.uk,ASD Rainbows,1
Ash House,Care Home Service,Childrens Home,,,,Wrexham,,Wrexham,2,01244 604 699,ash.house@arbourhealthcare.co.uk,,Arbour Healthcare Group Limited,1
Ashdale Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Ashdale Nursing Home,Golden Lane,Pembroke,SA71 4PR,Pembrokeshire,43,01646681008,admin@ashdale.care,https://ashdalecare.co.uk,Ashdale Care Ltd ,1
Ashgrove,Care Home Service,Adults Without Nursing,Personal care for adults,Ashgrove,Chester Road Gresford,Wrexham,LL12 8PP,Wrexham,51,01978856500,gary.dodd@hartfordcare.co.uk,www.hartfordcare.co.uk,Gresford Care Limited,1
Ashleigh Court,Care Home Service,Adults Without Nursing,Personal care for adults,Ashleigh Court,Chester Road Gresford,Wrexham,LL12 8PP,Wrexham,50,01978856999,gary.dodd@hartfordcare.co.uk,hartfordcare.co.uk,Gresford Care Limited,2
Ashley Court Care,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Ashley Court Care,70-74,Llanelli,SA15 3DR,Carmarthenshire,47,01554750563,info@ashleycourtcare.com,www.ashleycourtcare.com,PREMIER 1 HEALTHCARE LTD,1
Ashton Park Care Home,Care Home Service,Adults Without Nursing,Personal care for adults,Ashton Park Residential Home,37 Waterloo Road,Newport,NP20 4FP,Newport,17,01633262723,info@ashtonparkcarehome.co.uk,www.ashtonparkcarehome.co.uk,BIRA CARE HOMES LTD ,1
Ashville Residential Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",Ashville Residential Home,Bristol Terrace,New Tredegar,NP24 6JG,Caerphilly,35,01443834842,contact@ashvillecare.co.uk,www.ashvillecare.co.uk,Ashville Residential Home Ltd,1
Aspen House Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Aspen House Care Home,37 Coedpenmaen Road,Pontypridd,CF37 4LP,Rhondda Cynon Taf,38,01443491491,manager@aspenhousecarehome.co.uk,www.aspenhousecarehome.co.uk,Cwmdare Homes 2 Limited,1
Aston Hall Care Limited,Care Home Service,Adults Without Nursing,Personal care for adults,Lower Aston Hall Lane,,Deeside,CH5 3EX,Flintshire,43,01244537389,sunita.ri@astonhallcarehome.org.uk,www.astonhallcarehome.co.uk,Aston Hall Care Limited,1
Athena  House,Care Home Service,Childrens Home,"Personal care for children, Mental health",,,Wrexham,,Wrexham,3,01978508798,b.jones@omegacaregroup.org,,Omega Care Group Ltd,3
Avenue Road Nursing Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Avenue Road Nursing Home,28 Avenue Road,Abergavenny,NP7 7DB,Monmouthshire,33,01873857607,info@avenueroadnursinghome.co.uk,www.avenueroadnursinghome.co.uk,BIRA CARE HOMES LTD ,2
Awel y Mor Care Centre,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Awel Y Mor Care Centre,Brynafon Road Gorseinon,Swansea,SA4 4YF,Swansea,58,01792897346,awelymor.GM@barchester.com,www.barchester.com,Barchester Healthcare Homes Limited,1
Awelon Healthcare Parkview House ,Care Home Service,Adults Without Nursing,Learning disability,Awelon Healthcare,73 Pontardawe Road,Swansea,SA6 5NS,Swansea,9,07595263194,kay@awelonhealthcare.com,www.awelonhealthcare.com,Kay Campbell,1
Babanod Bach,Childrens Day Care,Full Day Care,,Village Hall,Cilmery,Builth Wells,LD2 3NT,Powys,18,07843850242,babanodbach25@gmail.com,,Babanod Bach,1
Babinogion Menai Cyf,Childrens Day Care,Full Day Care,,Old County Primary School,Pentraeth Road,Menai Bridge,LL59 5HS,Isle of Anglesey,59,01248717427,babinogionmenai@hotmail.co.uk,www.babinogion.co.uk,Babinogion Menai Cyf,1
Baglan Lodge Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults",Baglan Lodge Nursing Home,84 Old Road Baglan,Port Talbot,SA12 8LH,Neath Port Talbot,30,01639813135,huw@baglanlodge.co.uk,www.baglanlodge.co.uk,Bevan & Clarke LLP,1
Balmoral House,Care Home Service,Childrens Home,"Personal care for children, Mental health",,,Newport,,Newport,3,07394595641,janesibanda@lubacare.onmicrosoft.com,,Luba Care CYF,1
Balmoral House - Skyline Care Ltd ,Care Home Service,Adults Without Nursing,Personal care for adults,22-24,Queens Walk,Rhyl,LL18 3NG,Denbighshire,18,01745353483,admin@balmoralcare.com,www.balmoralcare.com,Skyline Care Ltd,5
Baltimore Care Ltd,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Baltimore House,1-2,Barry,CF62 6NU,Vale of Glamorgan,26,01446 420714,manager@baltimorecarehome.com,https://www.bellavistanursinghome.com/baltimore-house-nursing-home/,Baltimore Care Ltd,1
Banana Moon Coity,Childrens Day Care,Full Day Care,,Coity Higher Community Centre,Heol West Plas,Bridgend,CF31 1PA,Bridgend,30,01656 360204,info@bananamoon-coity.co.uk,https://www.bananamoon-bridgend.co.uk/,Windmills & Wellies Limited,2
Banana Moon Day Nursery Bridgend,Childrens Day Care,Full Day Care,,"Unit A, The Triangle",Brackla,Bridgend,CF31 2LL,Bridgend,59,01656668849,info@bananamoon-bridgend.co.uk,www.bananamoon-bridgend.co.uk,Windmills & Wellies Limited,4
Banana Moon Holiday & After School Club,Childrens Day Care,Out of School Care,,Brackla Community Centre,Whitethorn Drive Brackla,Bridgend,CF31 2PQ,Bridgend,50,01656668849,info@bananamoon-bridgend.co.uk,www.bananamoon-bridgend.co.uk,Windmills & Wellies Limited,3
Banana Moon Porthcawl,Childrens Day Care,Full Day Care,,Toad Hall,2 South Road,Porthcawl,CF36 3DG,Bridgend,30,07400477260,,www.bananamoon-bridgend.co.uk,Windmills & Wellies Limited,1
Bangor on Dee Childcare,Childrens Day Care,Full Day Care,,Ysgol Sant Dunawd,Sandown Road,Wrexham,LL13 0JA,Wrexham,40,01978780757,info@bangorondeechildcare.co.uk,www.bangorondeechildcare.co.uk,Bangor on Dee Childcare,1
Bank Lane Cottage,Care Home Service,Childrens Home,Personal care for children,,,Buckley,,Flintshire,3,07366 694870,tracey@parallelcaresolutions.co.uk,,Parallel Care Solutions Limited,1
Bankhouse Care Home,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Learning disability, Mental health",Bank House Nursing Home,Llangynidr Road,Ebbw Vale,NP23 5EY,Blaenau Gwent,55,01495304325,mirela.matei@bankhousecare.com,bankhousecare.com,Bankhouse Care Ltd,1
Banwen,Care Home Service,Childrens Home,Personal care for children,,,Neath,,Neath Port Talbot,2,07807046711,richard.byng@springboardeducationandcare.co.uk,www.springboardeducationandcare.co.uk,Springboard Education and Care Ltd,2
Bargoed Care Home,Care Home Service,Adults With Nursing,Nursing care for adults,Bargoed Care Home,Heol Fargoed,Bargoed,CF81 8PQ,Caerphilly,45,01443879005,manager@bargoedcare.co.uk,http://www.bargoedcare.co.uk,Omnia Care Home Group Ltd,1
Barker's Lane Wraparound Care Club,Childrens Day Care,Full Day Care,,Canolfan Brenda Price,Barkers Lane Community School,Wrexham,LL13 9UN,Wrexham,48,01978346177,mailbox@barkerslane-pri.wrexham.sch.uk,www.barkerslaneprimary.co.uk,Barker's Lane Wraparound Care Club,1
Barmouth Oasis Nursery,Childrens Day Care,Full Day Care,,Oasis Nursery,Unit 7 Elephant Works,Barmouth,LL42 1PH,Gwynedd,41,01341280770,barmouthoasisnursery@gmail.com,www.meithrinfaoasis.co.uk,Barmouth Oasis Community Group Ltd,1
Baruc House,Care Home Service,Childrens Home,Personal care for children,,,Barry,,Vale of Glamorgan,3,01446701352,emma.roberts@keys-group.co.uk,,Keys Care Limited,1
Bay Tree House (WXM) Limited,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Bay Tree House,99 Norman Road,Wrexham,LL13 7BG,Wrexham,46,01978365818,Amanda.littler@sferacare.co.uk,www.sferacare.co.uk,Bay Tree House (WXM) Limited,1
Beach Court Care Home,Care Home Service,Adults Without Nursing,"Personal care for adults, Mental health",Beach Court Care Home,35-39,Prestatyn,LL19 7LL,Denbighshire,32,01745854198,management@beachcourtcare.co.uk,,Rebba Care Ltd,1
Beach House,Care Home Service,Childrens Home,Personal care for children,,,Port Talbot,,Neath Port Talbot,2,07929458387,info@lighthouseresidentialhomes.co.uk,,Lighthouse Residential Homes Ltd,1
Beacon Lodge,Care Home Service,Adults Without Nursing,Personal care for adults,28b Intermediate Road,,Ebbw Vale,NP23 4SF,Blaenau Gwent,6,01495313463,heretohelp@carongroup.wales,www.carongroup.wales,BeaconLodge Ltd,1
Beacons Park Short Stay,Care Home Service,Adults Without Nursing,"Learning disability, Personal care for adults",182 Beacons Park,,Brecon,LD3 9BP,Powys,3,01874625437,brecon.enquiries@cartrefi.coop,www.cartrefi.coop,Cartrefi Cymru Co-operative Ltd,11
Bear Pak Wrap Around Centre,Childrens Day Care,Full Day Care,,Fairfield Primary School,Dryden Road,Penarth,CF64 2RT,Vale of Glamorgan,56,07702873067,enquiries@bearpak.co.uk,www.bearpak.co.uk,Bear Pak,1
Bedwas Rising Stars at Willow Tree Cottage,Childrens Day Care,Full Day Care,,Bedwas Infant School,St. Mary Street Bedwas,Caerphilly,CF83 8EE,Caerphilly,18,07456336349,risingstarschildcare22@gmail.com,risingstarschildcare22gmail.com,Bedwas Rising Stars Childcare Ltd,1
Bedwellty Park Residential Home Limited,Care Home Service,Adults Without Nursing,Personal care for adults,Bedwellty Park Residential Home,Morgan Street,Tredegar,NP22 3NA,Blaenau Gwent,13,01495711788,bedwelltyparkcarehome@yahoo.com,,Bedwellty Park Residential Home Limited,1
Beech Tree Before and After School Club,Childrens Day Care,Full Day Care,,Drury Primary School,Beech Road Drury,Buckley,CH7 3EG,Flintshire,61,07508500762,beechtreeclub@outlook.com,,Beech Tree Before and After School Club,1
Beechlea,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health",14 Pantycefn Road,Markham,Blackwood,NP12 0QD,Caerphilly,4,01495221583,wendy.gloster@abbeyambitions.co.uk,,Abbey Ambitions,2
Beechwood Court,Care Home Service,Adults Without Nursing,"Personal care for adults, Learning disability, Mental health, Personal care for children",Beechwood College,Beechwood House,Penarth,CF64 5SE,Vale of Glamorgan,57,02920532210,rachel.newman@iriscaregroup.co.uk,https://www.iriscaregroup.co.uk/beechwood-college,Beechwood Court Limited,1
Bellavista Care Cardiff Limited,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",2 Harrowby Place,,Cardiff Bay,CF10 5GB,Cardiff,77,02920494447,Manager@BellavistaNursingHome.Com,www.bellavistanursinghomes.com,Bellavista Care (Cardiff) Limited,1
Bellavista Nursing Homes (Wales)  Limited,Care Home Service,Adults With Nursing,"Nursing care for adults, Personal care for adults, Mental health",Bellavista Care Home,106-108,Barry,CF62 8BB,Vale of Glamorgan,39,01446 743893,jacob@bellavistanursinghome.com,www.bellavistanursinghome.com,Bellavista Nursing Homes (Wales) Limited,1
Belle Vue Nursery Ltd,Childrens Day Care,Full Day Care,,Belle Vue Nursery,Belle Vue Road,Cwmbran,NP44 3LD,Torfaen,72,01633489999,nic@bellevuenursery.co.uk,www.bellevuenursery.co.uk,Belle Vue Nursery Ltd,1
