QueryLabel,Town,Name,Address,Phone,Website
A_catering_engineers,London,Abbey Catering Equipment Ltd,"Unit &, Titan Business Estate, Ffinch St, London SE8 5QA, UK",020 8691 4844,
A_catering_engineers,London,CC Fix,"Masefield Cl, london DA8 2DG, UK",020 8050 2886,https://www.ccfix.co.uk/
A_catering_engineers,London,Nisbets Catering Equipment Tower Street Store,"4-10 Tower St, London WC2H 9NP, UK",020 7010 7989,https://www.nisbets.co.uk/towerstreetstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
A_catering_engineers,London,V & S Catering Supplies Co,"85 Castlehaven Rd, London NW1 8SJ, UK",020 7485 2658,https://www.vands.co.uk/
A_catering_engineers,London,C&A Catering Equipment Ltd,"443 Norwood Rd, Norwood, London SE27 9DQ, UK",07401 814414,
A_catering_engineers,London,KK Catering,"KK Catering, London W1A 6US, UK",01928 508802,https://kkcatering.co.uk/
A_catering_engineers,London,Deptford Used Catering Equipment,"160 Trundleys Rd, London SE8 5JE, UK",07920 006478,
A_catering_engineers,London,ProTech Engineers Ltd,"1 Quality Ct, Chancery Ln, London WC2A 1HR, UK",07947 778052,https://www.protechuk.com/
A_catering_engineers,London,Millers Catering Equipment,"3 Columbia Gdns, London SW6 1FU, UK",020 8687 5390,https://millerscatering.co.uk/
A_catering_engineers,London,Shoots & Leaves Catering,"Arch 80, 878 Old Kent Rd, London SE15 1NQ, UK",,http://shootsandleaves.london/
A_catering_engineers,London,London Engineers Company,"Station ​London, 12 Melcombe Pl, London NW1 6JJ, UK",020 3603 7172,http://www.lecompany.co.uk/
A_catering_engineers,London,Nasa Catering Equipment,"5 Green Lanes, Newington Green, London N16 9BP, UK",07944 540090,
A_catering_engineers,London,Capital Catering & Hire LTD,"37 Great Windmill St, London W1D 7LU, UK",07531 274807,https://www.capitalcateringandhire.co.uk/
A_catering_engineers,London,Foodservice Equipment Association,"Rotherwick House, 3 Thomas More Street, London E1W 1YZ, UK",020 7793 3030,http://www.fea.org.uk/
A_catering_engineers,London,LC Global Solutions Ltd,"Flat 2, 90 St Pancras Way, London NW1 9DQ, UK",07795 253156,http://lcglobalsolutions.com/
A_catering_engineers,London,Lockhart Innovation Centre,"61, 62 Berners St, London W1T 3NJ, UK",0370 167 8678,http://www.lockhartcatering.co.uk/
A_catering_engineers,London,KBRH Catering Equipment,"12 Jenner Ave, London W3 6EQ, UK",0333 112 2000,http://www.kbrhcatering.co.uk/
A_catering_engineers,London,Smith's Catering,"Berkeley Suite, 35 Berkeley Square, London W1J 5BF, UK",07936 908323,https://smithscateringlondon.uk/
A_catering_engineers,London,Ece Catering Equipment,"2 Rippers Ct, Sible Hedingham, Halstead CO9 3PY, UK",01787 582574,http://www.ececateringequipment.com/
A_catering_engineers,London,Mix & Blend Catering,"207 Regent St., London W1B 3HH, UK",020 8058 6564,http://www.mixandblendcatering.co.uk/
A_catering_engineers,London,Nisbets,"180 Goldhawk Rd, London W12 8HJ, UK",020 7118 0622,https://www.nisbets.co.uk/shepherdsbushstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
A_catering_engineers,London,dentons catering equipment,"99 Gauden Rd, London SW4 6LE, UK",,
A_catering_engineers,London,Masters Catering,"109-111 Blackfriars Rd, London SE1 8HW, UK",07824 190092,http://www.masterscatering.co.uk/
A_catering_engineers,London,Inn Supplies (UK) Ltd,"Old Gloucester St, London WC1N 3AX, UK",020 8149 0062,https://innsupplies.com/
A_catering_engineers,London,Catering Insight,"16-25 Bastwick St, London EC1V 3PS, UK",020 3176 4234,http://www.cateringinsight.com/
A_catering_engineers,London,Pandoras Box UK Ltd,"40 Penton St, London N1 9QA, UK",07990 865702,http://www.pandorasboxcatering.co.uk/
A_catering_engineers,London,Nisbets Catering Equipment Shoreditch Store,"159 Commercial St, London E1 6BJ, UK",020 7426 9950,https://www.nisbets.co.uk/shoreditchstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
A_catering_engineers,London,BBQ Catering,"33 Cavendish Square, London W1G 0PW, UK",020 7129 7963,http://www.akwillbbqsmoker.co.uk/
A_catering_engineers,London,Fix Catering Equipment Ltd,"Ste 4, Parker House, Admirals Way, London E14 9UQ, UK",020 8089 1473,
A_catering_engineers,London,Dalebrook Supplies Ltd - London Showroom,"28 Mortimer St, London W1W 7RD, UK",01376 510101,http://www.dalebrook.com/
A_catering_engineers,London,Kent Catering.,"27 Unit T, Bromley Business Centre, Hastings Rd, Bromley BR2 8NA, UK",020 8462 9911,http://kentcatering.com/
A_catering_engineers,London,DCI Maintenance Ltd,"Unit 317, 94 Fulham Palace Rd, London W6 9PL, UK",020 3633 8317,http://dcimaintenance.co.uk/
A_catering_engineers,London,Berkeley Catering,"Unit 5, 43-47 Glengall Rd, London SE15 6NF, UK",020 7837 6853,https://www.berkeleycatering.co.uk/
A_catering_engineers,London,Caterkit Services Ltd,"Unit 2 Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 872580,https://www.caterkitservices.com/
A_catering_engineers,London,Dans La Cuisine Ltd,"20, 22 Wenlock Rd, London N1 7GU, UK",01536 853998,https://www.danslacuisine.co.uk/
A_catering_engineers,London,Uniwell,"Anchor House, 4 Durham St, London SE11 5JA, UK",01604 830010,
A_catering_engineers,London,C&C Catering Engineers,"Unit 2, Smithy Farm, Chapel Ln, Saighton, Chester CH3 6EW, UK",01244 536354,https://cateringengineers.com/
A_catering_engineers,London,Cee Catering Chargers Ltd,"71 - 75 Shelton St, London WC2H 9JQ, UK",,http://www.mosawholesale.com/
A_catering_engineers,London,Indigo Catering Equipment,"12 Old Bond St, London W1S 4PW, UK",020 7129 7063,https://www.indigoce.co.uk/
A_catering_engineers,London,Gulpas Catering Equipment,"17 Green Lanes, Newington Green, London N16 9BS, UK",07717 488248,
A_catering_engineers,London,UK Commercial Gas Ltd,"4th Floor, Silverstream House, 5 Fitzroy St, London W1T 6EB, UK",0800 085 5077,https://www.ukcommercialgas.uk/
A_catering_engineers,London,Baking,"2-4 Clapham High St, London SW4 7UT, UK",020 7450 0480,https://www.dentonscatering.com/contact-us
A_catering_engineers,London,OKE Catering,"23 Lisle St, London WC2H 7BA, UK",020 3642 1685,http://www.okequipment.co.uk/
B_equipment_repair,London,Ao-Catering Equipment Maintenance,"161 Woodyates Rd, London SE12 9JJ, UK",07776 987245,http://aocateringequipmentmaintenanceandrepair.com/
B_equipment_repair,London,Catering Repairs London,"The Brew, Victoria House, 64 Paul St, London EC2A 4NA, UK",020 3875 8981,https://cateringrepairslondon.co.uk/?utm_source=GoogleGBP&utm_medium=GBP&utm_campaign=OrganicGBP
B_equipment_repair,London,CC Fix,"Masefield Cl, london DA8 2DG, UK",020 8050 2886,https://www.ccfix.co.uk/
B_equipment_repair,London,EFS Catering Equipment,"Unit c8, Angel Road Works, Advent Way, London N18 3AH, UK",020 8884 4064,
B_equipment_repair,London,SOS Catering Equipment and Engineering Limited,"Unit 5 Lockwood Way, London E17 5RB, UK",020 8531 8543,http://www.soscateringequipment.co.uk/
B_equipment_repair,London,Caterglobe Ltd.,"Unit C6, Bounds Green Industrial Estate, South Way, London N11 2UL, UK",020 8920 0817,http://www.caterglobe.co.uk/
B_equipment_repair,London,Magic Hands Services Ltd,"41 Grange Walk, London SE1 3DY, UK",07467 054687,http://www.magichandsservicesltd.co.uk/
B_equipment_repair,London,Catering Equipment Repair ‍ ️,"Unit 12, Shorncliffe Industrial Estate, North Cl, Folkestone CT20 3UH, UK",01304 873469,https://www.catering-equipment-repair.co.uk/
B_equipment_repair,London,TAG Catering Equipment UK Ltd,"Unit 2, Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 877007,https://www.tagukltd.com/
B_equipment_repair,London,Romann Catering,"Progress Business Park, 14 Progress Way, Croydon CR0 4XD, UK",01474 706338,https://www.romanncatering.co.uk/
B_equipment_repair,London,Catering Equipment Support Ltd,"Unit 12 Deer Park Farm Ind Est, Knowle Ln, Fair Oak, Eastleigh SO50 7DZ, UK",023 8000 6082,https://www.cateringequipmentsupport.co.uk/
B_equipment_repair,London,Millers Catering Equipment,"Unit 2, College Fields Business Centre, Prince Georges Rd, London SW19 2PT, UK",020 8687 5390,https://www.millerscatering.co.uk/
B_equipment_repair,London,Catering Technical Services,"5 Emperor Way, Kingsnorth, Ashford TN23 3QY, UK",07946 347871,https://www.catering-technical.services/
B_equipment_repair,London,RTC Technical Ltd,"Unit 1, Boxmend Industrial Estate, Parkwood Industrial Estate, Maidstone ME15 9YG, UK",01322 404909,https://rtctechnical.co.uk/
B_equipment_repair,London,Caterkit Services Ltd,"Unit 2 Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 872580,https://www.caterkitservices.com/
B_equipment_repair,London,Euro Catering,"294 Hackney Rd, London E2 7SJ, UK",020 7613 3084,http://www.eurocatering.co.uk/
B_equipment_repair,London,Nasa Catering Equipment,"5 Green Lanes, Newington Green, London N16 9BP, UK",07944 540090,
B_equipment_repair,London,Fan Services LTD,"Ste 44, 2-3 Coleridge Gardens, London NW6 3QH, UK",020 3539 1475,https://www.fanservices.co.uk/
B_equipment_repair,London,Catering Equipment Services Ltd,"Unit 3D, Maryland Industrial Estate, Belfast, Newtownards BT23 6BL, UK",028 9049 1616,https://cescatering.co.uk/
B_equipment_repair,London,CCE London,"Unit 1, Bentley Farm, Old Church Hill, Langdon Hills, Horndon on the Hill, Basildon SS16 6HZ, UK",01268 412121,https://www.cce-london.com/
B_equipment_repair,London,London Engineers Company,"Station ​London, 12 Melcombe Pl, London NW1 6JJ, UK",020 3603 7172,http://www.lecompany.co.uk/
B_equipment_repair,London,Virtue Facilities Management Services Ltd,"Unit 6, Thames industrial Estate, High St S, Dunstable LU6 3HL, UK",01582 343092,http://www.virtuefms.co.uk/
B_equipment_repair,London,Nisbets Catering Equipment Shoreditch Store,"159 Commercial St, London E1 6BJ, UK",020 7426 9950,https://www.nisbets.co.uk/shoreditchstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
B_equipment_repair,London,Kent Catering.,"27 Unit T, Bromley Business Centre, Hastings Rd, Bromley BR2 8NA, UK",020 8462 9911,http://kentcatering.com/
B_equipment_repair,London,Certa Service,"77-79 The Courtyard, Marlowes, Hemel Hempstead HP1 1LF, UK",0333 358 0395,http://www.certaservice.co.uk/
B_equipment_repair,London,Cater Solutions,"Unit 8, Integra:ME Bircholt Rd, Maidstone ME15 9GQ, UK",0845 066 9966,http://www.catersolutions.co.uk/
B_equipment_repair,London,DCI Maintenance Ltd,"Unit 317, 94 Fulham Palace Rd, London W6 9PL, UK",020 3633 8317,http://dcimaintenance.co.uk/
B_equipment_repair,London,Foodservice Equipment Association,"Rotherwick House, 3 Thomas More Street, London E1W 1YZ, UK",020 7793 3030,http://www.fea.org.uk/
B_equipment_repair,London,Nisbets,"180 Goldhawk Rd, London W12 8HJ, UK",020 7118 0622,https://www.nisbets.co.uk/shepherdsbushstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
A_catering_engineers,Manchester,DA Catering repairs and servicing ltd,"Claremont Rd, Salford, Manchester M6 7RJ, UK",07922 301397,https://www.dacrs.co.uk/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4956369211231669446
A_catering_engineers,Manchester,Rusholme Catering Equipment & Services,"Unit 3, Dagenham Road Industrial Estate, Manchester M14 5ED, UK",0161 478 7245,
A_catering_engineers,Manchester,P & A Services Ltd,"Unit 4, Titan House, Newby Road Industrial Estate, 2 Lowick Cl, Hazel Grove, Stockport SK7 5ED, UK",0161 483 8060,http://www.paservice.co.uk/
A_catering_engineers,Manchester,Cairn Catering Engineers,"Hyde Park House, Cartwright St, Newton, Hyde SK14 4EH, UK",0800 999 1926,https://cairncateringengineers.co.uk/
B_equipment_repair,Manchester,Rusholme Catering Equipment & Services,"Unit 3, Dagenham Road Industrial Estate, Manchester M14 5ED, UK",0161 478 7245,
B_equipment_repair,Manchester,Quatrone - Catering Equipment - Manchester,"Unit 7, Orchard sew mill, Langley Road, South, Salford M6 6SD, UK",0161 327 5045,https://www.quatrone.co.uk/
B_equipment_repair,Manchester,Proex Catering Equipment Buy & Sell - MANCHESTER -,"Unit K, Mode Wheel Rd S, Salford M50 1DG, UK",07983 242182,https://proexcatering.co.uk/
B_equipment_repair,Manchester,Catering Equipment Manufacturer Manchester - Riley Catering Manufacturing LTD,"1-3 Bond St, Denton, Manchester M34 3AJ, UK",07860 706605,
B_equipment_repair,Manchester,P & A Services Ltd,"Unit 4, Titan House, Newby Road Industrial Estate, 2 Lowick Cl, Hazel Grove, Stockport SK7 5ED, UK",0161 483 8060,http://www.paservice.co.uk/
B_equipment_repair,Manchester,NWCE Foodservice Equipment,"Folds Rd, Bolton BL1 2SB, UK",0161 764 8688,http://www.nwce.co.uk/
B_equipment_repair,Manchester,Nisbets Catering Equipment Manchester Store,"12 Booth St, Manchester M2 4AW, UK",0161 207 8688,https://www.nisbets.co.uk/manchesterstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
B_equipment_repair,Manchester,Bar Service UK Ltd,"1 Charles St, Droylsden, Manchester M43 6LY, UK",0161 292 5430,http://www.bar-service.co.uk/
B_equipment_repair,Manchester,Refrigeration U.K Ltd,"Unit 12, WILLAN ENTERPRISE CENTRE, Fourth Ave, Trafford Park, Stretford, Manchester M17 1DB, UK",0161 343 1446,https://www.refrigerationukltd.co.uk/
B_equipment_repair,Manchester,Cooksmill,"2 Comus St, Salford, Manchester M5 3BQ, UK",0161 886 4989,https://www.cooksmill.co.uk/
B_equipment_repair,Manchester,Commercial Catering Equipment Services Ltd (CCE Services Ltd),"E4, E1, E4 Ford St, Stockport SK3 0BT, UK",0161 477 1321,
B_equipment_repair,Manchester,George Jones & Son,"232 Briscoe Ln, Manchester M40 2XG, UK",0161 223 3771,
B_equipment_repair,Manchester,YES Group - Takeaway and Restaurant Catering Supplies,"Kurpas House, Greenside Way, Middleton, Manchester M24 1SW, UK",0161 655 3777,http://yesgroupuk.com/
B_equipment_repair,Manchester,FSW Gas Services,"Turner St, Ashton-under-Lyne OL6 8LB, UK",0161 943 0268,http://fswgasservices.co.uk/
B_equipment_repair,Manchester,Worldwide Catering NW Ltd - Fruit and Veg Supplier Manchester,"Unit 2, FAILSWORTH INDUSTRIAL ESTATE, Failsworth, Manchester M35 0BN, UK",0161 684 7774,https://worldwidecatering.co/
B_equipment_repair,Manchester,Total Kitchen Services Ltd,"Unit 2B/Mackenzie Ind Est/Bird Hall La, Cheadle Heath, Stockport SK3 0SB, UK",0161 428 4154,http://totalkitchenservices.co.uk/
A_catering_engineers,Birmingham,Birmingham Catering Equipment Ltd,"139A Middlemore Rd, Birmingham B66 2EA, UK",0121 558 2451,http://www.birminghamcateringequipment.co.uk/
A_catering_engineers,Birmingham,Universal Catering Equipment ltd,"49-51 Stratford Rd, Birmingham B11 1RE, UK",0121 246 3578,http://www.universalcatering.co.uk/
A_catering_engineers,Birmingham,I.Z Global Catering Equipment Ltd,"220 Gooch St, Birmingham B5 7HY, UK",07462 555600,http://www.globalcateringequipment.co.uk/
A_catering_engineers,Birmingham,New Catering Solutionz,"No24, Unit 1b Cheston Rd, Birmingham B7 5EE, UK",07711 825722,http://www.cateringsolutionz.com/
A_catering_engineers,Birmingham,Phoenix Commercial Catering Equipment Ltd,"Unit 11, 94 Bell Ln, Kitt's Green, Birmingham B33 0HX, UK",0121 684 5078,https://www.phoenixcommercialcatering.co.uk/
A_catering_engineers,Birmingham,Catering Equipment Birmingham Ltd,"14 Witton Rd, Handsworth, Birmingham B6 5NY, UK",0121 551 3636,http://cateringequipmentltd.com/
A_catering_engineers,Birmingham,Catering Equipment Outlet Birmingham,"97 Bissell St, Birmingham B5 7HP, UK",07725 330170,
A_catering_engineers,Birmingham,TG4 catering equipment Ltd,"Unit 3, Hawksmill Industrial Estate, Little Green Ln, Small Heath, Birmingham B9 5AY, UK",07746 435833,
A_catering_engineers,Birmingham,Midlands Refrigeration & Catering Equipment,"Unit 4, Euro Enterprise Park, Stratford St N, Birmingham B11 1BU, UK",0121 439 0300,http://www.midlandsrefrigeration.co.uk/
A_catering_engineers,Birmingham,Chefline Ltd,"Unit W, Hamstead Industrial Estate, Austin Way, Birmingham B42 1DU, UK",0121 663 0027,https://www.chefline.co.uk/
A_catering_engineers,Birmingham,Costa Engineers Ltd,"1, 14-16 Bissell St, Birmingham B5 7HP, UK",07952 975492,http://costaengineers.co.uk/
A_catering_engineers,Birmingham,Bournville Catering Equipment,"The Old La, Forshaw Heath Ln, Earlswood, Solihull B94 5LH, UK",01564 820100,http://www.bournvillecatering.co.uk/
A_catering_engineers,Birmingham,Network Catering Engineers Ltd,"Unit 6, Acorn park, Vernon Rd, Blackheath, Halesowen B62 8EG, UK",0333 234 1677,https://www.networklimited.co.uk/
A_catering_engineers,Birmingham,Catermarke Ltd,"39-41 Sydenham Rd, Sparkbrook, Birmingham B11 1DG, UK",0121 753 0664,http://catermarke.co.uk/
A_catering_engineers,Birmingham,ASTONS Catering Equipment,"Unit 2 South Staffs Freight Terminal, Lynn Ln, Shenstone, Lichfield WS14 0ED, UK",0121 643 1131,http://www.astonsgca.com/
A_catering_engineers,Birmingham,Equipment Bazaar Birmingham,"235-238 Great Lister St, Birmingham B7 4BS, UK",0121 359 6124,
A_catering_engineers,Birmingham,Delia Catering Equipment,"Unit 64 Birch Rd E, Witton, Birmingham B6 7DB, UK",07800 588505,http://deliacateringequipment.com/?utm_source=gmb&utm_medium=referral
A_catering_engineers,Birmingham,Cater Flame Ltd,"Unit 57, Wyrley Trading Estate, 59 Wyrley Rd, Birmingham B6 7DB, UK",0121 327 3161,https://caterflame.co.uk/
A_catering_engineers,Birmingham,CateringBase Ltd,"Unit F26, Hastingwood Industrial Park, Wood Ln, Erdington, Birmingham B24 9QR, UK",0121 386 6628,http://www.cateringbase.co.uk/
A_catering_engineers,Birmingham,Nova Catering Repairs,"34 Dudley Rd, Brierley Hill DY5 1LH, UK",01384 210544,http://www.novarepairs.co.uk/
A_catering_engineers,Birmingham,Tansik London ltd (Tansik Catering),"Unit 12, Green Lane Industrial Estate, Second Ave, Birmingham B9 5QP, UK",07411 203963,http://www.tansik.co.uk/
A_catering_engineers,Birmingham,Commercial Catering,"Unit 15, 34-37 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://commercialcateringbham.co.uk/
A_catering_engineers,Birmingham,Birmingham International Catering Equipment & Refrigeration,"41 Nursery Rd, Lozells, Birmingham B19 2XN, UK",,
A_catering_engineers,Birmingham,In-Charge Catering Supplies Ltd,"Unit 11, St Andrews Industrial Estate, Sydney Rd, Birmingham B9 4QB, UK",0121 772 1910,http://www.inchargecateringsupplies.co.uk/
A_catering_engineers,Birmingham,HNR Catering Supplies,"213 The Avenue, Acocks Green, Birmingham B27 6NP, UK",0121 707 3025,https://www.hnrcateringsupplies.co.uk/
A_catering_engineers,Birmingham,Forming and Catering Equipment Ltd,"66 Rea St S, Deritend, Birmingham B5 6LB, UK",0845 331 3226,http://formingandcatering.com/
A_catering_engineers,Birmingham,RHE Catering Equipment Sevices,"The Courtyard, Burnsall Rd, Coventry CV5 6UT, UK",024 7666 7541,http://www.rheservices.co.uk/
A_catering_engineers,Birmingham,Palmer Hire,"Avenue Rd, Nechells, Birmingham B7 4NT, UK",0121 439 1543,http://palmerhire.co.uk/
A_catering_engineers,Birmingham,Midland Catering Ltd,"Unit 3 Landor St, Birmingham B8 1AG, UK",0121 773 4778,https://midlandcateringltd.co.uk/
A_catering_engineers,Birmingham,Yasmin Ditta Catering,"Unit 9, Premier Trading Estate, Birmingham B7 4AT, UK",07402 247568,https://www.yasmindittacatering.com/
A_catering_engineers,Birmingham,Mukhtar's Food Machinery,"2 Dreamwell State, James Rd, Tyseley, Birmingham B11 2BA, UK",07806 672356,http://mukhtarsfoodmachinery.co.uk/
A_catering_engineers,Birmingham,Nisbets Catering Equipment Birmingham Store,"64 Bristol St, Birmingham B5 7AA, UK",0121 622 1763,https://www.nisbets.co.uk/birminghamstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
A_catering_engineers,Birmingham,Maggie Lo Catering Supplies Ltd,"202-204 Barford St, Birmingham B5 7EP, UK",0121 622 3358,http://www.maggielo.co.uk/
A_catering_engineers,Birmingham,Abraxas Catering Equipment Limited,"Unit 8, Building 329, Rushock Trading Estate, Droitwich WR9 0NR, UK",01562 863222,https://www.abraxascatering.co.uk/
A_catering_engineers,Birmingham,CEE | Catering Equipment Express,"Unit 15, Bilston Industrial Estate, Oxford St, Bilston, Wolverhampton WV14 7EG, UK",01902 495634,https://cateringequipment-uk.co.uk/
A_catering_engineers,Birmingham,Sylhet Cooker Services,"27 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://sylhetcooker.co.uk/
A_catering_engineers,Birmingham,CEFS PLASTIC LIMITED,"235-238 Great Lister St, Birmingham B7 4BS, UK",,
A_catering_engineers,Birmingham,Caterlink UK Ltd,"Northgate Way, Walsall WS9 8SR, UK",01922 453168,http://www.caterlinkuk.co.uk/
A_catering_engineers,Birmingham,Aretsi Event Catering Limited,"Unit 7, All Saints Industrial Estate, All Saints' St, Hockley, Birmingham B18 7RJ, UK",07468 489816,http://aretsi.co.uk/
A_catering_engineers,Birmingham,Blue Seal,"Unit 67, Gravelly Industrial Park, Birmingham B24 8TQ, UK",0121 327 5575,http://www.blue-seal.co.uk/
A_catering_engineers,Birmingham,Pars Catering Supplies Cash & Carry,"91-93 Charles Henry St, Birmingham B12 0SJ, UK",0121 622 6222,
A_catering_engineers,Birmingham,Chef4u Personal chef and caterer,"Birmingham Business Centre, Mount St, Nechells, Birmingham B7 5RD, UK",07949 412477,http://www.chef4u.co.uk/
A_catering_engineers,Birmingham,First In Service Ltd,"Unit 2, Windsor Industrial Estate, Rupert St, Nechells, Birmingham B7 4PR, UK",0121 333 3301,http://www.firstinservice.co.uk/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary
A_catering_engineers,Birmingham,Birmingham Cooker Services,"27 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://birminghamcookerservices.co.uk/
A_catering_engineers,Birmingham,Catering Suppliers,"87 Brookvale Rd, Witton, Birmingham B6 7AR, UK",,
A_catering_engineers,Birmingham,Birmingham Catering and Event Hire,"30 Chester St, Birmingham B6 4BE, UK",0800 910 1317,http://www.birminghamcateringhire.com/
A_catering_engineers,Birmingham,Birmingham Catering Hire,"Deritend, Birmingham B9 4AA, UK",0800 910 1317,http://www.birminghamcateringhire.com/
A_catering_engineers,Birmingham,B7 Catering LTD,"Unit 6, 133-159 Tyburn Rd, Birmingham B24 8NQ, UK",07534 432192,https://b7catering.co.uk/
A_catering_engineers,Birmingham,Ming Catering Equipment,"257 Hospital St, Birmingham B19 2YF, UK",07868 754564,https://mingcatering.co.uk/contact/
A_catering_engineers,Birmingham,Zodiac Stainless Products,"10, Selly Oak Industrial Estate, Elliott Rd, Selly Oak, Birmingham B29 6LR, UK",0121 415 2540,http://www.zodiacspco.co.uk/
A_catering_engineers,Birmingham,Used Hog Roast Machine,"Ethel St, Birmingham B2 4BG, UK",0121 607 8239,http://usedhogroastmachine.com/
A_catering_engineers,Birmingham,Polaris Catering & Refrigeration Service Ltd,"Office 21, Haldon House, Business Centre, 385 Brettell Ln, Brierley Hill DY5 3LQ, UK",01527 585676,https://www.polariscateringservices.com/
A_catering_engineers,Birmingham,Ceramics Catering Equipment,"221 New John St W, Birmingham B19 3UA, UK",,
A_catering_engineers,Birmingham,Cater Refit,"Unit 15 Sandy Ln, Birmingham B6 5TP, UK",0121 326 0419,
A_catering_engineers,Birmingham,A S M C Catering Engineers,"67 Bonner Dr, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B76 1DY, UK",,
B_equipment_repair,Birmingham,Birmingham Catering Equipment Ltd,"139A Middlemore Rd, Birmingham B66 2EA, UK",0121 558 2451,http://www.birminghamcateringequipment.co.uk/
B_equipment_repair,Birmingham,Universal Catering Equipment ltd,"49-51 Stratford Rd, Birmingham B11 1RE, UK",0121 246 3578,http://www.universalcatering.co.uk/
B_equipment_repair,Birmingham,I.Z Global Catering Equipment Ltd,"220 Gooch St, Birmingham B5 7HY, UK",07462 555600,http://www.globalcateringequipment.co.uk/
B_equipment_repair,Birmingham,New Catering Solutionz,"No24, Unit 1b Cheston Rd, Birmingham B7 5EE, UK",07711 825722,http://www.cateringsolutionz.com/
B_equipment_repair,Birmingham,Midlands Refrigeration & Catering Equipment,"Unit 4, Euro Enterprise Park, Stratford St N, Birmingham B11 1BU, UK",0121 439 0300,http://www.midlandsrefrigeration.co.uk/
B_equipment_repair,Birmingham,Catering Equipment Birmingham Ltd,"14 Witton Rd, Handsworth, Birmingham B6 5NY, UK",0121 551 3636,http://cateringequipmentltd.com/
B_equipment_repair,Birmingham,Phoenix Commercial Catering Equipment Ltd,"Unit 11, 94 Bell Ln, Kitt's Green, Birmingham B33 0HX, UK",0121 684 5078,https://www.phoenixcommercialcatering.co.uk/
B_equipment_repair,Birmingham,Catering Equipment Outlet Birmingham,"97 Bissell St, Birmingham B5 7HP, UK",07725 330170,
B_equipment_repair,Birmingham,Nova Catering Repairs,"34 Dudley Rd, Brierley Hill DY5 1LH, UK",01384 210544,http://www.novarepairs.co.uk/
B_equipment_repair,Birmingham,ASTONS Catering Equipment,"Unit 2 South Staffs Freight Terminal, Lynn Ln, Shenstone, Lichfield WS14 0ED, UK",0121 643 1131,http://www.astonsgca.com/
B_equipment_repair,Birmingham,Kitchen Solutions,"20 Prince Rd, Birmingham B30 3HB, UK",0121 399 0016,http://www.kitchensolutions.co.uk/
